tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
E7FI44.1	RecName: Full=Sulfhydrogenase 1 subunit alpha; AltName: Full=Hydrogenase I large subunit; AltName: Full=NADP-reducing hydrogenase subunit HydA; AltName: Full=Sulfhydrogenase I subunit alpha	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyA	shyA	E7FI44.1		PF00374;PF00374	COG3259	K17993	E7FI44.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		NiFeSe_Hases;NiFeSe_Hases	COG3259	hydA
E7FHC4.1	RecName: Full=Sulfhydrogenase 2 subunit alpha; AltName: Full=Hydrogen dehydrogenase (NAD(P)(+)); AltName: Full=Hydrogenase-II subunit alpha; Short=H-II alpha; AltName: Full=NADP-reducing hydrogenase subunit ShyA; AltName: Full=Sulfhydrogenase II subunit alpha	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyA	shyA	E7FHC4.1		PF00374;PF00374	COG3259	K17993	E7FHC4.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		NiFeSe_Hases;NiFeSe_Hases	COG3259	hydA
P0ACD8.1	RecName: Full=Hydrogenase-1 large chain; Short=HYD1; AltName: Full=Membrane-bound hydrogenase 1 large subunit; AltName: Full=NiFe hydrogenase	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P0ACD8.1		PF00374	COG0374	K06281	P0ACD8.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NiFeSe_Hases	COG0374	hyaB
P0ACE0.2	RecName: Full=Hydrogenase-2 large chain; Short=HYD2; AltName: Full=Membrane-bound hydrogenase 2 large subunit; AltName: Full=NiFe hydrogenase; Flags: Precursor	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P0ACE0.2		PF00374	COG0374	K06281	P0ACE0.2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NiFeSe_Hases	COG0374	hyaB
P12636.1	RecName: Full=Uptake hydrogenase large subunit; AltName: Full=Hydrogenlyase; AltName: Full=Membrane-bound hydrogenase large subunit	Bradyrhizobium diazoefficiens USDA 110	Reviewed_Outgroup	outgroup	outgroup	P12636.1		PF00374	COG0374	K06281	P12636.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Bradyrhizobium; s__		NiFeSe_Hases	COG0374	hyaB
P12944.3	RecName: Full=Periplasmic [NiFe] hydrogenase large subunit; AltName: Full=NiFe hydrogenlyase large chain; Flags: Precursor	Megalodesulfovibrio gigas	Reviewed_Outgroup	outgroup	outgroup	P12944.3		PF00374	COG0374	K06281;K00437	P12944.3	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Megalodesulfovibrio; s__		NiFeSe_Hases	COG0374	hyaB;hydB
P13065.3	RecName: Full=Periplasmic [NiFeSe] hydrogenase large subunit; AltName: Full=NiFeSe hydrogenlyase large chain	Desulfomicrobium baculatum	Reviewed_Outgroup	outgroup	outgroup	P13065.3		PF00374;PF00374	COG0374		P13065.3	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfomicrobiaceae; g__Desulfomicrobium; s__		NiFeSe_Hases;NiFeSe_Hases	COG0374	
P15284.1	RecName: Full=Uptake hydrogenase large subunit; AltName: Full=Hydrogenlyase; AltName: Full=Membrane-bound hydrogenase large subunit	Rhodobacter capsulatus	Reviewed_Outgroup	outgroup	outgroup	P15284.1		PF00374	COG0374	K06281	P15284.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Rhodobacter; s__		NiFeSe_Hases	COG0374	hyaB
P17632.1	RecName: Full=Uptake hydrogenase large subunit; AltName: Full=Hydrogenlyase; AltName: Full=Membrane-bound hydrogenase large subunit	Rubrivivax gelatinosus	Reviewed_Outgroup	outgroup	outgroup	P17632.1		PF00374	COG0374	K06281	P17632.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Sphaerotilaceae; g__Rubrivivax; s__		NiFeSe_Hases	COG0374	hyaB
P18188.4	RecName: Full=Periplasmic [NiFe] hydrogenase large subunit; AltName: Full=NiFe hydrogenlyase large chain; Flags: Precursor	Solidesulfovibrio fructosivorans	Reviewed_Outgroup	outgroup	outgroup	P18188.4		PF00374	COG0374	K00437;K06281	P18188.4	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Solidesulfovibrio; s__		NiFeSe_Hases	COG0374	hydB;hyaB
