tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ADC62200.1	DsrO [Allochromatium vinosum DSM 180]	Allochromatium vinosum DSM 180	Reviewed_Ingroup	Oxidative_dsrO	Oxidative_dsrO	ADC62200.1		PF13247	COG0437	K08358	ADC62200.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Fer4_11	COG0437	ttrB
SFW35650.1	putative sulfite reductase-associated electron transfer protein DsrO [Desulfovibrio desulfuricans]	Desulfovibrio desulfuricans	Reviewed_Ingroup	Reductive_dsrO	Reductive_dsrO	SFW35650.1		PF13247	COG0437		SFW35650.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_11	COG0437	
O29751.1	RecName: Full=Hdr-like menaquinol oxidoreductase iron-sulfur subunit 1; Short=Hme subunit A; Flags: Precursor	Archaeoglobus fulgidus DSM 4304	Reviewed_Ingroup	Archaeoglobus_dsrO	Archaeoglobus_dsrO	O29751.1		PF13247	COG0437		O29751.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Fer4_11	COG0437	
Q7CQM9.1	RecName: Full=Tetrathionate reductase subunit B; AltName: Full=Tetrathionate reductase electron transport protein; Flags: Precursor	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	outgroup	outgroup	Q7CQM9.1		PF13247	COG0437	K08358	Q7CQM9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Fer4_11	COG0437	ttrB
Q72E85.1	RecName: Full=Menaquinone reductase, iron-sulfur cluster-binding subunit; AltName: Full=Quinone reductase complex subunit C; AltName: Full=Type I cytochrome c3:menaquinone oxidoreductase subunit C	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Outgroup			Q72E85.1		PF00037;PF13247	COG0437	K23301	Q72E85.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4;Fer4_11	COG0437	qrcC
Q9HR73.1	RecName: Full=Putative dimethyl sulfoxide reductase iron-sulfur subunit B; Short=DMSO reductase subunit B	Halobacterium salinarum NRC-1	Reviewed_Outgroup	outgroup	outgroup	Q9HR73.1		PF13247;PF13247	COG0437	K00184;K08358	Q9HR73.1	d__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacterium; s__		Fer4_11;Fer4_11	COG0437	dmsB;ttrB
O30080.2	RecName: Full=Tetrathionate reductase subunit B; AltName: Full=Tetrathionate reductase electron transport protein; Flags: Precursor	Archaeoglobus fulgidus DSM 4304	Reviewed_Outgroup	outgroup	outgroup	O30080.2		PF13247	COG0437		O30080.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Fer4_11	COG0437	
P0AAK9.1	RecName: Full=Protein NrfC; Flags: Precursor	Shigella flexneri	Reviewed_Outgroup	outgroup	outgroup	P0AAK9.1		PF00037;PF13247	COG0437	K04014	P0AAK9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__		Fer4;Fer4_11	COG0437	nrfC
P0AAK7.1	RecName: Full=Protein NrfC; Flags: Precursor	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P0AAK7.1		PF00037;PF13247	COG0437	K04014	P0AAK7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4;Fer4_11	COG0437	nrfC
D3RNN7.1	RecName: Full=Sulfite dehydrogenase subunit B; AltName: Full=Sulfite dehydrogenase iron-sulfur subunit; AltName: Full=Sulfite-oxidizing enzyme subunit B	Allochromatium vinosum DSM 180	Reviewed_Outgroup	outgroup	outgroup	D3RNN7.1		PF12800;PF13247	COG0437	K21308	D3RNN7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Fer4_4;Fer4_11	COG0437	soeB
