tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P97207.1	RecName: Full=Thiosulfate dehydrogenase [quinone] large subunit; AltName: Full=Thiosulfate:quinone oxidoreductase; Short=TQO	Acidianus ambivalens	Reviewed_Ingroup	doxD	doxD	P97207.1		PF04173	COG2259		P97207.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxD	COG2259	
CAB83537.1	putative integral membrane protein [Neisseria meningitidis Z2491]	Neisseria meningitidis Z2491	Reviewed_Outgroup	outgroup	outgroup	CAB83537.1		PF07681	COG2259	K15977	CAB83537.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__		DoxX	COG2259	K15977
NP_103189.1	hypothetical protein mlr1652 [Mesorhizobium loti MAFF303099]	Mesorhizobium japonicum MAFF 303099	Reviewed_Outgroup	outgroup	outgroup	NP_103189.1		PF07681	COG2259	K15977	NP_103189.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DoxX	COG2259	K15977
NP_376777.1	hypothetical protein ST0875 [Sulfolobus tokodaii str. 7]	Sulfurisphaera tokodaii str. 7	Reviewed_Outgroup			NP_376777.1		PF04173	COG2259		NP_376777.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfurisphaera; s__		DoxD	COG2259	
NP_377837.1	hypothetical protein ST1855 [Sulfolobus tokodaii str. 7]	Sulfurisphaera tokodaii str. 7	Reviewed_Ingroup	doxD	doxD	NP_377837.1		PF04173	COG2259		NP_377837.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfurisphaera; s__		DoxD	COG2259	
NP_343149.1	terminal quinol oxidase subunit (doxD) [Sulfolobus solfataricus P2]	Saccharolobus solfataricus P2	Reviewed_Ingroup	doxD	doxD	NP_343149.1		PF04173	COG2259	K16937	NP_343149.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__		DoxD	COG2259	doxD
CAC86936.1	aa3-type cytochrome, terminal oxidase [Acidianus ambivalens]	Acidianus ambivalens	Reviewed_Ingroup	doxD	doxD	CAC86936.1		PF04173			CAC86936.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxD		
NP_343280.1	terminal quinol oxidase subunit, (doxD-like) [Sulfolobus solfataricus P2]	Saccharolobus solfataricus P2	Reviewed_Ingroup	doxD	doxD	NP_343280.1		PF04173			NP_343280.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__		DoxD		
NP_809428.1	terminal quinol oxidase subunit [Bacteroides thetaiotaomicron VPI-5482]	Bacteroides thetaiotaomicron VPI-5482	Reviewed_Ingroup	doxD	doxD	NP_809428.1		PF04173;PF07680	COG2259	K05908	NP_809428.1	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__		DoxD;DoxA	COG2259	doxDA
WP_051984759.1	quinol oxidase [Acidithiobacillus ferrivorans]	Acidithiobacillus ferrivorans	Reviewed_Ingroup	doxD	doxD	WP_051984759.1		PF04173;PF07680	COG2259	K05908	WP_051984759.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
