tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
O87898	DsrH	Allochromatium vinosum	Reviewed_Ingroup	dsrH	dsrH	O87898		PF04077	COG2168	K07237	O87898	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		DsrH	COG2168	tusB
A8GKK5.1	RecName: Full=Protein TusB; AltName: Full=tRNA 2-thiouridine synthesizing protein B	Serratia proteamaculans 568	Reviewed_Outgroup	outgroup	outgroup	A8GKK5.1		PF04077	COG2168	K07237	A8GKK5.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__		DsrH	COG2168	tusB
B6I243.1	RecName: Full=Protein TusB; AltName: Full=tRNA 2-thiouridine synthesizing protein B	Escherichia coli SE11	Reviewed_Outgroup	outgroup	outgroup	B6I243.1		PF04077	COG2168	K07237	B6I243.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		DsrH	COG2168	tusB
A7FNP2.1	RecName: Full=Protein TusB; AltName: Full=tRNA 2-thiouridine synthesizing protein B	Yersinia pseudotuberculosis IP 31758	Reviewed_Outgroup	outgroup	outgroup	A7FNP2.1		PF04077	COG2168	K07237	A7FNP2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		DsrH	COG2168	tusB
Q9I0N1	Uncharacterized protein	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup			Q9I0N1		PF04077	COG2168	K07237	Q9I0N1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		DsrH	COG2168	tusB
Q6CZW2.1	RecName: Full=Protein TusB; AltName: Full=tRNA 2-thiouridine synthesizing protein B	Pectobacterium atrosepticum SCRI1043	Reviewed_Outgroup	outgroup	outgroup	Q6CZW2.1		PF04077	COG2168	K07237	Q6CZW2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pectobacteriaceae; g__Pectobacterium; s__		DsrH	COG2168	tusB
B8D855.1	RecName: Full=Protein TusB; AltName: Full=tRNA 2-thiouridine synthesizing protein B	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Reviewed_Outgroup	outgroup	outgroup	B8D855.1		PF04077	COG2168	K07237	B8D855.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		DsrH	COG2168	tusB
acii___C4901_06785	dsrH; sulfurtransferase complex subunit TusB	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	dsrH	dsrH	acii___C4901_06785		PF04077	COG2168	K07237	acii___C4901_06785	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		DsrH	COG2168	tusB
aeh___Mlg_1657	DsrH family protein	Alkalilimnicola ehrlichii MLHE-1	Curated_Outgroup			aeh___Mlg_1657		PF04077	COG2168	K07237	aeh___Mlg_1657	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Alkalilimnicola; s__		DsrH	COG2168	tusB
ajp___AMJAP_1629	tusB; tRNA 2-thiouridine synthesizing protein B	Amphritea japonica ATCC BAA-1530	Curated_Outgroup			ajp___AMJAP_1629		PF04077	COG2168	K07237	ajp___AMJAP_1629	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Amphritea; s__		DsrH	COG2168	tusB
