tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
QFG35250.1	thiosulfate oxidation carrier complex protein SoxZ [Paracoccus pantotrophus]	Paracoccus pantotrophus	Reviewed_Ingroup	soxZ	soxZ	QFG35250.1		PF08770		K17227	QFG35250.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		SoxZ		soxZ
Q1W3D5	SoxZ	Allochromatium vinosum	Reviewed_Ingroup	soxZ	soxZ	Q1W3D5		PF08770		K17227	Q1W3D5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		SoxZ		soxZ
ppan___ESD82_03400	soxZ; thiosulfate oxidation carrier complex protein SoxZ	Paracoccus pantotrophus	Curated_Ingroup	soxZ	soxZ	ppan___ESD82_03400		PF08770		K17227	ppan___ESD82_03400	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		SoxZ		soxZ
paru___CYR75_11905	soxZ; thiosulfate oxidation carrier complex protein SoxZ	Paracoccus jeotgali	Curated_Ingroup	soxZ	soxZ	paru___CYR75_11905		PF08770		K17227	paru___CYR75_11905	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		SoxZ		soxZ
aht___ANTHELSMS3_02235	sulfur oxidation protein SoxZ	Antarctobacter heliothermus	Curated_Ingroup	soxZ	soxZ	aht___ANTHELSMS3_02235		PF08770		K17227	aht___ANTHELSMS3_02235	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Antarctobacter; s__		SoxZ		soxZ
ceh___CEW89_07120	soxZ; thiosulfate oxidation carrier complex protein SoxZ	Celeribacter ethanolicus	Curated_Ingroup	soxZ	soxZ	ceh___CEW89_07120		PF08770		K17227	ceh___CEW89_07120	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Celeribacter; s__		SoxZ		soxZ
rde___RD1_1513	soxZ; sulfur oxidation Z protein	Roseobacter denitrificans OCh 114	Curated_Ingroup	soxZ	soxZ	rde___RD1_1513		PF08770		K17227	rde___RD1_1513	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseobacter; s__		SoxZ		soxZ
salo___EF888_14355	soxZ; thiosulfate oxidation carrier complex protein SoxZ	Silicimonas algicola	Curated_Ingroup	soxZ	soxZ	salo___EF888_14355		PF08770		K17227	salo___EF888_14355	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Silicimonas; s__		SoxZ		soxZ
ptp___RCA23_c17390	soxZ; protein SoxZ	Planktomarina temperata RCA23	Curated_Ingroup	soxZ	soxZ	ptp___RCA23_c17390		PF08770		K17227	ptp___RCA23_c17390	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; s__		SoxZ		soxZ
lsal___KBK07_01270	soxZ; thiosulfate oxidation carrier complex protein SoxZ	Loktanella salsilacus	Curated_Ingroup	soxZ	soxZ	lsal___KBK07_01270		PF08770		K17227	lsal___KBK07_01270	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Loktanella; s__		SoxZ		soxZ
