tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
QFG35246.1	c-type cytochrome [Paracoccus pantotrophus]	Paracoccus pantotrophus	Reviewed_Ingroup	soxD	soxD	QFG35246.1		PF13442;PF00034	COG3474	K22622;K08738	QFG35246.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		Cytochrome_CBB3;Cytochrom_C	COG3474	soxD;CYC
A8WQY3.1	RecName: Full=Cytochrome c 2.1	Caenorhabditis briggsae	Reviewed_Outgroup	outgroup	outgroup	A8WQY3.1		PF00034	COG3474	K08738	A8WQY3.1	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Rhabditidae; g__Caenorhabditis; s__		Cytochrom_C	COG3474	CYC
A8X769.2	RecName: Full=Probable cytochrome c 2.2	Caenorhabditis briggsae	Reviewed_Outgroup	outgroup	outgroup	A8X769.2		PF00034	COG3474	K08738	A8X769.2	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Rhabditidae; g__Caenorhabditis; s__		Cytochrom_C	COG3474	CYC
D5QVH0.1	RecName: Full=Cytochrome c-554; AltName: Full=Cytochrome c class I; Flags: Precursor	Methylosinus trichosporium	Reviewed_Outgroup	outgroup	outgroup	D5QVH0.1		PF00034	COG3474	K08738	D5QVH0.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylosinus; s__		Cytochrom_C	COG3474	CYC
O13393.3	RecName: Full=Cytochrome c	Scheffersomyces stipitis CBS 6054	Reviewed_Outgroup	outgroup	outgroup	O13393.3		PF00034	COG3474	K08738	O13393.3	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Debaryomycetaceae; g__Scheffersomyces; s__		Cytochrom_C	COG3474	CYC
O23138.1	RecName: Full=Cytochrome c-1; AltName: Full=Cytochrome c At1g22840	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	O23138.1		PF00034	COG3474	K08738	O23138.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Cytochrom_C	COG3474	CYC
P00002.2	RecName: Full=Cytochrome c	Macaca mulatta	Reviewed_Outgroup	outgroup	outgroup	P00002.2		PF00034	COG3474	K08738	P00002.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cercopithecidae; g__Macaca; s__		Cytochrom_C	COG3474	CYC
P00025.2	RecName: Full=Cytochrome c	Katsuwonus pelamis	Reviewed_Outgroup	outgroup	outgroup	P00025.2		PF00034	COG3474	K08738	P00025.2	d__Eukaryota; p__Chordata; c__Actinopteri; o__Scombriformes; f__Scombridae; g__Katsuwonus; s__		Cytochrom_C	COG3474	CYC
P00029.2	RecName: Full=Cytochrome c	Asterias rubens	Reviewed_Outgroup	outgroup	outgroup	P00029.2		PF00034	COG3474	K08738	P00029.2	d__Eukaryota; p__Echinodermata; c__Asteroidea; o__Forcipulatida; f__Asteriidae; g__Asterias; s__		Cytochrom_C	COG3474	CYC
P00030.1	RecName: Full=Cytochrome c	Eisenia fetida	Reviewed_Outgroup	outgroup	outgroup	P00030.1		PF00034	COG3474	K08738	P00030.1	d__Eukaryota; p__Annelida; c__Clitellata; o__Crassiclitellata; f__Lumbricidae; g__Eisenia; s__		Cytochrom_C	COG3474	CYC
P00031.2	RecName: Full=Cytochrome c	Macrobrachium malcolmsonii	Reviewed_Outgroup	outgroup	outgroup	P00031.2		PF00034	COG3474	K08738	P00031.2	d__Eukaryota; p__Arthropoda; c__Malacostraca; o__Decapoda; f__Palaemonidae; g__Macrobrachium; s__		Cytochrom_C	COG3474	CYC
P00032.1	RecName: Full=Cytochrome c	Cornu aspersum	Reviewed_Outgroup	outgroup	outgroup	P00032.1		PF00034	COG3474	K08738	P00032.1	d__Eukaryota; p__Mollusca; c__Gastropoda; o__Stylommatophora; f__Helicidae; g__Cornu; s__		Cytochrom_C	COG3474	CYC
P00038.2	RecName: Full=Cytochrome c	Apis mellifera	Reviewed_Outgroup	outgroup	outgroup	P00038.2		PF00034	COG3474	K08738	P00038.2	d__Eukaryota; p__Arthropoda; c__Insecta; o__Hymenoptera; f__Apidae; g__Apis; s__		Cytochrom_C	COG3474	CYC
P00045.1	RecName: Full=Cytochrome c isoform 2; Short=Iso-2-cytochrome c; AltName: Full=Cytochrome c hypoxic isoform	Saccharomyces cerevisiae S288C	Reviewed_Outgroup	outgroup	outgroup	P00045.1		PF00034	COG3474	K08738	P00045.1	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__		Cytochrom_C	COG3474	CYC
P00046.3	RecName: Full=Cytochrome c	Schizosaccharomyces pombe 972h-	Reviewed_Outgroup	outgroup	outgroup	P00046.3		PF00034	COG3474	K08738	P00046.3	d__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__		Cytochrom_C	COG3474	CYC
P00047.1	RecName: Full=Cytochrome c	Thermomyces lanuginosus	Reviewed_Outgroup	outgroup	outgroup	P00047.1		PF00034	COG3474	K08738	P00047.1	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Thermomyces; s__		Cytochrom_C	COG3474	CYC
P00048.2	RecName: Full=Cytochrome c	Neurospora crassa OR74A	Reviewed_Outgroup	outgroup	outgroup	P00048.2		PF00034	COG3474	K08738	P00048.2	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Neurospora; s__		Cytochrom_C	COG3474	CYC
P00049.1	RecName: Full=Cytochrome c	Ustilago sphaerogena	Reviewed_Outgroup	outgroup	outgroup	P00049.1		PF00034	COG3474	K08738	P00049.1	d__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Ustilago; s__		Cytochrom_C	COG3474	CYC
P00074.1	RecName: Full=Cytochrome c	Ginkgo biloba	Reviewed_Outgroup	outgroup	outgroup	P00074.1		PF00034	COG3474	K08738	P00074.1	d__Eukaryota; p__Streptophyta; c__Ginkgoopsida; o__Ginkgoales; f__Ginkgoaceae; g__Ginkgo; s__		Cytochrom_C	COG3474	CYC
P00075.1	RecName: Full=Cytochrome c	Ulva intestinalis	Reviewed_Outgroup	outgroup	outgroup	P00075.1		PF00034	COG3474	K08738	P00075.1	d__Eukaryota; p__Chlorophyta; c__Ulvophyceae; o__Ulvales; f__Ulvaceae; g__Ulva; s__		Cytochrom_C	COG3474	CYC
P00076.1	RecName: Full=Cytochrome c	Euglena gracilis	Reviewed_Outgroup	outgroup	outgroup	P00076.1		PF00034	COG3474	K08738	P00076.1	d__Eukaryota; p__Euglenozoa; c__Euglenida; o__Euglenales; f__Euglenaceae; g__Euglena; s__		Cytochrom_C	COG3474	CYC
P00078.2	RecName: Full=Cytochrome c; AltName: Full=Cytochrome c555	Crithidia fasciculata	Reviewed_Outgroup	outgroup	outgroup	P00078.2		PF00034	COG3474	K08738	P00078.2	d__Eukaryota; p__Euglenozoa; c__Kinetoplastea; o__Trypanosomatida; f__Trypanosomatidae; g__Crithidia; s__		Cytochrom_C	COG3474	CYC
P00079.1	RecName: Full=Cytochrome c	Tetrahymena pyriformis	Reviewed_Outgroup	outgroup	outgroup	P00079.1		PF00034	COG3474	K08738	P00079.1	d__Eukaryota; p__Ciliophora; c__Oligohymenophorea; o__Hymenostomatida; f__Tetrahymenidae; g__Tetrahymena; s__		Cytochrom_C	COG3474	CYC
P00080.1	RecName: Full=Cytochrome c2	Rhodopila globiformis	Reviewed_Outgroup	outgroup	outgroup	P00080.1		PF00034	COG3474	K08738	P00080.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Rhodopila; s__		Cytochrom_C	COG3474	CYC
P00081.1	RecName: Full=Cytochrome c2	Agrobacterium tumefaciens (strain II CHRYS)	Reviewed_Outgroup	outgroup	outgroup	P00081.1		PF00034	COG3474	K08738	P00081.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Cytochrom_C	COG3474	CYC
P00082.2	RecName: Full=Cytochrome c2; Flags: Precursor	Rhodomicrobium vannielii ATCC 17100	Reviewed_Outgroup	outgroup	outgroup	P00082.2		PF00034	COG3474	K08738	P00082.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Rhodomicrobium; s__		Cytochrom_C	COG3474	CYC
P00083.2	RecName: Full=Cytochrome c2; Flags: Precursor	Blastochloris viridis	Reviewed_Outgroup	outgroup	outgroup	P00083.2		PF00034	COG3474	K08738	P00083.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Blastochloridaceae; g__Blastochloris; s__		Cytochrom_C	COG3474	CYC
P00084.1	RecName: Full=Cytochrome c2	Rhodoblastus acidophilus	Reviewed_Outgroup	outgroup	outgroup	P00084.1		PF00034	COG3474	K08738	P00084.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Beijerinckiaceae; g__Rhodoblastus; s__		Cytochrom_C	COG3474	CYC
P00085.1	RecName: Full=Cytochrome c-550; AltName: Full=Cytochrome c550	Nitrobacter winogradskyi	Reviewed_Outgroup	outgroup	outgroup	P00085.1		PF00034	COG3474	K08738	P00085.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Nitrobacter; s__		Cytochrom_C	COG3474	CYC
P00087.1	RecName: Full=Cytochrome c2 iso-1	Magnetospirillum molischianum	Reviewed_Outgroup	outgroup	outgroup	P00087.1		PF00034	COG3474	K08738	P00087.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Magnetospirillum; s__		Cytochrom_C	COG3474	CYC
