tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q48924.1	RecName: Full=Methylated-thiol--coenzyme M methyltransferase; AltName: Full=Methylthiol:coenzyme M methyltransferase 40 kDa subunit	Methanosarcina barkeri	Reviewed_Ingroup	mtsA	mtsA	Q48924.1		PF01208	COG0407	K16954;K01599	Q48924.1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		URO-D	COG0407	mtsA;hemE
B1WVY1.1	RecName: Full=Uroporphyrinogen decarboxylase; Short=UPD; Short=URO-D	Crocosphaera subtropica ATCC 51142	Reviewed_Outgroup	outgroup	outgroup	B1WVY1.1		PF01208	COG0407	K01599	B1WVY1.1	d__Bacteria; p__Cyanobacteria; c__; o__Chroococcales; f__Aphanothecaceae; g__Crocosphaera; s__		URO-D	COG0407	hemE
B5E7R1.1	RecName: Full=Uroporphyrinogen decarboxylase; Short=UPD; Short=URO-D	Citrifermentans bemidjiense Bem	Reviewed_Outgroup	outgroup	outgroup	B5E7R1.1		PF01208	COG0407	K01599	B5E7R1.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Citrifermentans; s__		URO-D	COG0407	hemE
O30640.3	RecName: Full=Methylcobamide:CoM methyltransferase MtbA; AltName: Full=MT2-A; AltName: Full=Methylcobamide:CoM methyltransferase II isozyme A; AltName: Full=[Methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M	Methanosarcina barkeri	Reviewed_Outgroup			O30640.3		PF01208	COG0407	K14082;K01599	O30640.3	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		URO-D	COG0407	mtbA;hemE
P54224.1	RecName: Full=Uroporphyrinogen decarboxylase; Short=UPD; Short=URO-D	Synechocystis sp. PCC 6803 substr. Kazusa	Reviewed_Outgroup	outgroup	outgroup	P54224.1		PF01208	COG0407	K01599	P54224.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Merismopediaceae; g__Synechocystis; s__		URO-D	COG0407	hemE
P58869.2	RecName: Full=Methylcobamide:CoM methyltransferase MtbA; AltName: Full=MT2-A; AltName: Full=Methylcobamide:CoM methyltransferase II isozyme A; AltName: Full=[Methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M	Methanosarcina acetivorans C2A	Reviewed_Outgroup			P58869.2		PF01208	COG0407	K14082;K01599	P58869.2	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		URO-D	COG0407	mtbA;hemE
Q114U6.1	RecName: Full=Uroporphyrinogen decarboxylase; Short=UPD; Short=URO-D	Trichodesmium erythraeum IMS101	Reviewed_Outgroup	outgroup	outgroup	Q114U6.1		PF01208	COG0407	K01599	Q114U6.1	d__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Microcoleaceae; g__Trichodesmium; s__		URO-D	COG0407	hemE
Q1D1F0.1	RecName: Full=Uroporphyrinogen decarboxylase; Short=UPD; Short=URO-D	Myxococcus xanthus DK 1622	Reviewed_Outgroup	outgroup	outgroup	Q1D1F0.1		PF01208	COG0407	K01599	Q1D1F0.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus; s__		URO-D	COG0407	hemE
Q3AEU3.1	RecName: Full=Uroporphyrinogen decarboxylase; Short=UPD; Short=URO-D	Carboxydothermus hydrogenoformans Z-2901	Reviewed_Outgroup	outgroup	outgroup	Q3AEU3.1		PF01208	COG0407	K01599	Q3AEU3.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Carboxydothermus; s__		URO-D	COG0407	hemE
Q48927.1	RecName: Full=Methylcobamide:CoM methyltransferase MtaA; AltName: Full=Methylcobalamin: Coenzyme M methyltransferase; AltName: Full=Methylcobamide:CoM methyltransferase II isozyme M; Short=MT2-M; AltName: Full=[Methyl-Co(III) methanol-specific corrinoid protein]:coenzyme M methyltransferase	Methanosarcina barkeri	Reviewed_Outgroup			Q48927.1		PF01208	COG0407	K14080;K01599	Q48927.1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		URO-D	COG0407	mtaA;hemE
Q8PUA8.1	RecName: Full=Methylated-thiol--coenzyme M methyltransferase; AltName: Full=Methylthiol:coenzyme M methyltransferase 40 kDa subunit	Methanosarcina mazei Go1	Reviewed_Ingroup	mtsA	mtsA	Q8PUA8.1		PF01208	COG0407	K16954;K01599	Q8PUA8.1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		URO-D	COG0407	mtsA;hemE
alam___RT761_01028	hemE_5; Uroporphyrinogen decarboxylase	Atribacter laminatus	Curated_Outgroup	outgroup	outgroup	alam___RT761_01028		PF01208	COG0407	K01599	alam___RT761_01028	d__Bacteria; p__Atribacterota; c__Atribacteria; o__Atribacterales; f__Atribacteraceae; g__Atribacter; s__		URO-D	COG0407	hemE
awi___CHL1_002305	methylcobamide--CoM methyltransferase	Acetobacterium wieringae	Curated_Outgroup			awi___CHL1_002305		PF01208	COG0407		awi___CHL1_002305	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Acetobacterium; s__		URO-D	COG0407	
bpit___BPIT_32770	methylcobalamin:coenzyme M methyltransferase	Candidatus Brocadia pituitae	Curated_Outgroup			bpit___BPIT_32770		PF01208	COG0407	K01599	bpit___BPIT_32770	d__Bacteria; p__Planctomycetota; c__Candidatus Brocadiia; o__Candidatus Brocadiales; f__Candidatus Brocadiaceae; g__Candidatus Brocadia; s__		URO-D	COG0407	hemE
bpit___BPIT_32780	uroporphyrinogen decarboxylases	Candidatus Brocadia pituitae	Curated_Outgroup	outgroup	outgroup	bpit___BPIT_32780		PF01208	COG0407	K01599	bpit___BPIT_32780	d__Bacteria; p__Planctomycetota; c__Candidatus Brocadiia; o__Candidatus Brocadiales; f__Candidatus Brocadiaceae; g__Candidatus Brocadia; s__		URO-D	COG0407	hemE
cace___CACET_c22520	methyltransferase, MtaA/CmuA family	Clostridium aceticum	Curated_Outgroup			cace___CACET_c22520		PF01208	COG0407	K01599;K00549	cace___CACET_c22520	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		URO-D	COG0407	hemE;metE
