tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AEW04885.1	protein of unknown function DUF224 cysteine-rich region domain protein [Sulfobacillus acidophilus DSM 10332]	Sulfobacillus acidophilus DSM 10332	Reviewed_Ingroup	sHdrB3	sHdrB3	AEW04885.1		PF13187;PF02754;PF02754	COG0247	K08264;K21834	AEW04885.1	d__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Clostridiales Family XVII. Incertae Sedis; g__Sulfobacillus; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]||dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
ADG07154.1	protein of unknown function DUF224 cysteine-rich region domain protein [Kyrpidia tusciae DSM 2912]	Kyrpidia tusciae DSM 2912	Reviewed_Ingroup	sHdrB3	sHdrB3	ADG07154.1		PF13187;PF02754;PF02754	COG0247	K08264;K21834	ADG07154.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Kyrpidia; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]||dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
D9PUX5.1	RecName: Full=Fumarate reductase (CoM/CoB) subunit B; AltName: Full=Thiol:fumarate reductase subunit B	Methanothermobacter marburgensis str. Marburg	Reviewed_Outgroup	outgroup	outgroup	D9PUX5.1		PF13085;PF13183;PF02754;PF02754	COG0479	K18210;K00240	D9PUX5.1	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		2Fe-2S iron-sulfur cluster binding domain||4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	tfrB; fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]||sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
P45866.1	RecName: Full=Probable iron-sulfur-binding oxidoreductase FadF	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup			P45866.1		PF13183;PF02754;PF02754	COG0247	K21834;K08264	P45866.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
P96797.4	RecName: Full=Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit D; AltName: Full=Coenzyme B:coenzyme M:methanophenazine oxidoreductase subunit D	Methanosarcina barkeri str. Fusaro	Reviewed_Outgroup	outgroup	outgroup	P96797.4		PF13183;PF02754;PF02754	COG0247	K08264	P96797.4	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
Q57557.1	RecName: Full=Uncharacterized iron-sulfur protein MJ0092	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q57557.1		PF13085;PF13183;PF02754;PF02754	COG0479	K18210;K00240	Q57557.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		2Fe-2S iron-sulfur cluster binding domain||4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit	tfrB; fumarate reductase (CoM/CoB) subunit B [EC:1.3.4.1]||sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]
Q8PVW3.2	RecName: Full=Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit D; AltName: Full=Coenzyme B:coenzyme M:methanophenazine oxidoreductase subunit D	Methanosarcina mazei Go1	Reviewed_Outgroup	outgroup	outgroup	Q8PVW3.2		PF13183;PF02754;PF02754	COG0247	K08264	Q8PVW3.2	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
Q8TSV7.1	RecName: Full=Dihydromethanophenazine:CoB--CoM heterodisulfide reductase subunit D; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit D; AltName: Full=Coenzyme B:coenzyme M:methanophenazine oxidoreductase subunit D	Methanosarcina acetivorans C2A	Reviewed_Outgroup	outgroup	outgroup	Q8TSV7.1		PF13183;PF02754;PF02754	COG0247	K08264	Q8TSV7.1	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
bts___Btus_2494	protein of unknown function DUF224 cysteine-rich region domain protein	Kyrpidia tusciae DSM 2912	Curated_Ingroup	sHdrB3	sHdrB3	bts___Btus_2494		PF13187;PF02754;PF02754	COG0247	K08264;K21834	bts___Btus_2494	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Kyrpidia; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]||dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
tro___trd_0150	iron-sulfur cluster-binding protein	Thermomicrobium roseum DSM 5159	Curated_Ingroup	sHdrB3	sHdrB3	tro___trd_0150		PF13187;PF02754;PF02754	COG0247	K21834	tro___trd_0150	d__Bacteria; p__Thermomicrobiota; c__Thermomicrobia; o__Thermomicrobiales; f__Thermomicrobiaceae; g__Thermomicrobium; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
afo___Afer_0968	protein of unknown function DUF224 cysteine-rich region domain protein	Acidimicrobium ferrooxidans DSM 10331	Curated_Ingroup	sHdrB3	sHdrB3	afo___Afer_0968		PF13187;PF02754;PF02754	COG0247	K21834	afo___Afer_0968	d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__Acidimicrobiaceae; g__Acidimicrobium; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
parn___NBH00_11875	(Fe-S)-binding protein	Paraconexibacter antarcticus	Curated_Ingroup	sHdrB3	sHdrB3	parn___NBH00_11875		PF13187;PF02754;PF02754	COG0247	K21834	parn___NBH00_11875	d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales; f__Paraconexibacteraceae; g__Paraconexibacter; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
cts___Ctha_0133	protein of unknown function DUF224 cysteine-rich region domain protein	Chloroherpeton thalassium ATCC 35110	Curated_Ingroup	sHdrB3	sHdrB3	cts___Ctha_0133		PF13187;PF02754	COG0247	K21834	cts___Ctha_0133	d__Bacteria; p__Chlorobiota; c__Chlorobiia; o__Chlorobiales; f__Chloroherpetonaceae; g__Chloroherpeton; s__		4Fe-4S dicluster domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
ave___Arcve_1564	protein of unknown function DUF224 cysteine-rich region domain protein	Archaeoglobus veneficus SNP6	Curated_Outgroup			ave___Arcve_1564		PF13534;PF02754;PF02754	COG0247	K21834	ave___Arcve_1564	d__Archaea; p__Methanobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
daw___HS1_002401	Fe-S oxidoreductase	Candidatus Desulfofervidus auxilii	Curated_Outgroup			daw___HS1_002401		PF13534;PF02754;PF02754	COG0247	K08264;K21834	daw___HS1_002401	d__Bacteria; p__Thermodesulfobacteriota; c__Candidatus Desulfofervidia; o__Candidatus Desulfofervidales; f__Candidatus Desulfofervidaceae; g__Candidatus Desulfofervidus; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]||dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
fpes___NXS98_03710	(Fe-S)-binding protein	Fontisphaera persica	Curated_Outgroup			fpes___NXS98_03710		PF13534;PF02754;PF02754	COG0247		fpes___NXS98_03710	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Limisphaerales; f__Fontisphaeraceae; g__Fontisphaera; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	
ttf___THTE_1526	Fe-S oxidoreductase	Thermogutta terrifontis	Curated_Outgroup			ttf___THTE_1526		PF13534;PF02754	COG0247		ttf___THTE_1526	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales; f__Thermoguttaceae; g__Thermogutta; s__		4Fe-4S dicluster domain||Cysteine-rich domain	Fe-S oxidoreductase	
dal___Dalk_3320	Putative uncharacterized Fe-S oxidoreductase (contains HdrB- and HdrD-like domains)	Desulfatibacillum aliphaticivorans	Curated_Outgroup			dal___Dalk_3320		PF13187;PF02754;PF02754	COG0247	K21834;K08264	dal___Dalk_3320	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfatibacillaceae; g__Desulfatibacillum; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
dmm___dnm_096540	eqo3; ETF:quinone oxidoreductase	Desulfonema magnum	Curated_Outgroup			dmm___dnm_096540		PF13187;PF02754;PF02754	COG0247	K21834;K08264	dmm___dnm_096540	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfococcaceae; g__Desulfonema; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
dek___DSLASN_38380	hypothetical protein	Desulfoluna limicola	Curated_Outgroup			dek___DSLASN_38380		PF13183;PF02754;PF02754	COG0247	K21834;K08264	dek___DSLASN_38380	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfolunaceae; g__Desulfoluna; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
dms___E8L03_01005	(Fe-S)-binding protein	Oceanidesulfovibrio marinus	Curated_Outgroup			dms___E8L03_01005		PF13183;PF02754;PF02754	COG0247	K21834;K08264	dms___E8L03_01005	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Oceanidesulfovibrio; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
gme___Gmet_2267	electron transfer flavoprotein-associated cytochrome b and CCG domain pair iron-sulfur cluster-binding oxidoreductase	Geobacter metallireducens GS-15	Curated_Outgroup			gme___Gmet_2267		PF13183;PF02754;PF02754	COG0247	K21834;K08264	gme___Gmet_2267	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfuromonadia; o__Geobacterales; f__Geobacteraceae; g__Geobacter; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
msil___METEAL_11230	Fe-S oxidoreductase	Mesoterricola silvestris	Curated_Outgroup			msil___METEAL_11230		PF13187;PF02754;PF02754	COG0247	K21834	msil___METEAL_11230	d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Mesoterricola; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
sus___Acid_3081	protein of unknown function DUF224, cysteine-rich region domain protein	Candidatus Solibacter usitatus Ellin6076	Curated_Outgroup			sus___Acid_3081		PF13183;PF02754;PF02754	COG0247	K21834	sus___Acid_3081	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit
aba___Acid345_0461	protein of unknown function DUF224	Candidatus Koribacter versatilis Ellin345	Curated_Outgroup			aba___Acid345_0461		PF13187;PF02754	COG0247	K21834;K08264	aba___Acid345_0461	d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales; f__Candidatus Korobacteraceae; g__Candidatus Korobacter; s__		4Fe-4S dicluster domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
dti___Desti_2063	Fe-S oxidoreductase	Desulfomonile tiedjei DSM 6799	Curated_Outgroup			dti___Desti_2063		PF13183;PF02754;PF02754	COG0247	K21834;K08264	dti___Desti_2063	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfomonilia; o__Desulfomonilales; f__Desulfomonilaceae; g__Desulfomonile; s__		4Fe-4S dicluster domain||Cysteine-rich domain||Cysteine-rich domain	Fe-S oxidoreductase	dgcB; N,N-dimethylglycine/sarcosine dehydrogenase ferredoxin subunit||hdrD; heterodisulfide reductase subunit D [EC:1.8.98.1]
dwd___DSCW_00610	hypothetical protein	Desulfosarcina widdelii	Curated_Outgroup			dwd___DSCW_00610		PF02754	COG0247		dwd___DSCW_00610	d__Bacteria; p__Thermodesulfobacteriota; c__Desulfobacteria; o__Desulfobacterales; f__Desulfosarcinaceae; g__Desulfosarcina; s__		Cysteine-rich domain	Fe-S oxidoreductase	
