tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P29082.3	RecName: Full=Sulfur oxygenase/reductase; AltName: Full=Sulfur oxygenase reductase; Short=SOR	Acidianus ambivalens	Reviewed_Ingroup	sor	sor	P29082.3		PF07682	COG2848	K16952	P29082.3	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		SOR	COG2848	sor
ALO40797.1	Phage shock protein E [Pseudoalteromonas phenolica]	Pseudoalteromonas phenolica	Reviewed_Outgroup	outgroup	outgroup	ALO40797.1		PF00581	COG0607	K03972	ALO40797.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__		Rhodanese	COG0607	pspE
BAC17128.1	conserved hypothetical protein [Corynebacterium efficiens YS-314]	Corynebacterium efficiens YS-314	Reviewed_Outgroup	outgroup	outgroup	BAC17128.1		PF00581;PF11127	COG0607		BAC17128.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__		Rhodanese;DUF2892	COG0607	
AJK69508.1	hypothetical protein B840_09585 [Corynebacterium marinum DSM 44953]	Corynebacterium marinum DSM 44953	Reviewed_Outgroup	outgroup	outgroup	AJK69508.1		PF00581;PF11127	COG0607		AJK69508.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__		Rhodanese;DUF2892	COG0607	
AGF71069.1	hypothetical protein A605_00265 [Corynebacterium halotolerans YIM 70093 = DSM 44683]	Corynebacterium halotolerans YIM 70093 = DSM 44683	Reviewed_Outgroup	outgroup	outgroup	AGF71069.1		PF00581;PF11127	COG0607		AGF71069.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium; s__		Rhodanese;DUF2892	COG0607	
APF41047.1	sulfurtransferase [Neomicrococcus aestuarii]	Neomicrococcus aestuarii	Reviewed_Outgroup	outgroup	outgroup	APF41047.1		PF00581;PF11127	COG0607		APF41047.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Neomicrococcus; s__		Rhodanese;DUF2892	COG0607	
ADG87933.1	Rhodanese domain protein [Thermobispora bispora DSM 43833]	Thermobispora bispora DSM 43833	Reviewed_Outgroup	outgroup	outgroup	ADG87933.1		PF00581;PF11127	COG0607		ADG87933.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptosporangiales; f__Streptosporangiaceae; g__Thermobispora; s__		Rhodanese;DUF2892	COG0607	
ADV51466.1	Rhodanese-like protein [Cellulophaga algicola DSM 14237]	Cellulophaga algicola DSM 14237	Reviewed_Outgroup	outgroup	outgroup	ADV51466.1		PF00581	COG0607	K03972	ADV51466.1	d__Bacteria; p__Bacteroidota; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Cellulophaga; s__		Rhodanese	COG0607	pspE
AKA35229.1	Thiosulfate sulfurtransferase [Muricauda lutaonensis]	Muricauda lutaonensis	Reviewed_Outgroup	outgroup	outgroup	AKA35229.1		PF00581	COG0607	K03972	AKA35229.1	d__Bacteria; p__Bacteroidota; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Muricauda; s__		Rhodanese	COG0607	pspE
D3RPB9.1	RecName: Full=Sulfurtransferase Alvin_2599; AltName: Full=Sulfur-mobilizing rhodanese-like protein	Allochromatium vinosum DSM 180	Reviewed_Outgroup	outgroup	outgroup	D3RPB9.1		PF00581	COG0607		D3RPB9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Rhodanese	COG0607	
P55734.1	RecName: Full=Inner membrane protein YgaP	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P55734.1		PF00581;PF11127	COG0607		P55734.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Rhodanese;DUF2892	COG0607	
P73801.1	RecName: Full=Uncharacterized protein slr1261	Synechocystis sp. PCC 6803 substr. Kazusa	Reviewed_Outgroup	outgroup	outgroup	P73801.1		PF00581;PF11127	COG0607		P73801.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Merismopediaceae; g__Synechocystis; s__		Rhodanese;DUF2892	COG0607	
