tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EJF39088.1	L-fucose isomerase, C-terminal domain protein [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	sftI_sqvD	sftI_sqvD	EJF39088.1			COG2407		EJF39088.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__			COG2407	
WP_105958947.1	hypothetical protein [Alkalicoccus urumqiensis]	Alkalicoccus urumqiensis	Reviewed_Ingroup	sftI_sqvD	sftI_sqvD	WP_105958947.1		PF02952	COG2407		WP_105958947.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Alkalicoccus; s__		Fucose_iso_C	COG2407	
WP_021642699.1	hypothetical protein [[Clostridium] symbiosum]	[Clostridium] symbiosum	Reviewed_Ingroup	sftI_sqvD	sftI_sqvD	WP_021642699.1			COG2407		WP_021642699.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__			COG2407	
ACR76321.1	Hypothetical protein EUBREC_2590 [[Eubacterium] rectale ATCC 33656]	[Eubacterium] rectale ATCC 33656	Reviewed_Ingroup	sftI_sqvD	sftI_sqvD	ACR76321.1			COG2407		ACR76321.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__; s__			COG2407	
WP_013058332.1	MULTISPECIES: hypothetical protein [Priestia]	Priestia	Reviewed_Ingroup	sftI_sqvD	sftI_sqvD	WP_013058332.1		PF02952	COG2407		WP_013058332.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		Fucose_iso_C	COG2407	
abao___BEQ56_06080	fucose isomerase	Anaerolineaceae bacterium oral taxon 439	Curated_Outgroup	outgroup	outgroup	abao___BEQ56_06080		PF02952	COG2407		abao___BEQ56_06080	d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__; s__		Fucose_iso_C	COG2407	
abas___ACPOL_2415	Alternative L-arabinose isomerase	Acidisarcina polymorpha	Curated_Outgroup	outgroup	outgroup	abas___ACPOL_2415		PF02952	COG2407		abas___ACPOL_2415	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidisarcina; s__		Fucose_iso_C	COG2407	
aca___ACP_2788	putative L-fucose isomerase	Acidobacterium capsulatum ATCC 51196	Curated_Outgroup	outgroup	outgroup	aca___ACP_2788		PF02952	COG2407		aca___ACP_2788	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium; s__		Fucose_iso_C	COG2407	
acac___EYQ97_06335	hypothetical protein	Anaerostipes caccae	Curated_Outgroup			acac___EYQ97_06335			COG2407		acac___EYQ97_06335	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__			COG2407	
acac___EYQ97_17520	fucose isomerase	Anaerostipes caccae	Curated_Outgroup	outgroup	outgroup	acac___EYQ97_17520		PF02952	COG2407		acac___EYQ97_17520	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__		Fucose_iso_C	COG2407	
acel___acsn021_35600	fucose isomerase	Anaerocolumna cellulosilytica	Curated_Outgroup	outgroup	outgroup	acel___acsn021_35600		PF02610	COG2407		acel___acsn021_35600	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		Arabinose_Isome	COG2407	
acht___bsdcttw_12060	fucose isomerase	Anaerocolumna chitinilytica	Curated_Outgroup	outgroup	outgroup	acht___bsdcttw_12060		PF02610	COG2407		acht___bsdcttw_12060	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		Arabinose_Isome	COG2407	
acht___bsdcttw_40310	fucose isomerase	Anaerocolumna chitinilytica	Curated_Outgroup	outgroup	outgroup	acht___bsdcttw_40310		PF02610;PF02952	COG2407		acht___bsdcttw_40310	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		Arabinose_Isome;Fucose_iso_C	COG2407	
acj___ACAM_1186	L-fucose isomerase	Aeropyrum camini SY1 = JCM 12091	Curated_Outgroup			acj___ACAM_1186			COG2407		acj___ACAM_1186	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Desulfurococcales; f__Desulfurococcaceae; g__Aeropyrum; s__			COG2407	
acol___K5I23_08715	hypothetical protein	Anaerotruncus colihominis	Curated_Outgroup			acol___K5I23_08715			COG2407		acol___K5I23_08715	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Anaerotruncus; s__			COG2407	
acol___K5I23_14500	fucose isomerase	Anaerotruncus colihominis	Curated_Outgroup	outgroup	outgroup	acol___K5I23_14500		PF02952	COG2407		acol___K5I23_14500	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae; g__Anaerotruncus; s__		Fucose_iso_C	COG2407	
acou___A5CBH24_16770		Alistipes communis	Curated_Outgroup			acou___A5CBH24_16770		PF02610	COG2160	K01804	acou___A5CBH24_16770	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__		Arabinose_Isome	COG2160	araA
adin___H7849_01290	fucose isomerase	Alloacidobacterium dinghuense	Curated_Outgroup	outgroup	outgroup	adin___H7849_01290		PF02952	COG2407		adin___H7849_01290	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Alloacidobacterium; s__		Fucose_iso_C	COG2407	
afx___JZ786_10460		Alicyclobacillus ferrooxydans	Curated_Outgroup			afx___JZ786_10460		PF02952	COG2407		afx___JZ786_10460	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__		Fucose_iso_C	COG2407	
agz___M0C34_14920	fucose isomerase	Agarivorans sp. TSD2052	Curated_Outgroup	outgroup	outgroup	agz___M0C34_14920		PF02952	COG2407		agz___M0C34_14920	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Agarivorans; s__		Fucose_iso_C	COG2407	
ahn___NCTC12129_02458	L-fucose isomerase and related proteins	Atlantibacter hermannii	Curated_Outgroup	outgroup	outgroup	ahn___NCTC12129_02458		PF02952	COG2407		ahn___NCTC12129_02458	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Atlantibacter; s__		Fucose_iso_C	COG2407	
alam___RT761_00021		Atribacter laminatus	Curated_Outgroup	outgroup	outgroup	alam___RT761_00021		PF02952	COG2407		alam___RT761_00021	d__Bacteria; p__Atribacterota; c__Atribacteria; o__Atribacterales; f__Atribacteraceae; g__Atribacter; s__		Fucose_iso_C	COG2407	
