tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q59109.2	RecName: Full=Sulfite reductase, dissimilatory-type subunit alpha; AltName: Full=Dissimilatory sulfite reductase subunit alpha; AltName: Full=Hydrogensulfite reductase subunit alpha	Archaeoglobus fulgidus DSM 4304	Reviewed_Ingroup	reductive_dsrA	reductive_dsrA	Q59109.2		PF03460;PF01077	COG2221	K11180	Q59109.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		NIR_SIR_ferr;NIR_SIR	COG2221	dsrA
P45574.3	RecName: Full=Sulfite reductase, dissimilatory-type subunit alpha; AltName: Full=Desulfoviridin subunit alpha; AltName: Full=Dissimilatory sulfite reductase subunit alpha; Short=dSiR alpha; AltName: Full=Hydrogensulfite reductase subunit alpha	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Ingroup	reductive_dsrA	reductive_dsrA	P45574.3		PF03460;PF01077	COG2221	K11180	P45574.3	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		NIR_SIR_ferr;NIR_SIR	COG2221	dsrA
O33998.1	RecName: Full=Sulfite reductase, dissimilatory-type subunit alpha; AltName: Full=Dissimilatory sulfite reductase subunit alpha; AltName: Full=Hydrogensulfite reductase subunit alpha	Allochromatium vinosum DSM 180	Reviewed_Ingroup	oxidative_dsrA	oxidative_dsrA	O33998.1		PF03460;PF01077	COG2221	K11180	O33998.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		NIR_SIR_ferr;NIR_SIR	COG2221	dsrA
WP_021759262.1	dissimilatory-type sulfite reductase subunit alpha [Desulfovibrio gigas]	Megalodesulfovibrio gigas	Reviewed_Ingroup	reductive_dsrA	reductive_dsrA	WP_021759262.1		PF01077	COG2221	K11180	WP_021759262.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Megalodesulfovibrio; s__		NIR_SIR	COG2221	dsrA
Q59110.1	RecName: Full=Sulfite reductase, dissimilatory-type subunit beta; AltName: Full=Hydrogensulfite reductase subunit beta	Archaeoglobus fulgidus DSM 4304	Reviewed_Outgroup	dsrB	dsrB	Q59110.1		PF03460;PF01077;PF00037	COG2221	K11181	Q59110.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		NIR_SIR_ferr;NIR_SIR;Fer4	COG2221	dsrB
Q58280.1	RecName: Full=Coenzyme F420-dependent sulfite reductase; AltName: Full=Sulfite reductase (coenzyme F420)	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	fsr	fsr	Q58280.1		PF04422;PF04432;PF03460;PF01077;PF00037;PF00037	COG2221	K21816;K00441	Q58280.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		FrhB_FdhB_N;FrhB_FdhB_C;NIR_SIR_ferr;NIR_SIR;Fer4;Fer4	COG2221	fsr;frhB
Q57971.1	RecName: Full=Uncharacterized protein MJ0551	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q57971.1		PF03460;PF01077	COG2221		Q57971.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		NIR_SIR_ferr;NIR_SIR	COG2221	
P0A1Y2.1	RecName: Full=Anaerobic sulfite reductase subunit C	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	asrC	asrC	P0A1Y2.1		PF03460;PF01077;PF14697	COG2221	K00385	P0A1Y2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		NIR_SIR_ferr;NIR_SIR;Fer4_21	COG2221	asrC
P0A1Y3.1	RecName: Full=Anaerobic sulfite reductase subunit C	Salmonella enterica subsp. enterica serovar Typhi	Reviewed_Outgroup	asrC	asrC	P0A1Y3.1		PF03460;PF01077;PF14697	COG2221	K00385	P0A1Y3.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		NIR_SIR_ferr;NIR_SIR;Fer4_21	COG2221	asrC
P45575.3	RecName: Full=Sulfite reductase, dissimilatory-type subunit beta; AltName: Full=Desulfoviridin subunit beta; AltName: Full=Dissimilatory sulfite reductase subunit beta; Short=dSiR beta; AltName: Full=Hydrogensulfite reductase subunit beta	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Outgroup	dsrB	dsrB	P45575.3		PF03460;PF01077	COG2221	K11181	P45575.3	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		NIR_SIR_ferr;NIR_SIR	COG2221	dsrB
