tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q06529.1	RecName: Full=Cytochrome subunit of sulfide dehydrogenase; AltName: Full=FCSD; Short=FC; AltName: Full=Flavocytochrome c cytochrome subunit; Flags: Precursor	Allochromatium vinosum DSM 180	Reviewed_Ingroup	fccA2	fccA2	Q06529.1			COG2863	K17230	Q06529.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__			COG2863	fccA
WP_013958326.1	MULTISPECIES: c-type cytochrome [Cupriavidus]	Cupriavidus	Reviewed_Ingroup	fccA1	fccA1	WP_013958326.1		PF13442	COG2863	K17230	WP_013958326.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__; s__		Cytochrome_CBB3	COG2863	fccA
AAL68891.1	cytochrome c subunit of flavocytochrome c sulfide dehydrogenase [Chlorobium limicola]	Chlorobium limicola	Reviewed_Ingroup	fccA1	fccA1	AAL68891.1			COG2863	K17230	AAL68891.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__			COG2863	fccA
WP_077277232.1	cytochrome C [Thioalkalivibrio denitrificans]	Thioalkalivibrio denitrificans	Reviewed_Ingroup	fccA1	fccA1	WP_077277232.1			COG2863	K17230	WP_077277232.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__			COG2863	fccA
Q8KAS5.1	RecName: Full=Cytochrome subunit of sulfide dehydrogenase; AltName: Full=FCSD; Short=FC; AltName: Full=Flavocytochrome c cytochrome subunit; Flags: Precursor	Chlorobaculum tepidum TLS	Reviewed_Ingroup	fccA1	fccA1	Q8KAS5.1			COG2863	K17230	Q8KAS5.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__			COG2863	fccA
P20958.1	RecName: Full=Cytochrome subunit of sulfide dehydrogenase; AltName: Full=FCSD; Short=FC; AltName: Full=Flavocytochrome c cytochrome subunit	Chlorobaculum thiosulfatiphilum	Reviewed_Ingroup	fccA1	fccA1	P20958.1		PF00034	COG2863	K17230	P20958.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__		Cytochrom_C	COG2863	fccA
A4VND9.1	RecName: Full=Thiosulfate dehydrogenase electron acceptor; Flags: Precursor	Pseudomonas stutzeri A1501	Reviewed_Outgroup	outgroup	outgroup	A4VND9.1		PF00034;PF00034	COG2863		A4VND9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__		Cytochrom_C;Cytochrom_C	COG2863	
D5WYQ6.1	RecName: Full=Thiosulfate dehydrogenase electron acceptor; Flags: Precursor	Thiomonas intermedia K12	Reviewed_Outgroup	outgroup	outgroup	D5WYQ6.1		PF00034;PF00034	COG2863		D5WYQ6.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Thiomonas; s__		Cytochrom_C;Cytochrom_C	COG2863	
O25825.1	RecName: Full=Cytochrome c-553; AltName: Full=Cytochrome c553; Flags: Precursor	Helicobacter pylori 26695	Reviewed_Outgroup	outgroup	outgroup	O25825.1		PF13442	COG2863		O25825.1	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__		Cytochrome_CBB3	COG2863	
P00105.1	RecName: Full=Cytochrome c-554(548); Short=Cytochrome c554	Halomonas halodenitrificans ATCC 12084	Reviewed_Outgroup	outgroup	outgroup	P00105.1		PF00034	COG2863	K17230	P00105.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__		Cytochrom_C	COG2863	fccA
