tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAF72962.1	sulfide quinone reductase [Geitlerinema sp. PCC 9228]	Geitlerinema sp. PCC 9228	Reviewed_Ingroup	sqrI	sqrI	AAF72962.1		PF07992	COG1252	K17218	AAF72962.1	d__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Coleofasciculaceae; g__Geitlerinema; s__		Pyr_redox_2	COG1252	sqr
AAM52227.1	sulfide:quinone oxidoreductase [Thiobacillus denitrificans]	Thiobacillus denitrificans	Reviewed_Ingroup	sqrI	sqrI	AAM52227.1		PF07992	COG0446	K17218	AAM52227.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Thiobacillaceae; g__Thiobacillus; s__		Pyr_redox_2	COG0446	sqr
ABF71988.1	sulfide:quinone oxidoreductase [Acidithiobacillus ferrooxidans]	Acidithiobacillus ferrooxidans	Reviewed_Ingroup	sqrI	sqrI	ABF71988.1		PF07992	COG0446	K17218	ABF71988.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		Pyr_redox_2	COG0446	sqr
ABV22505.1	sulfide:quinone oxidoreductase [Arenicola marina]	Arenicola marina	Reviewed_Ingroup	sqrII	sqrII	ABV22505.1		PF07992	COG0446	K22470;K17218	ABV22505.1	d__Eukaryota; p__Annelida; c__Polychaeta; o__; f__Arenicolidae; g__Arenicola; s__		Pyr_redox_2	COG0446	SQOR;sqr
CAA66112.1	sulfide-quinone reductase [Rhodobacter capsulatus]	Rhodobacter capsulatus	Reviewed_Ingroup	sqrI	sqrI	CAA66112.1		PF07992	COG1252	K17218	CAA66112.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__		Pyr_redox_2	COG1252	sqr
NP_214500.1	sulfide-quinone reductase [Aquifex aeolicus VF5]	Aquifex aeolicus VF5	Reviewed_Ingroup	sqrI	sqrI	NP_214500.1		PF07992	COG1252	K17218	NP_214500.1	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Pyr_redox_2	COG1252	sqr
NP_596067.1	sulfide-quinone oxidoreductase [Schizosaccharomyces pombe]	Schizosaccharomyces pombe	Reviewed_Ingroup	sqrII	sqrII	NP_596067.1			COG0446	K17218	NP_596067.1	d__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__			COG0446	sqr
NP_661023.1	sulfide-quinone reductase [Chlorobaculum tepidum TLS]	Chlorobaculum tepidum TLS	Reviewed_Ingroup	sqrIV	sqrIV	NP_661023.1		PF07992	COG0446	K17218	NP_661023.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__		Pyr_redox_2	COG0446	sqr
NP_661978.1	sulfide-quinone reductase [Chlorobaculum tepidum TLS]	Chlorobaculum tepidum TLS	Reviewed_Ingroup	sqrVI	sqrVI	NP_661978.1		PF07992	COG1252		NP_661978.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__		Pyr_redox_2	COG1252	
O67931.1	RecName: Full=Sulfide-quinone reductase; Short=SQR; AltName: Full=Sulfide:quinone oxidoreductase	Aquifex aeolicus VF5	Reviewed_Ingroup	sqrI	sqrI	O67931.1		PF07992	COG1252	K17218	O67931.1	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Pyr_redox_2	COG1252	sqr
