tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EJF39103.1	alcohol dehydrogenase, iron-dependent [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	Clostridium_sqwF	Clostridium_sqwF	EJF39103.1		PF00465	COG1454		EJF39103.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Fe-ADH	COG1454	
A4IP64.1	RecName: Full=Long-chain-alcohol dehydrogenase 1; AltName: Full=Alcohol dehydrogenase 1; Short=ADH1; AltName: Full=Fatty alcohol oxidoreductase 1; AltName: Full=Glycerol dehydrogenase	Geobacillus thermodenitrificans NG80-2	Reviewed_Outgroup	outgroup	outgroup	A4IP64.1		PF00465	COG1454	K19954	A4IP64.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		Fe-ADH	COG1454	adh1
A6ZTT5.2	RecName: Full=Alcohol dehydrogenase 4; AltName: Full=Alcohol dehydrogenase IV; Short=ADHIV	Saccharomyces cerevisiae YJM789	Reviewed_Outgroup	outgroup	outgroup	A6ZTT5.2		PF00465	COG1454		A6ZTT5.2	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__		Fe-ADH	COG1454	
P31005.3	RecName: Full=NAD-dependent methanol dehydrogenase; Short=MDH; Short=MEDH; AltName: Full=Type 3 alcohol dehydrogenase	Bacillus methanolicus	Reviewed_Outgroup	outgroup	outgroup	P31005.3		PF00465	COG1454	K13954	P31005.3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Fe-ADH	COG1454	yiaY
P71017.2	RecName: Full=Choline dehydrogenase; AltName: Full=Alcohol dehydrogenase	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P71017.2		PF00465	COG1454	K11440	P71017.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Fe-ADH	COG1454	gbsB
Q24803.1	RecName: Full=Aldehyde-alcohol dehydrogenase 2; Includes: RecName: Full=Alcohol dehydrogenase; Short=ADH; Includes: RecName: Full=Acetaldehyde dehydrogenase; Short=ACDH	Entamoeba histolytica	Reviewed_Outgroup	outgroup	outgroup	Q24803.1		PF00171;PF00465	COG1454	K04072	Q24803.1	d__Eukaryota; p__Evosea; c__; o__Mastigamoebida; f__Entamoebidae; g__Entamoeba; s__		Aldedh;Fe-ADH	COG1454	adhE
P0DJA2.1	RecName: Full=Alcohol dehydrogenase 2; AltName: Full=Alcohol dehydrogenase II; Short=ADH II	Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	Reviewed_Outgroup	outgroup	outgroup	P0DJA2.1		PF00465	COG1454	K13954	P0DJA2.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Zymomonadaceae; g__Zymomonas; s__		Fe-ADH	COG1454	yiaY
P13604.1	RecName: Full=NADPH-dependent butanol dehydrogenase; Short=BDH	Clostridium saccharobutylicum	Reviewed_Outgroup	outgroup	outgroup	P13604.1		PF00465	COG1454		P13604.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Fe-ADH	COG1454	
Q59477.1	RecName: Full=1,3-propanediol dehydrogenase; AltName: Full=1,3-propanediol oxidoreductase; AltName: Full=3-hydroxypropionaldehyde reductase	Klebsiella pneumoniae	Reviewed_Outgroup	outgroup	outgroup	Q59477.1		PF00465	COG1454	K00086;K13954	Q59477.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__		Fe-ADH	COG1454	dhaT;yiaY
Q09669.1	RecName: Full=Alcohol dehydrogenase 4; AltName: Full=Alcohol dehydrogenase IV; Flags: Precursor	Schizosaccharomyces pombe 972h-	Reviewed_Outgroup	outgroup	outgroup	Q09669.1		PF00465	COG1454	K13954	Q09669.1	d__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__		Fe-ADH	COG1454	yiaY
