tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P32140.2	RecName: Full=Sulfoquinovose isomerase; Short=SQ isomerase	Escherichia coli K-12	Reviewed_Ingroup	yihS	yihS	P32140.2		PF07221	COG2942	K18479	P32140.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		GlcNAc_2-epim	COG2942	yihS
Q8ZKT7.1	RecName: Full=Sulfoquinovose isomerase; Short=SQ isomerase	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Ingroup	yihS	yihS	Q8ZKT7.1		PF07221	COG2942	K18479	Q8ZKT7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		GlcNAc_2-epim	COG2942	yihS
aace___A0U92_00070	sugar isomerase	Acetobacter aceti	Curated_Outgroup			aace___A0U92_00070		PF07221	COG2942	K18479	aace___A0U92_00070	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter; s__		GlcNAc_2-epim	COG2942	yihS
abg___Asbog_01309	isomerase	Asaia bogorensis NBRC 16594	Curated_Outgroup			abg___Asbog_01309		PF07221	COG2942	K18479	abg___Asbog_01309	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Asaia; s__		GlcNAc_2-epim	COG2942	yihS
acij___JS278_00497	yihS; Sulfoquinovose isomerase	Acidipropionibacterium virtanenii	Curated_Outgroup			acij___JS278_00497		PF07221	COG2942	K18479	acij___JS278_00497	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Acidipropionibacterium; s__		GlcNAc_2-epim	COG2942	yihS
acq___AM609_14970	N-acylglucosamine 2-epimerase	Actinomyces sp. oral taxon 414	Curated_Outgroup	outgroup	outgroup	acq___AM609_14970		PF07221	COG2942	K18479	acq___AM609_14970	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__		GlcNAc_2-epim	COG2942	yihS
actc___CHIBA101_0071	N-acylglucosamine 2-epimerase	Actinomyces sp. Chiba101	Curated_Outgroup	outgroup	outgroup	actc___CHIBA101_0071		PF07221	COG2942	K18479	actc___CHIBA101_0071	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__		GlcNAc_2-epim	COG2942	yihS
actn___L083_4134	N-acylglucosamine 2-epimerase family protein	Actinoplanes sp. N902-109	Curated_Outgroup			actn___L083_4134		PF07221	COG2942	K18479	actn___L083_4134	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes; s__		GlcNAc_2-epim	COG2942	yihS
acto___C3V41_08610	N-acylglucosamine 2-epimerase	Actinomyces sp. oral taxon 897	Curated_Outgroup	outgroup	outgroup	acto___C3V41_08610		PF07221	COG2942	K18479	acto___C3V41_08610	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__		GlcNAc_2-epim	COG2942	yihS
actp___B6G06_00265	N-acylglucosamine 2-epimerase	Actinomyces gaoshouyii	Curated_Outgroup	outgroup	outgroup	actp___B6G06_00265		PF07221	COG2942	K18479	actp___B6G06_00265	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__		GlcNAc_2-epim	COG2942	yihS
acts___ACWT_3739	sugar isomerase	Actinoplanes sp. SE50	Curated_Outgroup			acts___ACWT_3739		PF07221	COG2942	K18479	acts___ACWT_3739	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes; s__		GlcNAc_2-epim	COG2942	yihS
