tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ATJ26742.1	MTO [Hyphomicrobium sp.]	Hyphomicrobium sp.	Reviewed_Ingroup	mtoX	mtoX	ATJ26742.1		PF05694		K17285	ATJ26742.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		SBP56		SELENBP1
WP_011242048.1	methanethiol oxidase [Ruegeria pomeroyi]	Ruegeria pomeroyi	Reviewed_Ingroup	mtoX	mtoX	WP_011242048.1		PF05694		K17285	WP_011242048.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		SBP56		SELENBP1
ADJ22562.1	selenium-binding protein, putative [Hyphomicrobium denitrificans ATCC 51888]	Hyphomicrobium denitrificans ATCC 51888	Reviewed_Ingroup	mtoX	mtoX	ADJ22562.1		PF05694	COG4880	K17285	ADJ22562.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		SBP56	COG4880	SELENBP1
WP_093522951.1	selenium-binding protein [Pseudovibrio ascidiaceicola]	Pseudovibrio ascidiaceicola	Reviewed_Ingroup	mtoX	mtoX	WP_093522951.1		PF05694	COG2319	K17285	WP_093522951.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Pseudovibrio; s__		SBP56	COG2319	SELENBP1
AAU90430.1	selenium-binding family protein [Methylococcus capsulatus str. Bath]	Methylococcus capsulatus str. Bath	Reviewed_Ingroup	mtoX	mtoX	AAU90430.1		PF05694		K17285	AAU90430.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__		SBP56		SELENBP1
O23264.1	RecName: Full=Selenium-binding protein 1; Short=AtSBP1	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	O23264.1		PF05694		K17285	O23264.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		SBP56		SELENBP1
P17563.2	RecName: Full=Methanethiol oxidase; Short=MTO; AltName: Full=56 kDa selenium-binding protein; Short=SBP56; Short=SP56; AltName: Full=Selenium-binding protein 1	Mus musculus	Reviewed_Outgroup	outgroup	outgroup	P17563.2		PF05694		K17285	P17563.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Mus; s__		SBP56		SELENBP1
Q13228.2	RecName: Full=Methanethiol oxidase; Short=MTO; AltName: Full=56 kDa selenium-binding protein; Short=SBP56; Short=SP56; AltName: Full=Selenium-binding protein 1	Homo sapiens	Reviewed_Outgroup	outgroup	outgroup	Q13228.2		PF05694		K17285	Q13228.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		SBP56		SELENBP1
Q52KZ7.1	RecName: Full=Methanethiol oxidase; Short=MTO; AltName: Full=Selenium-binding protein 1-A	Xenopus laevis	Reviewed_Outgroup	outgroup	outgroup	Q52KZ7.1		PF05694		K17285	Q52KZ7.1	d__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Pipidae; g__Xenopus; s__		SBP56		SELENBP1
Q6PHD9.1	RecName: Full=Methanethiol oxidase; Short=MTO; AltName: Full=Selenium-binding protein 1	Danio rerio	Reviewed_Outgroup	outgroup	outgroup	Q6PHD9.1		PF05694		K17285	Q6PHD9.1	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Danionidae; g__Danio; s__		SBP56		SELENBP1
Q93WN0.1	RecName: Full=Selenium-binding protein 2; AltName: Full=Protein EMBRYO SAC DEVELOPMENT ARREST 38	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	Q93WN0.1		PF05694		K17285	Q93WN0.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		SBP56		SELENBP1
Q9LK38.1	RecName: Full=Selenium-binding protein 3	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	Q9LK38.1		PF05694		K17285	Q9LK38.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		SBP56		SELENBP1
hdn___Hden_0743	selenium-binding protein, putative	Hyphomicrobium denitrificans ATCC 51888	Curated_Ingroup	mtoX	mtoX	hdn___Hden_0743		PF05694	COG4880	K17285	hdn___Hden_0743	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		SBP56	COG4880	SELENBP1
mhey___H2LOC_003065	selenium-binding protein	Methylocystis heyeri	Curated_Ingroup	mtoX	mtoX	mhey___H2LOC_003065		PF05694		K17285	mhey___H2LOC_003065	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylocystaceae; g__Methylocystis; s__		SBP56		SELENBP1
beba___BWI17_06710	selenium-binding protein	Betaproteobacteria bacterium GR16-43	Curated_Ingroup	mtoX	mtoX	beba___BWI17_06710		PF05694	COG3391	K17285	beba___BWI17_06710	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__		SBP56	COG3391	SELENBP1
masy___DPH57_23965	selenium-binding protein	Massilia sp. YMA4	Curated_Ingroup	mtoX	mtoX	masy___DPH57_23965		PF05694		K17285	masy___DPH57_23965	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__		SBP56		SELENBP1
mass___CR152_26710	selenium-binding protein	Massilia violaceinigra	Curated_Ingroup	mtoX	mtoX	mass___CR152_26710		PF05694		K17285	mass___CR152_26710	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia; s__		SBP56		SELENBP1
mca___MCA0317	selenium-binding family protein	Methylococcus capsulatus str. Bath	Curated_Ingroup	mtoX	mtoX	mca___MCA0317		PF05694		K17285	mca___MCA0317	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylococcus; s__		SBP56		SELENBP1
mmai___sS8_0647	selenium-binding protein	Methylocaldum marinum	Curated_Ingroup	mtoX	mtoX	mmai___sS8_0647		PF05694	COG2319	K17285	mmai___sS8_0647	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylocaldum; s__		SBP56	COG2319	SELENBP1
mein___methR_P1004	selenium-binding protein 1	Methyloprofundus sp.	Curated_Ingroup	mtoX	mtoX	mein___methR_P1004		PF05694	COG2319	K17285	mein___methR_P1004	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methyloprofundus; s__		SBP56	COG2319	SELENBP1
mell___IVG45_19665	selenium-binding protein	Methylomonas sp. LL1	Curated_Ingroup	mtoX	mtoX	mell___IVG45_19665		PF05694		K17285	mell___IVG45_19665	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylomonas; s__		SBP56		SELENBP1
moz___MoryE10_31310	selenium-binding protein	Methylogaea oryzae	Curated_Ingroup	mtoX	mtoX	moz___MoryE10_31310		PF05694	COG2319	K17285	moz___MoryE10_31310	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales; f__Methylococcaceae; g__Methylogaea; s__		SBP56	COG2319	SELENBP1
seds___AAY24_01585	selenium-binding protein		Curated_Ingroup	mtoX	mtoX	seds___AAY24_01585		PF05694		K17285	seds___AAY24_01585			SBP56		SELENBP1
kim___G3T16_01070	selenium-binding protein	Kineobactrum salinum	Curated_Ingroup	mtoX	mtoX	kim___G3T16_01070		PF05694		K17285	kim___G3T16_01070	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__Kineobactrum; s__		SBP56		SELENBP1
