tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ADJ22513.1	heterodisulfide reductase subunit C [Hyphomicrobium denitrificans ATCC 51888]	Hyphomicrobium denitrificans ATCC 51888	Reviewed_Ingroup	sHdrC2	sHdrC2	ADJ22513.1		PF13187	COG1150	K03390	ADJ22513.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
AAC06673.1	heterodisulfide reductase subunit C [Aquifex aeolicus VF5]	Aquifex aeolicus VF5	Reviewed_Ingroup	sHdrC2	sHdrC2	AAC06673.1		PF13534	COG1150	K03390	AAC06673.1	d__Bacteria; p__Aquificota; c__Aquificia; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
O27906.2	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit C; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27906.2		PF13183	COG1150	K03390	O27906.2	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
P84621.2	RecName: Full=Heterodisulfide reductase subunit C-like protein	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84621.2		PF13534	COG1150	K03390	P84621.2	d__Archaea; p__Methanobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q50754.6	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit C; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C	Methanothermobacter marburgensis str. Marburg	Reviewed_Outgroup	outgroup	outgroup	Q50754.6		PF13183	COG1150	K03390	Q50754.6	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q58154.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C 1	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58154.1		PF13534	COG1150	K03390	Q58154.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q58274.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C 2	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58274.1		PF13183	COG1150	K03390	Q58274.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8PY84.1	RecName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit C	Methanosarcina mazei Go1	Reviewed_Outgroup	outgroup	outgroup	Q8PY84.1		PF13183	COG1150	K03390	Q8PY84.1	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8TIB9.1	RecName: Full=Ferredoxin/F(420)H(2)-dependent CoB-CoM heterodisulfide reductase subunit C; AltName: Full=Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase subunit C; AltName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit C	Methanosarcina acetivorans C2A	Reviewed_Outgroup	outgroup	outgroup	Q8TIB9.1		PF13183	COG1150	K03390	Q8TIB9.1	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8TXT7.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	Q8TXT7.1		PF13534	COG1150	K03390	Q8TXT7.1	d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		4Fe-4S dicluster domain	Heterodisulfide reductase, subunit C	hdrC2; heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
