tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0A1Y2.1	RecName: Full=Anaerobic sulfite reductase subunit C	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Ingroup	asrC	asrC	P0A1Y2.1		PF03460;PF01077;PF14697	COG2221	K00385	P0A1Y2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		NIR_SIR_ferr;NIR_SIR;Fer4_21	COG2221	asrC
Q58280.1	RecName: Full=Coenzyme F420-dependent sulfite reductase; AltName: Full=Sulfite reductase (coenzyme F420)	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58280.1		PF04422;PF04432;PF03460;PF01077;PF00037;PF00037	COG2221	K21816;K00441	Q58280.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		FrhB_FdhB_N;FrhB_FdhB_C;NIR_SIR_ferr;NIR_SIR;Fer4;Fer4	COG2221	fsr;frhB
ses___SARI_00327	hypothetical protein	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	Curated_Ingroup	asrC	asrC	ses___SARI_00327		PF03460;PF01077;PF14697	COG2221	K00385	ses___SARI_00327	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		NIR_SIR_ferr;NIR_SIR;Fer4_21	COG2221	asrC
edl___AAZ33_08965	asrC; sulfite reductase subunit C	Edwardsiella sp. LADL05-105	Curated_Ingroup	asrC	asrC	edl___AAZ33_08965		PF03460;PF01077;PF14697	COG2221	K00385	edl___AAZ33_08965	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Hafniaceae; g__Edwardsiella; s__		NIR_SIR_ferr;NIR_SIR;Fer4_21	COG2221	asrC
aaj___BOQ57_13205	sulfite reductase subunit C	Aeromonas hydrophila	Curated_Ingroup	asrC	asrC	aaj___BOQ57_13205		PF03460;PF01077;PF14697	COG2221	K00385	aaj___BOQ57_13205	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		NIR_SIR_ferr;NIR_SIR;Fer4_21	COG2221	asrC
aar___Acear_1680	sulfite reductase, subunit C	Acetohalobium arabaticum DSM 5501	Curated_Ingroup	asrC	asrC	aar___Acear_1680		PF03460;PF01077;PF12838	COG2221	K00385	aar___Acear_1680	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Acetohalobium; s__		NIR_SIR_ferr;NIR_SIR;Fer4_7	COG2221	asrC
chd___Calhy_1535	sulfite reductase, subunit C	Caldicellulosiruptor hydrothermalis 108	Curated_Ingroup	asrC	asrC	chd___Calhy_1535		PF03460;PF01077;PF00037	COG2221	K00385	chd___Calhy_1535	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacterales Family III. Incertae Sedis; g__Caldicellulosiruptor; s__		NIR_SIR_ferr;NIR_SIR;Fer4	COG2221	asrC
tto___Thethe_00927	sulfite reductase, subunit C	Thermoanaerobacterium thermosaccharolyticum M0795	Curated_Ingroup	asrC	asrC	tto___Thethe_00927		PF03460;PF01077;PF00037	COG2221	K00385	tto___Thethe_00927	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacterales Family III. Incertae Sedis; g__Thermoanaerobacterium; s__		NIR_SIR_ferr;NIR_SIR;Fer4	COG2221	asrC
acac___EYQ97_10015	asrC; sulfite reductase subunit C	Anaerostipes caccae	Curated_Ingroup	asrC	asrC	acac___EYQ97_10015		PF03460;PF01077;PF12838	COG2221	K00385	acac___EYQ97_10015	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__		NIR_SIR_ferr;NIR_SIR;Fer4_7	COG2221	asrC
hhj___NQ487_22500	asrC; sulfite reductase subunit C	Hungatella hathewayi	Curated_Ingroup	asrC	asrC	hhj___NQ487_22500		PF03460;PF01077;PF12838	COG2221	K00385	hhj___NQ487_22500	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Hungatella; s__		NIR_SIR_ferr;NIR_SIR;Fer4_7	COG2221	asrC
