tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q65YW9.1	RecName: Full=FMNH(2)-dependent dimethylsulfone monooxygenase	Pseudomonas putida	Reviewed_Ingroup	sfnG	sfnG	Q65YW9.1		PF00296	COG2141	K17228	Q65YW9.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35]
Q3KC85.1	RecName: Full=FMNH(2)-dependent dimethylsulfone monooxygenase	Pseudomonas fluorescens Pf0-1	Reviewed_Ingroup	sfnG	sfnG	Q3KC85.1		PF00296	COG2141	K17228	Q3KC85.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	sfnG; dimethylsulfone monooxygenase [EC:1.14.14.35]
A1A9L2.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Escherichia coli APEC O1	Reviewed_Outgroup	ssuD	ssuD	A1A9L2.1		PF00296	COG2141	K04091	A1A9L2.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
A1JMY1.1	RecName: Full=Pyrimidine monooxygenase RutA	Yersinia enterocolitica subsp. enterocolitica 8081	Reviewed_Outgroup	rutA	rutA	A1JMY1.1		PF00296	COG2141	K09018	A1JMY1.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	rutA; pyrimidine oxygenase [EC:1.14.99.46]
A1TRM3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Acidovorax citrulli AAC00-1	Reviewed_Outgroup	ssuD	ssuD	A1TRM3.1		PF00296	COG2141	K04091	A1TRM3.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
A1VPZ7.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Polaromonas naphthalenivorans CJ2	Reviewed_Outgroup	ssuD	ssuD	A1VPZ7.1		PF00296	COG2141	K04091	A1VPZ7.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Polaromonas; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
A4TH89.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Yersinia pestis Pestoides F	Reviewed_Outgroup	ssuD	ssuD	A4TH89.1		PF00296	COG2141	K04091	A4TH89.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
A4VQH4.1	RecName: Full=Pyrimidine monooxygenase RutA	Stutzerimonas stutzeri A1501	Reviewed_Outgroup	rutA	rutA	A4VQH4.1		PF00296	COG2141	K09018	A4VQH4.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	rutA; pyrimidine oxygenase [EC:1.14.99.46]
A4W8V4.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Enterobacter sp. 638	Reviewed_Outgroup	ssuD	ssuD	A4W8V4.1		PF00296	COG2141	K04091	A4W8V4.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
A4Y0F3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Pseudomonas mendocina ymp	Reviewed_Outgroup	ssuD	ssuD	A4Y0F3.1		PF00296	COG2141	K04091	A4Y0F3.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Luciferase-like monooxygenase	Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)	ssuD, msuD; alkanesulfonate monooxygenase [EC:1.14.14.5 1.14.14.34]
