tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90107.2	ABC transporter, membrane spanning protein (sugar) [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoG	smoG	AAK90107.2		PF00528	COG1175	K02025	AAK90107.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		BPD_transp_1	COG1175	ABC.MS.P
O51924.2	RecName: Full=Trehalose/maltose transport system permease protein MalF	Thermococcus litoralis DSM 5473	Reviewed_Outgroup			O51924.2		PF00528	COG1175	K10237;K02025	O51924.2	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	thuF, sugA; trehalose/maltose transport system permease protein||ABC.MS.P; multiple sugar transport system permease protein
O32155.1	RecName: Full=Probable ABC transporter permease protein YurN	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O32155.1		PF00528	COG1175	K10118;K02025	O32155.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	msmF; raffinose/stachyose/melibiose transport system permease protein||ABC.MS.P; multiple sugar transport system permease protein
Q8FVS6.1	RecName: Full=Probable ABC transporter permease protein BRA0749/BS1330_II0742	Brucella suis 1330	Reviewed_Outgroup			Q8FVS6.1		PF00528	COG1175		Q8FVS6.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Brucellaceae; g__Brucella; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	
Q8FW09.1	RecName: Full=sn-glycerol-3-phosphate transport system permease protein UgpA	Brucella suis 1330	Reviewed_Outgroup	outgroup	outgroup	Q8FW09.1		PF00528	COG1175	K05814	Q8FW09.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Brucellaceae; g__Brucella; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	ugpA; sn-glycerol 3-phosphate transport system permease protein
P55602.1	RecName: Full=Probable ABC transporter permease protein y4oQ	Sinorhizobium fredii NGR234	Reviewed_Outgroup	outgroup	outgroup	P55602.1		PF00528	COG1175		P55602.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	
P0AFR7.1	RecName: Full=Inner membrane ABC transporter permease protein YcjO	Escherichia coli K-12	Reviewed_Outgroup			P0AFR7.1		PF00528	COG1175		P0AFR7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	
P29823.1	RecName: Full=Lactose transport system permease protein LacF	Agrobacterium tumefaciens	Reviewed_Outgroup	outgroup	outgroup	P29823.1		PF00528	COG1175	K10189;K02025	P29823.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	lacF, araP; lactose/L-arabinose transport system permease protein||ABC.MS.P; multiple sugar transport system permease protein
P94529.1	RecName: Full=Arabinooligosaccharides transport system permease protein AraP	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P94529.1		PF00528	COG1175	K17235	P94529.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	araP; arabinooligosaccharide transport system permease protein
P9WG03.1	RecName: Full=Trehalose transport system permease protein SugA	Mycobacterium tuberculosis H37Rv	Reviewed_Outgroup			P9WG03.1		PF00528	COG1175	K10237	P9WG03.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		Binding-protein-dependent transport system inner membrane component	ABC-type sugar transport system, permease component	thuF, sugA; trehalose/maltose transport system permease protein
