tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_105958950.1	aldehyde dehydrogenase family protein [Alkalicoccus urumqiensis]	Alkalicoccus urumqiensis	Reviewed_Ingroup	sftD	sftD	WP_105958950.1		PF00171	COG1012		WP_105958950.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Alkalicoccus; s__		Aldedh	COG1012	
WP_013058330.1	MULTISPECIES: aldehyde dehydrogenase family protein [Priestia]	Priestia	Reviewed_Ingroup	sftD	sftD	WP_013058330.1		PF00171	COG1012		WP_013058330.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		Aldedh	COG1012	
Q53197.1	RecName: Full=Putative aldehyde-dehydrogenase-like protein y4uC	Sinorhizobium fredii NGR234	Reviewed_Outgroup			Q53197.1		PF00171	COG1012		Q53197.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Aldedh	COG1012	
A6UQD0.1	RecName: Full=Lactaldehyde dehydrogenase	Methanococcus vannielii SB	Reviewed_Outgroup			A6UQD0.1		PF00171	COG1012	K19266	A6UQD0.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Aldedh	COG1012	E1.2.1.22
Q58806.2	RecName: Full=Lactaldehyde dehydrogenase	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup			Q58806.2		PF00171	COG1012	K19266	Q58806.2	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Aldedh	COG1012	E1.2.1.22
A6UVT6.1	RecName: Full=Lactaldehyde dehydrogenase	Methanococcus aeolicus Nankai-3	Reviewed_Outgroup			A6UVT6.1		PF00171	COG1012	K19266	A6UVT6.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Aldedh	COG1012	E1.2.1.22
Q9I6M5.1	RecName: Full=Glutarate-semialdehyde dehydrogenase	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup			Q9I6M5.1		PF00171	COG1012	K00135	Q9I6M5.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Aldedh	COG1012	gabD
Q2BN77.1	RecName: Full=Sulfoacetaldehyde dehydrogenase	Neptuniibacter caesariensis	Reviewed_Outgroup			Q2BN77.1		PF00171	COG1012		Q2BN77.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Oceanospirillaceae; g__Neptuniibacter; s__		Aldedh	COG1012	
Q9HK01.1	RecName: Full=D-glyceraldehyde dehydrogenase (NADP(+)); Short=GADH; Short=Glyceraldehyde DH	Thermoplasma acidophilum DSM 1728	Reviewed_Outgroup			Q9HK01.1		PF00171	COG1012	K18128;K07248	Q9HK01.1	d__Archaea; p__Candidatus Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmatales; f__Thermoplasmataceae; g__Thermoplasma; s__		Aldedh	COG1012	gadh;aldA
Q9SAK4.2	RecName: Full=Succinate-semialdehyde dehydrogenase, mitochondrial; Short=At-SSADH1; AltName: Full=Aldehyde dehydrogenase family 5 member F1; AltName: Full=NAD(+)-dependent succinic semialdehyde dehydrogenase; AltName: Full=Protein ENLARGED FIL EXPRESSING DOMAIN 1; Flags: Precursor	Arabidopsis thaliana	Reviewed_Outgroup			Q9SAK4.2		PF00171	COG1012	K17761;K00139;K00135	Q9SAK4.2	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Aldedh	COG1012	SSADH;ALDH5A1;gabD
