tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90110.1	transcriptional regulator, GntR family [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoD	smoD	AAK90110.1		PF00392;PF07702	COG2188		AAK90110.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		GntR;UTRA	COG2188	
aaa___Acav_4134	transcriptional regulator, GntR family	Acidovorax avenae subsp. avenae ATCC 19860	Curated_Outgroup	outgroup	outgroup	aaa___Acav_4134		PF00392;PF07702	COG2188	K03710	aaa___Acav_4134	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		GntR;UTRA	COG2188	K03710
aal___EP13_18105	GntR family transcriptional regulator	Alteromonas australica	Curated_Outgroup	outgroup	outgroup	aal___EP13_18105		PF00392;PF07702	COG2188	K03710	aal___EP13_18105	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__		GntR;UTRA	COG2188	K03710
aamm___FE795_04855	GntR family transcriptional regulator	Alcaligenes ammonioxydans	Curated_Outgroup	outgroup	outgroup	aamm___FE795_04855		PF00392;PF07702	COG2188	K03710	aamm___FE795_04855	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__		GntR;UTRA	COG2188	K03710
aant___HUK68_05975	GntR family transcriptional regulator	Acidovorax antarcticus	Curated_Outgroup	outgroup	outgroup	aant___HUK68_05975		PF00392;PF07702	COG2188	K03710	aant___HUK68_05975	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		GntR;UTRA	COG2188	K03710
aaw___AVL56_18460	GntR family transcriptional regulator	Alteromonas stellipolaris	Curated_Outgroup	outgroup	outgroup	aaw___AVL56_18460		PF00392;PF07702	COG2188	K03710	aaw___AVL56_18460	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__		GntR;UTRA	COG2188	K03710
abre___pbN1_41100	Transcriptional regulator, GntR family	Aromatoleum bremense	Curated_Outgroup	outgroup	outgroup	abre___pbN1_41100		PF00392;PF07702	COG2188	K03710	abre___pbN1_41100	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Aromatoleum; s__		GntR;UTRA	COG2188	K03710
acac___EYQ97_15500	GntR family transcriptional regulator	Anaerostipes caccae	Curated_Outgroup	outgroup	outgroup	acac___EYQ97_15500		PF00392;PF07702	COG2188	K03710	acac___EYQ97_15500	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerostipes; s__		GntR;UTRA	COG2188	K03710
achb___DVB37_06380	GntR family transcriptional regulator	Achromobacter sp. B7	Curated_Outgroup	outgroup	outgroup	achb___DVB37_06380		PF00392;PF07702	COG2188	K03710	achb___DVB37_06380	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__		GntR;UTRA	COG2188	K03710
achr___C2U31_13410	GntR family transcriptional regulator	Achromobacter sp. AONIH1	Curated_Outgroup	outgroup	outgroup	achr___C2U31_13410		PF00392;PF07702	COG2188	K03710	achr___C2U31_13410	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__		GntR;UTRA	COG2188	K03710
