tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
NP_343280.1	terminal quinol oxidase subunit, (doxD-like) [Sulfolobus solfataricus P2]	Saccharolobus solfataricus P2	Reviewed_Ingroup	doxDA	doxDA	NP_343280.1		PF04173			NP_343280.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__		DoxD		
NP_809428.1	terminal quinol oxidase subunit [Bacteroides thetaiotaomicron VPI-5482]	Bacteroides thetaiotaomicron VPI-5482	Reviewed_Ingroup	doxDA	doxDA	NP_809428.1		PF04173;PF07680	COG2259	K05908	NP_809428.1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__		DoxD;DoxA	COG2259	doxDA
WP_051984759.1	quinol oxidase [Acidithiobacillus ferrivorans]	Acidithiobacillus ferrivorans	Reviewed_Ingroup	doxDA	doxDA	WP_051984759.1		PF04173;PF07680	COG2259	K05908	WP_051984759.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
CAB83537.1	putative integral membrane protein [Neisseria meningitidis Z2491]	Neisseria meningitidis Z2491	Reviewed_Outgroup	outgroup	outgroup	CAB83537.1		PF07681	COG2259	K15977	CAB83537.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Neisseria; s__		DoxX	COG2259	K15977
NP_103189.1	hypothetical protein mlr1652 [Mesorhizobium loti MAFF303099]	Mesorhizobium japonicum MAFF 303099	Reviewed_Outgroup	outgroup	outgroup	NP_103189.1		PF07681	COG2259	K15977	NP_103189.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		DoxX	COG2259	K15977
P97207.1	RecName: Full=Thiosulfate dehydrogenase [quinone] large subunit; AltName: Full=Thiosulfate:quinone oxidoreductase; Short=TQO	Acidianus ambivalens	Reviewed_Ingroup	doxDA	doxDA	P97207.1		PF04173	COG2259		P97207.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxD	COG2259	
NP_377837.1	hypothetical protein ST1855 [Sulfolobus tokodaii str. 7]	Sulfurisphaera tokodaii str. 7	Reviewed_Ingroup	doxDA	doxDA	NP_377837.1		PF04173	COG2259		NP_377837.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfurisphaera; s__		DoxD	COG2259	
NP_343149.1	terminal quinol oxidase subunit (doxD) [Sulfolobus solfataricus P2]	Saccharolobus solfataricus P2	Reviewed_Ingroup	doxDA	doxDA	NP_343149.1		PF04173	COG2259	K16937	NP_343149.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Saccharolobus; s__		DoxD	COG2259	doxD
CAC86936.1	aa3-type cytochrome, terminal oxidase [Acidianus ambivalens]	Acidianus ambivalens	Reviewed_Ingroup	doxDA	doxDA	CAC86936.1		PF04173			CAC86936.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Acidianus; s__		DoxD		
afe___Lferr_0045	TQO small subunit DoxD	Acidithiobacillus ferrooxidans ATCC 53993	Curated_Ingroup	doxDA	doxDA	afe___Lferr_0045		PF04173;PF07680	COG2259	K05908	afe___Lferr_0045	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
afe___Lferr_0049	TQO small subunit DoxD	Acidithiobacillus ferrooxidans ATCC 53993	Curated_Ingroup	doxDA	doxDA	afe___Lferr_0049		PF04173;PF07680	COG2259	K05908	afe___Lferr_0049	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
afi___Acife_1384	TQO small subunit DoxD domain-containing protein	Acidithiobacillus ferrivorans SS3	Curated_Ingroup	doxDA	doxDA	afi___Acife_1384		PF04173;PF07680	COG2259	K05908	afi___Acife_1384	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
acu___Atc_1596	Putative terminal quinol oxidase, subunit DoxD	Acidithiobacillus caldus SM-1	Curated_Ingroup	doxDA	doxDA	acu___Atc_1596		PF04173;PF07680	COG2259	K05908	acu___Atc_1596	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
atx___GCD22_02316	quinol oxidase	Acidithiobacillus thiooxidans ATCC 19377	Curated_Ingroup	doxDA	doxDA	atx___GCD22_02316		PF04173;PF07680	COG2259	K05908	atx___GCD22_02316	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		DoxD;DoxA	COG2259	doxDA
aasc___A4S02_14445	quinol oxidase	Acetobacter ascendens	Curated_Ingroup	doxDA	doxDA	aasc___A4S02_14445		PF04173;PF07680	COG2259	K05908	aasc___A4S02_14445	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acetobacter; s__		DoxD;DoxA	COG2259	doxDA
ses___SARI_04622	hypothetical protein	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	Curated_Ingroup	doxDA	doxDA	ses___SARI_04622		PF04173;PF07680	COG2259	K05908	ses___SARI_04622	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		DoxD;DoxA	COG2259	doxDA
alg___AQULUS_02220	hypothetical protein	Aquicella lusitana	Curated_Ingroup	doxDA	doxDA	alg___AQULUS_02220		PF04173;PF07680	COG2259	K05908	alg___AQULUS_02220	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Aquicella; s__		DoxD;DoxA	COG2259	doxDA
asip___AQUSIP_08550	hypothetical protein	Aquicella siphonis	Curated_Ingroup	doxDA	doxDA	asip___AQUSIP_08550		PF04173;PF07680	COG2259	K05908	asip___AQUSIP_08550	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Aquicella; s__		DoxD;DoxA	COG2259	doxDA
tmc___LMI_1625	doxD; DoxD-like family protein	Tatlockia micdadei	Curated_Ingroup	doxDA	doxDA	tmc___LMI_1625		PF04173;PF07680		K05908	tmc___LMI_1625	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Tatlockia; s__		DoxD;DoxA		doxDA
acii___C4901_16615	quinol oxidase	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	doxDA	doxDA	acii___C4901_16615		PF04173;PF07680	COG2259	K05908	acii___C4901_16615	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		DoxD;DoxA	COG2259	doxDA
aprs___BI364_10470	hypothetical protein	Acidihalobacter prosperus	Curated_Ingroup	doxDA	doxDA	aprs___BI364_10470		PF04173;PF07680		K05908	aprs___BI364_10470	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Acidihalobacter; s__		DoxD;DoxA		doxDA
