tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q8U195.1	RecName: Full=Sulfide dehydrogenase subunit alpha; Short=SuDH; AltName: Full=Ferredoxin:NADP oxidoreductase; Short=FNOR; Flags: Precursor	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	sudA	sudA	Q8U195.1		PF14691;PF07992	COG0493	K20202;K00266	Q8U195.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_20;Pyr_redox_2	COG0493	sudA;gltD
P09832.3	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P09832.3		PF14691;PF07992	COG0493	K00266	P09832.3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q05756.3	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT	Azospirillum brasilense	Reviewed_Outgroup	outgroup	outgroup	Q05756.3		PF14691;PF07992	COG0493	K00266	Q05756.3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q46820.2	RecName: Full=Putative oxidoreductase UacF; AltName: Full=Uric acid degradation formate-related element	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	Q46820.2		PF13247;PF14691;PF07992	COG0493	K00266	Q46820.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_11;Fer4_20;Pyr_redox_2	COG0493	gltD
Q74FU5.1	RecName: Full=NADPH-Fe(3+) oxidoreductase subunit beta; AltName: Full=Soluble Fe(3+) reductase beta subunit	Geobacter sulfurreducens PCA	Reviewed_Outgroup			Q74FU5.1		PF10589;PF14691;PF07992	COG0493	K15022	Q74FU5.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__		NADH_4Fe-4S;Fer4_20;Pyr_redox_2	COG0493	fdhB
D7AF64.1	RecName: Full=NADPH-Fe(3+) oxidoreductase subunit beta; AltName: Full=Soluble Fe(3+) reductase beta subunit	Geobacter sulfurreducens KN400	Reviewed_Outgroup			D7AF64.1		PF10589;PF14691;PF07992	COG0493	K15022	D7AF64.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__		NADH_4Fe-4S;Fer4_20;Pyr_redox_2	COG0493	fdhB
E1V8I0.1	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=GOGAT; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain	Halomonas elongata DSM 2581	Reviewed_Outgroup	outgroup	outgroup	E1V8I0.1		PF14691;PF07992	COG0493	K00266	E1V8I0.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
O08340.1	RecName: Full=Putative glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT	Cereibacter sphaeroides	Reviewed_Outgroup	outgroup	outgroup	O08340.1		PF14691;PF07992	COG0493	K00266	O08340.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
P9WN19.1	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain	Mycobacterium tuberculosis H37Rv	Reviewed_Outgroup	outgroup	outgroup	P9WN19.1		PF14691;PF07992	COG0493	K00266	P9WN19.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
P9WN18.1	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain	Mycobacterium tuberculosis CDC1551	Reviewed_Outgroup	outgroup	outgroup	P9WN18.1		PF14691;PF07992	COG0493	K00266	P9WN18.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q8X645.1	RecName: Full=NAD-dependent dihydropyrimidine dehydrogenase subunit PreT; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Escherichia coli O157:H7	Reviewed_Outgroup			Q8X645.1		PF14691;PF07992	COG0493	K17722	Q8X645.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_20;Pyr_redox_2	COG0493	preT
P76440.1	RecName: Full=NAD-dependent dihydropyrimidine dehydrogenase subunit PreT; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Escherichia coli K-12	Reviewed_Outgroup			P76440.1		PF14691;PF07992	COG0493	K17722	P76440.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_20;Pyr_redox_2	COG0493	preT
Q8ZNL8.1	RecName: Full=NAD-dependent dihydropyrimidine dehydrogenase subunit PreT; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup			Q8ZNL8.1		PF14691;PF07992	COG0493	K17722	Q8ZNL8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Fer4_20;Pyr_redox_2	COG0493	preT
Q8Z5A6.1	RecName: Full=NAD-dependent dihydropyrimidine dehydrogenase subunit PreT homolog; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Salmonella enterica subsp. enterica serovar Typhi	Reviewed_Outgroup			Q8Z5A6.1		PF14691;PF07992	COG0493	K17722	Q8Z5A6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Fer4_20;Pyr_redox_2	COG0493	preT
O34399.2	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=NADPH-GOGAT	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O34399.2		PF14691;PF07992	COG0493	K00266	O34399.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
pfi___PFC_05850	oxidoreductase	Pyrococcus furiosus COM1	Curated_Ingroup	sudA	sudA	pfi___PFC_05850		PF14691;PF07992	COG0493	K20202;K00266	pfi___PFC_05850	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_20;Pyr_redox_2	COG0493	sudA;gltD
tsl___A3L11_00930	dihydropyrimidine dehydrogenase	Thermococcus siculi	Curated_Ingroup	sudA	sudA	tsl___A3L11_00930		PF14691;PF07992	COG0493	K00266	tsl___A3L11_00930	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
kcr___Kcr_0346	glutamate synthase (NADPH), homotetrameric	Candidatus Korarchaeum cryptofilum OPF8	Curated_Ingroup	sudA	sudA	kcr___Kcr_0346		PF14691;PF07992	COG0493	K00266	kcr___Kcr_0346	d__Archaea; p__Candidatus Korarchaeota; c__; o__; f__; g__Candidatus Korarchaeum; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
dsy___DSY2361	hypothetical protein	Desulfitobacterium hafniense Y51	Curated_Outgroup			dsy___DSY2361		PF14691;PF07992	COG0493	K00266	dsy___DSY2361	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfitobacterium; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
hcv___FTV88_0367	NADPH-dependent glutamate synthase, homotetrameric	Heliorestis convoluta	Curated_Outgroup			hcv___FTV88_0367		PF14691;PF07992	COG0493	K00266	hcv___FTV88_0367	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Heliobacteriaceae; g__Heliorestis; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
