tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ACR76326.1	3-hydroxyisobutyrate dehydrogenase [[Eubacterium] rectale ATCC 33656]	[Eubacterium] rectale ATCC 33656	Reviewed_Ingroup	sftR	sftR	ACR76326.1		PF03446;PF14833	COG2084	K00020	ACR76326.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
WP_044902466.1	NAD(P)-dependent oxidoreductase [[Clostridium] symbiosum]	[Clostridium] symbiosum	Reviewed_Ingroup	sftR	sftR	WP_044902466.1		PF03446;PF14833	COG2084	K00020	WP_044902466.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Lachnoclostridium; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
Q0QLF5.1	RecName: Full=2-(hydroxymethyl)glutarate dehydrogenase	Eubacterium barkeri	Reviewed_Outgroup	outgroup	outgroup	Q0QLF5.1		PF03446;PF14833	COG2084	K19647;K00020	Q0QLF5.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium; s__		NAD_binding_2;NAD_binding_11	COG2084	hgd;HIBADH
Q9LSV0.1	RecName: Full=Glyoxylate/succinic semialdehyde reductase 1; Short=AtGLYR1; Short=AtGR1; Short=SSA reductase 1; AltName: Full=Gamma-hydroxybutyrate dehydrogenase; Short=AtGHBDH	Arabidopsis thaliana	Reviewed_Outgroup			Q9LSV0.1		PF03446;PF14833	COG2084	K18121;K00020	Q9LSV0.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		NAD_binding_2;NAD_binding_11	COG2084	GLYR;HIBADH
P31937.2	RecName: Full=3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor	Homo sapiens	Reviewed_Outgroup	outgroup	outgroup	P31937.2		PF03446;PF14833	COG2084	K00020	P31937.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
O34948.1	RecName: Full=Uncharacterized oxidoreductase YkwC	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup			O34948.1		PF03446;PF14833	COG2084	K00020	O34948.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
Q9SUC0.3	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	Q9SUC0.3		PF03446;PF14833	COG2084	K23146;K00020	Q9SUC0.3	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		NAD_binding_2;NAD_binding_11	COG2084	HPD1;HIBADH
P0ABQ2.1	RecName: Full=2-hydroxy-3-oxopropionate reductase; AltName: Full=Tartronate semialdehyde reductase; Short=TSAR	Escherichia coli K-12	Reviewed_Outgroup			P0ABQ2.1		PF03446;PF14833	COG2084	K00042;K00020	P0ABQ2.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NAD_binding_2;NAD_binding_11	COG2084	garR;HIBADH
P28811.1	RecName: Full=3-hydroxyisobutyrate dehydrogenase; Short=HIBADH	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	outgroup	outgroup	P28811.1		PF03446;PF14833	COG2084	K00020	P28811.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
Q9V8M5.2	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor	Drosophila melanogaster	Reviewed_Outgroup	outgroup	outgroup	Q9V8M5.2		PF03446;PF14833	COG2084	K00020	Q9V8M5.2	d__Eukaryota; p__Arthropoda; c__Insecta; o__Diptera; f__Drosophilidae; g__Drosophila; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
F4I907.1	RecName: Full=Glyoxylate/succinic semialdehyde reductase 2, chloroplastic; Short=AtGLYR2; Short=AtGR2; Short=SSA reductase 2; Flags: Precursor	Arabidopsis thaliana	Reviewed_Outgroup			F4I907.1		PF03446;PF14833	COG2084	K18121;K00020	F4I907.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		NAD_binding_2;NAD_binding_11	COG2084	GLYR;HIBADH
P0A9V9.1	RecName: Full=3-sulfolactaldehyde reductase; Short=SLA reductase	Shigella flexneri	Reviewed_Outgroup	yihU	yihU	P0A9V9.1		PF03446;PF14833	COG2084	K08318;K00020	P0A9V9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__		NAD_binding_2;NAD_binding_11	COG2084	yihU;HIBADH
P77161.1	RecName: Full=2-hydroxy-3-oxopropionate reductase; AltName: Full=Tartronate semialdehyde reductase; Short=TSAR	Escherichia coli K-12	Reviewed_Outgroup			P77161.1		PF03446;PF14833	COG2084	K00042;K00020	P77161.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		NAD_binding_2;NAD_binding_11	COG2084	garR;HIBADH
Q9SZE1.1	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase-like 1, mitochondrial; Short=HIBADH-like; Flags: Precursor	Arabidopsis thaliana	Reviewed_Outgroup			Q9SZE1.1		PF03446;PF14833	COG2084	K00020	Q9SZE1.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
Q54CX6.1	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; Flags: Precursor	Dictyostelium discoideum	Reviewed_Outgroup	outgroup	outgroup	Q54CX6.1		PF03446;PF14833	COG2084	K00020	Q54CX6.1	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Dictyosteliales; f__Dictyosteliaceae; g__Dictyostelium; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
Q9I5I6.1	RecName: Full=NAD-dependent L-serine dehydrogenase; AltName: Full=L-serine 3-dehydrogenase (NAD(+))	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	outgroup	outgroup	Q9I5I6.1		PF03446;PF14833	COG2084	K19711;K00020	Q9I5I6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		NAD_binding_2;NAD_binding_11	COG2084	E1.1.1.387;HIBADH
Q9XTI0.1	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH	Caenorhabditis elegans	Reviewed_Outgroup	outgroup	outgroup	Q9XTI0.1		PF03446;PF14833	COG2084	K00020	Q9XTI0.1	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Rhabditidae; g__Caenorhabditis; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
P63936.1	RecName: Full=Probable 3-hydroxyisobutyrate dehydrogenase; Short=HIBADH	Mycobacterium tuberculosis variant bovis AF2122/97	Reviewed_Outgroup	outgroup	outgroup	P63936.1		PF03446;PF14833	COG2084	K00020	P63936.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
O34969.2	RecName: Full=Uncharacterized oxidoreductase YfjR	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup			O34969.2		PF03446;PF14833	COG2084	K00020	O34969.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		NAD_binding_2;NAD_binding_11	COG2084	HIBADH
