tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EJF39090.1	transketolase, C-terminal domain protein [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	Firmicutes_sqwH	Firmicutes_sqwH	EJF39090.1		PF02779;PF02780	COG3958		EJF39090.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		Transket_pyr;Transketolase_C	COG3958	
Q58092.1	PUTATIVE PSEUDOGENE: RecName: Full=Putative transketolase C-terminal section; Short=TK	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup			Q58092.1		PF02779;PF02780	COG3958	K00615	Q58092.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Transket_pyr;Transketolase_C	COG3958	E2.2.1.1
P55573.1	PUTATIVE PSEUDOGENE: RecName: Full=Putative uncharacterized transketolase family protein y4mN	Sinorhizobium fredii NGR234	Reviewed_Outgroup			P55573.1		PF02779;PF02780	COG3958	K00615	P55573.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Transket_pyr;Transketolase_C	COG3958	E2.2.1.1
B0TEJ5.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Heliomicrobium modesticaldum Ice1	Reviewed_Outgroup	outgroup	outgroup	B0TEJ5.1		PF13292;PF02779;PF02780	COG1154	K01662	B0TEJ5.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Heliobacteriaceae; g__Heliomicrobium; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q74FC3.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase 1; AltName: Full=1-deoxyxylulose-5-phosphate synthase 1; Short=DXP synthase 1; Short=DXPS 1	Geobacter sulfurreducens PCA	Reviewed_Outgroup	outgroup	outgroup	Q74FC3.1		PF13292;PF02779;PF02780	COG1154	K01662	Q74FC3.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q6AJQ1.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Desulfotalea psychrophila LSv54	Reviewed_Outgroup	outgroup	outgroup	Q6AJQ1.1		PF13292;PF02779;PF02780	COG1154	K01662	Q6AJQ1.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfobacterales; f__Desulfocapsaceae; g__Desulfotalea; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B1I3J6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Candidatus Desulforudis audaxviator MP104C	Reviewed_Outgroup	outgroup	outgroup	B1I3J6.1		PF13292;PF02779;PF02780	COG1154	K01662	B1I3J6.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Candidatus Desulforudis; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
A5D2Z6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Pelotomaculum thermopropionicum SI	Reviewed_Outgroup	outgroup	outgroup	A5D2Z6.1		PF13292;PF02779;PF02780	COG1154	K01662	A5D2Z6.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfotomaculaceae; g__Pelotomaculum; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q3A3Z6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Syntrophotalea carbinolica DSM 2380	Reviewed_Outgroup	outgroup	outgroup	Q3A3Z6.1		PF13292;PF02779;PF02780	COG1154	K01662	Q3A3Z6.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Syntrophotaleaceae; g__Syntrophotalea; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B8FQ45.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Desulfitobacterium hafniense DCB-2	Reviewed_Outgroup	outgroup	outgroup	B8FQ45.1		PF13292;PF02779;PF02780	COG1154	K01662	B8FQ45.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfitobacterium; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q8RAC5.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Caldanaerobacter subterraneus subsp. tengcongensis MB4	Reviewed_Outgroup	outgroup	outgroup	Q8RAC5.1		PF13292;PF02779;PF02780	COG1154	K01662	Q8RAC5.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Caldanaerobacter; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q9D4D4.1	RecName: Full=Transketolase-like protein 2	Mus musculus	Reviewed_Outgroup			Q9D4D4.1		PF00456;PF02779;PF02780	COG0021	K00615	Q9D4D4.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Mus; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
Q67NB6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Symbiobacterium thermophilum IAM 14863	Reviewed_Outgroup	outgroup	outgroup	Q67NB6.1		PF13292;PF02779;PF02780	COG1154	K01662	Q67NB6.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Symbiobacteriaceae; g__Symbiobacterium; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B9L1L6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Thermomicrobium roseum DSM 5159	Reviewed_Outgroup	outgroup	outgroup	B9L1L6.1		PF13292;PF02779;PF02780	COG1154	K01662	B9L1L6.1	d__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__Thermomicrobiales; f__Thermomicrobiaceae; g__Thermomicrobium; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B2J5P1.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Nostoc punctiforme PCC 73102	Reviewed_Outgroup	outgroup	outgroup	B2J5P1.1		PF13292;PF02779;PF02780	COG1154	K01662	B2J5P1.1	d__Bacteria; p__Cyanobacteria; c__; o__Nostocales; f__Nostocaceae; g__Nostoc; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q8GAA0.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Synechococcus elongatus PCC 7942 = FACHB-805	Reviewed_Outgroup	outgroup	outgroup	Q8GAA0.1		PF13292;PF02779;PF02780	COG1154	K01662	Q8GAA0.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q81M54.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Bacillus anthracis	Reviewed_Outgroup	outgroup	outgroup	Q81M54.1		PF13292;PF02779;PF02780	COG1154	K01662	Q81M54.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q74CB0.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase 2; AltName: Full=1-deoxyxylulose-5-phosphate synthase 2; Short=DXP synthase 2; Short=DXPS 2	Geobacter sulfurreducens PCA	Reviewed_Outgroup	outgroup	outgroup	Q74CB0.1		PF13292;PF02779;PF02780	COG1154	K01662	Q74CB0.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q7V1G6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Reviewed_Outgroup	outgroup	outgroup	Q7V1G6.1		PF13292;PF02779;PF02780	COG1154	K01662	Q7V1G6.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorococcaceae; g__Prochlorococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q2RIB9.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Moorella thermoacetica ATCC 39073	Reviewed_Outgroup	outgroup	outgroup	Q2RIB9.1		PF13292;PF02779;PF02780	COG1154	K01662	Q2RIB9.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Moorella; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q2LUA7.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Syntrophus aciditrophicus SB	Reviewed_Outgroup	outgroup	outgroup	Q2LUA7.1		PF13292;PF02779;PF02780	COG1154	K01662	Q2LUA7.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophales; f__Syntrophaceae; g__Syntrophus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
C0ZC10.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Brevibacillus brevis NBRC 100599	Reviewed_Outgroup	outgroup	outgroup	C0ZC10.1		PF13292;PF02779;PF02780	COG1154	K01662	C0ZC10.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Brevibacillus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
A6LFB9.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Parabacteroides distasonis ATCC 8503	Reviewed_Outgroup	outgroup	outgroup	A6LFB9.1		PF13292;PF02779;PF02780	COG1154	K01662	A6LFB9.1	d__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae; g__Parabacteroides; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
C1F3C4.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Acidobacterium capsulatum ATCC 51196	Reviewed_Outgroup	outgroup	outgroup	C1F3C4.1		PF13292;PF02779;PF02780	COG1154	K01662	C1F3C4.1	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidobacterium; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q7NP63.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Gloeobacter violaceus PCC 7421	Reviewed_Outgroup	outgroup	outgroup	Q7NP63.1		PF13292;PF02779;PF02780	COG1154	K01662	Q7NP63.1	d__Bacteria; p__Cyanobacteria; c__Gloeobacteria; o__Gloeobacterales; f__Gloeobacteraceae; g__Gloeobacter; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
A5GTT4.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Synechococcus sp. RCC307	Reviewed_Outgroup	outgroup	outgroup	A5GTT4.1		PF13292;PF02779;PF02780	COG1154	K01662	A5GTT4.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q7VC14.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Prochlorococcus marinus subsp. marinus str. CCMP1375	Reviewed_Outgroup	outgroup	outgroup	Q7VC14.1		PF13292;PF02779;PF02780	COG1154	K01662	Q7VC14.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Prochlorococcaceae; g__Prochlorococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q9K971.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Halalkalibacterium halodurans C-125	Reviewed_Outgroup	outgroup	outgroup	Q9K971.1		PF13292;PF02779;PF02780	COG1154	K01662	Q9K971.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Halalkalibacterium (ex Joshi et al. 2022); s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q4R6M8.1	RecName: Full=Transketolase-like protein 1; AltName: Full=Transketolase 2; Short=TK 2	Macaca fascicularis	Reviewed_Outgroup			Q4R6M8.1		PF00456;PF00456;PF02779;PF02780	COG0021	K00615	Q4R6M8.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Cercopithecidae; g__Macaca; s__		Transketolase_N;Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
Q8DL74.2	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Thermosynechococcus vestitus BP-1	Reviewed_Outgroup	outgroup	outgroup	Q8DL74.2		PF13292;PF02779;PF02780	COG1154	K01662	Q8DL74.2	d__Bacteria; p__Cyanobacteria; c__; o__Pseudanabaenales; f__Thermosynechococcaceae; g__Thermosynechococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q2JTX2.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Synechococcus sp. JA-3-3Ab	Reviewed_Outgroup	outgroup	outgroup	Q2JTX2.1		PF13292;PF02779;PF02780	COG1154	K01662	Q2JTX2.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q0IAA6.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Synechococcus sp. CC9311	Reviewed_Outgroup	outgroup	outgroup	Q0IAA6.1		PF13292;PF02779;PF02780	COG1154	K01662	Q0IAA6.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B0C8J3.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Acaryochloris marina MBIC11017	Reviewed_Outgroup	outgroup	outgroup	B0C8J3.1		PF13292;PF02779;PF02780	COG1154	K01662	B0C8J3.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Acaryochloridaceae; g__Acaryochloris; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B8D2I3.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Halothermothrix orenii H 168	Reviewed_Outgroup	outgroup	outgroup	B8D2I3.1		PF13292;PF02779;PF02780	COG1154	K01662	B8D2I3.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halanaerobiaceae; g__Halothermothrix; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
Q0AZE2.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Syntrophomonas wolfei subsp. wolfei str. Goettingen G311	Reviewed_Outgroup	outgroup	outgroup	Q0AZE2.1		PF13292;PF02779;PF02780	COG1154	K01662	Q0AZE2.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Syntrophomonadaceae; g__Syntrophomonas; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
O67036.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Aquifex aeolicus VF5	Reviewed_Outgroup	outgroup	outgroup	O67036.1		PF13292;PF02779;PF02780	COG1154	K01662	O67036.1	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
B1HRX4.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Lysinibacillus sphaericus C3-41	Reviewed_Outgroup	outgroup	outgroup	B1HRX4.1		PF13292;PF02779;PF02780	COG1154	K01662	B1HRX4.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Lysinibacillus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
A7Z6J5.1	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Bacillus velezensis FZB42	Reviewed_Outgroup	outgroup	outgroup	A7Z6J5.1		PF13292;PF02779;PF02780	COG1154	K01662	A7Z6J5.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
P50137.1	RecName: Full=Transketolase; Short=TK	Rattus norvegicus	Reviewed_Outgroup			P50137.1		PF00456;PF02779;PF02780	COG0021	K00615	P50137.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Rattus; s__		Transketolase_N;Transket_pyr;Transketolase_C	COG0021	E2.2.1.1
Q30Z99.2	RecName: Full=1-deoxy-D-xylulose-5-phosphate synthase; AltName: Full=1-deoxyxylulose-5-phosphate synthase; Short=DXP synthase; Short=DXPS	Oleidesulfovibrio alaskensis G20	Reviewed_Outgroup	outgroup	outgroup	Q30Z99.2		PF13292;PF02779;PF02780	COG1154	K01662	Q30Z99.2	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Oleidesulfovibrio; s__		DXP_synthase_N;Transket_pyr;Transketolase_C	COG1154	dxs
