tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q8U2E5.1	RecName: Full=Sulfhydrogenase 1 subunit beta; AltName: Full=Sulfhydrogenase I subunit beta; AltName: Full=Sulfur reductase subunit HydB	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyB	shyB	Q8U2E5.1		PF17179	COG1145	K17996	Q8U2E5.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG1145	hydB
E7FHN9.1	RecName: Full=Sulfhydrogenase 2 subunit beta; AltName: Full=Hydrogenase-II subunit beta; Short=H-II beta; AltName: Full=Sulfhydrogenase II subunit beta; AltName: Full=Sulfur reductase subunit ShyB	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyB	shyB	E7FHN9.1		PF17179	COG0247	K17996	E7FHN9.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG0247	hydB
P26474.1	RecName: Full=Anaerobic sulfite reductase subunit A; AltName: Full=Anaerobic sulfite reductase iron-sulfur subunit	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	outgroup	outgroup	P26474.1		PF17179	COG0247	K16950	P26474.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Fer4_22	COG0247	asrA
pho___PH1290	PH1290; 372aa long hypothetical cytochrome-c3 hydrogenase alpha chain	Pyrococcus horikoshii OT3	Curated_Ingroup	shyB	shyB	pho___PH1290		PF17179	COG1145	K17996	pho___PH1290	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG1145	hydB
tsi___TSIB_0282	NiFe hydrogenase I, subunit beta	Thermococcus sibiricus MM 739	Curated_Ingroup	shyB	shyB	tsi___TSIB_0282		PF17179	COG1145	K17996	tsi___TSIB_0282	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG1145	hydB
ton___TON_0537	sulfhydrogenase beta subunit	Thermococcus onnurineus NA1	Curated_Ingroup	shyB	shyB	ton___TON_0537		PF17179	COG1145	K17996	ton___TON_0537	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG1145	hydB
thy___A3L12_05470	hydrogenase	Thermococcus sp. P6	Curated_Ingroup	shyB	shyB	thy___A3L12_05470		PF17179	COG1139	K17996	thy___A3L12_05470	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG1139	hydB
pfi___PFC_05860	hydrogenase subunit beta	Pyrococcus furiosus COM1	Curated_Ingroup	shyB	shyB	pfi___PFC_05860		PF17179	COG0247	K17996	pfi___PFC_05860	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG0247	hydB
pab___PAB0638	hydB-2; Sulfhydrogenase II, beta chain	Pyrococcus abyssi GE5	Curated_Ingroup	shyB	shyB	pab___PAB0638		PF17179	COG0247	K17996	pab___PAB0638	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG0247	hydB
pya___PYCH_00020	NiFe hydrogenase II, subunit beta	Pyrococcus yayanosii CH1	Curated_Ingroup	shyB	shyB	pya___PYCH_00020		PF17179	COG1139	K17996	pya___PYCH_00020	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_22	COG1139	hydB
tsi___TSIB_1520	NiFe hydrogenase II, subunit beta	Thermococcus sibiricus MM 739	Curated_Ingroup	shyB	shyB	tsi___TSIB_1520		PF17179	COG1139	K17996	tsi___TSIB_1520	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG1139	hydB
tcq___TIRI35C_0409	shyB; Sulfhydrogenase 2 subunit beta	Thermococcus camini	Curated_Ingroup	shyB	shyB	tcq___TIRI35C_0409		PF17179	COG1139	K17996	tcq___TIRI35C_0409	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG1139	hydB
tpep___A0127_07150	hydrogenase	Thermococcus peptonophilus	Curated_Ingroup	shyB	shyB	tpep___A0127_07150		PF17179	COG0247	K17996	tpep___A0127_07150	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG0247	hydB
tnu___BD01_2065	Ferredoxin	Thermococcus nautili	Curated_Ingroup	shyB	shyB	tnu___BD01_2065		PF17179	COG1139	K17996	tnu___BD01_2065	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__		Fer4_22	COG1139	hydB
barb___AOA66_1501	shyB; Sulfhydrogenase 2 subunit beta	Candidatus Bathyarchaeota archaeon BA2	Curated_Ingroup	shyB	shyB	barb___AOA66_1501		PF17179	COG0247	K17996	barb___AOA66_1501	d__Archaea; p__Candidatus Bathyarchaeota; c__; o__; f__; g__; s__		Fer4_22	COG0247	hydB
kcr___Kcr_0324	Ferredoxin	Candidatus Korarchaeum cryptofilum OPF8	Curated_Ingroup	shyB	shyB	kcr___Kcr_0324		PF17179	COG1145	K17996	kcr___Kcr_0324	d__Archaea; p__Candidatus Korarchaeota; c__; o__; f__; g__Candidatus Korarchaeum; s__		Fer4_22	COG1145	hydB
dte___Dester_0748	cytosolic NiFe-hydrogenase, beta subunit	Desulfurobacterium thermolithotrophum DSM 11699	Curated_Ingroup	shyB	shyB	dte___Dester_0748		PF17179	COG1139	K17996	dte___Dester_0748	d__Bacteria; p__Aquificae; c__Aquificae; o__Desulfurobacteriales; f__Desulfurobacteriaceae; g__Desulfurobacterium; s__		Fer4_22	COG1139	hydB
tam___Theam_0487	cytochrome-c3 hydrogenase alpha chain	Thermovibrio ammonificans HB-1	Curated_Ingroup	shyB	shyB	tam___Theam_0487		PF17179	COG1139	K17996	tam___Theam_0487	d__Bacteria; p__Aquificae; c__Aquificae; o__Desulfurobacteriales; f__Desulfurobacteriaceae; g__Thermovibrio; s__		Fer4_22	COG1139	hydB
