tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_011792678.1	MULTISPECIES: FAD-dependent oxidoreductase [Desulfovibrio]	Desulfovibrio	Reviewed_Ingroup	qmoA	qmoA	WP_011792678.1		PF12831	COG1148	K16885	WP_011792678.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__		FAD_oxidored	COG1148	qmoA
O27434.2	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27434.2		PF07992;PF00037;PF07992;PF13237	COG1148	K03388	O27434.2	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Pyr_redox_2;Fer4;Pyr_redox_2;Fer4_10	COG1148	hdrA2
P84626.2	RecName: Full=Heterodisulfide reductase subunit A-like protein	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84626.2		PF07992;PF12838;PF12838	COG1148	K03388	P84626.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyr_redox_2;Fer4_7;Fer4_7	COG1148	hdrA2
P96801.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A 2	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	P96801.1		PF12831;PF13187;PF07992;PF12838	COG1148	K03388	P96801.1	d__Archaea; p__Euryarchaeota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		FAD_oxidored;Fer4_9;Pyr_redox_2;Fer4_7	COG1148	hdrA2
Q6LWL2.2	RecName: Full=H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanococcus maripaludis S2	Reviewed_Outgroup	outgroup	outgroup	Q6LWL2.2		PF07992;PF00037;PF12838	COG1148	K03388	Q6LWL2.2	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Pyr_redox_2;Fer4;Fer4_7	COG1148	hdrA2
Q8Q0T0.1	RecName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit A	Methanosarcina mazei Go1	Reviewed_Outgroup	outgroup	outgroup	Q8Q0T0.1		PF07992;PF00037;PF13187;PF02662	COG1148	K03388	Q8Q0T0.1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		Pyr_redox_2;Fer4;Fer4_9;FlpD	COG1148	hdrA2
Q8TYP4.3	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A 1	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	Q8TYP4.3		PF07992;PF13187;PF12838	COG1148	K03388	Q8TYP4.3	d__Archaea; p__Euryarchaeota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		Pyr_redox_2;Fer4_9;Fer4_7	COG1148	hdrA2
dvl___Dvul_2135	putative adenylylsulfate reductase-associated electron transfer protein QmoA	Desulfovibrio vulgaris DP4	Curated_Ingroup	qmoA	qmoA	dvl___Dvul_2135		PF12831	COG1148	K16885	dvl___Dvul_2135	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		FAD_oxidored	COG1148	qmoA
dms___E8L03_09645	CoB--CoM heterodisulfide reductase iron-sulfur subunit A family protein	Oceanidesulfovibrio marinus	Curated_Ingroup	qmoA	qmoA	dms___E8L03_09645		PF12831	COG1148	K16885	dms___E8L03_09645	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Oceanidesulfovibrio; s__		FAD_oxidored	COG1148	qmoA
dgg___DGI_0456	qmoA; putative adenylylsulfate reductase-associated electron transfer protein QmoA	Megalodesulfovibrio gigas DSM 1382 = ATCC 19364	Curated_Ingroup	qmoA	qmoA	dgg___DGI_0456		PF12831	COG1148	K16885	dgg___DGI_0456	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Megalodesulfovibrio; s__		FAD_oxidored	COG1148	qmoA
dba___Dbac_3199	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Desulfomicrobium baculatum DSM 4028	Curated_Ingroup	qmoA	qmoA	dba___Dbac_3199		PF07992	COG1148	K16885	dba___Dbac_3199	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfomicrobiaceae; g__Desulfomicrobium; s__		Pyr_redox_2	COG1148	qmoA
drt___Dret_1965	qmoA; quinone-interacting membrane-bound oxidoreductase, subunit A	Desulfohalobium retbaense DSM 5692	Curated_Ingroup	qmoA	qmoA	drt___Dret_1965		PF12831;PF07992	COG1148	K16885	drt___Dret_1965	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfohalobium; s__		FAD_oxidored;Pyr_redox_2	COG1148	qmoA
dcb___C3Y92_17700	heterodisulfide reductase subunit A	Solidesulfovibrio carbinolicus	Curated_Ingroup	qmoA	qmoA	dcb___C3Y92_17700		PF12831	COG1148	K16885	dcb___C3Y92_17700	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Solidesulfovibrio; s__		FAD_oxidored	COG1148	qmoA
dhy___DESAM_20542	putative Heterodisulfide reductase/FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Maridesulfovibrio hydrothermalis AM13 = DSM 14728	Curated_Ingroup	qmoA	qmoA	dhy___DESAM_20542		PF07992	COG1148	K16885	dhy___DESAM_20542	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Maridesulfovibrio; s__		Pyr_redox_2	COG1148	qmoA
dds___Ddes_2127	heterodisulfide reductase, putative	Desulfovibrio desulfuricans ATCC 27774	Curated_Ingroup	qmoA	qmoA	dds___Ddes_2127		PF12831	COG1148	K16885	dds___Ddes_2127	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		FAD_oxidored	COG1148	qmoA
daf___Desaf_0337	fumarate reductase/succinate dehydrogenase flavoprotein domain protein	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay	Curated_Ingroup	qmoA	qmoA	daf___Desaf_0337		PF12831	COG1148	K16885	daf___Desaf_0337	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfocurvibacter; s__		FAD_oxidored	COG1148	qmoA
dfl___DFE_2057	heterodisulfide reductase subunit A	Desulfovibrio ferrophilus	Curated_Ingroup	qmoA	qmoA	dfl___DFE_2057		PF07992	COG1148	K16885	dfl___DFE_2057	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Pyr_redox_2	COG1148	qmoA
pbiz___LWC08_14790	FAD-dependent oxidoreductase	Paradesulfovibrio bizertensis	Curated_Ingroup	qmoA	qmoA	pbiz___LWC08_14790		PF12831	COG1148	K16885	pbiz___LWC08_14790	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Paradesulfovibrio (ex Waite et al. 2020); s__		FAD_oxidored	COG1148	qmoA
das___Daes_3032	fumarate reductase/succinate dehydrogenase flavoprotein domain protein	Pseudodesulfovibrio aespoeensis Aspo-2	Curated_Ingroup	qmoA	qmoA	das___Daes_3032		PF07992	COG1148	K16885	das___Daes_3032	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Pseudodesulfovibrio; s__		Pyr_redox_2	COG1148	qmoA
aacx___DEACI_0456	FAD-dependent pyridine nucleotide reductase signature	Acididesulfobacillus acetoxydans	Curated_Ingroup	qmoA	qmoA	aacx___DEACI_0456		PF12831;PF00037	COG1148	K16885	aacx___DEACI_0456	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		FAD_oxidored;Fer4	COG1148	qmoA
dai___Desaci_2306	FAD binding protein	Desulfosporosinus acidiphilus SJ4	Curated_Ingroup	qmoA	qmoA	dai___Desaci_2306		PF12831;PF13187	COG1148	K16885	dai___Desaci_2306	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfitobacteriaceae; g__Desulfosporosinus; s__		FAD_oxidored;Fer4_9	COG1148	qmoA
dae___Dtox_3576	4Fe-4S ferredoxin iron-sulfur binding domain protein	Desulfofarcimen acetoxidans DSM 771	Curated_Ingroup	qmoA	qmoA	dae___Dtox_3576		PF13450	COG1148	K16885	dae___Dtox_3576	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Desulfofarcimen; s__		NAD_binding_8	COG1148	qmoA
dgi___Desgi_3700	FAD binding protein	Desulfoscipio gibsoniae DSM 7213	Curated_Ingroup	qmoA	qmoA	dgi___Desgi_3700		PF12831;PF12838	COG1148	K16885	dgi___Desgi_3700	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfallaceae; g__Desulfoscipio; s__		FAD_oxidored;Fer4_7	COG1148	qmoA
dca___Desca_2376	FAD dependent oxidoreductase	Desulfotomaculum nigrificans CO-1-SRB	Curated_Ingroup	qmoA	qmoA	dca___Desca_2376		PF12831;PF00037	COG1148	K16885	dca___Desca_2376	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Desulfotomaculaceae; g__Desulfotomaculum; s__		FAD_oxidored;Fer4	COG1148	qmoA
