tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q72DT3	Adenylylsulphate reductase, beta subunit (EC 1.8.99.2)	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Ingroup	aprB	aprB	Q72DT3		PF13187;PF12139	COG1146	K00395	Q72DT3	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_9;APS-reductase_C	COG1146	aprB
T2G899.1	RecName: Full=Adenylylsulfate reductase subunit beta; Short=AdoPSO(4) reductase subunit B; AltName: Full=Adenosine 5'-phosphosulfate reductase subunit beta; Short=APSR subunit B	Megalodesulfovibrio gigas DSM 1382 = ATCC 19364	Reviewed_Ingroup	aprB	aprB	T2G899.1		PF13187;PF12139	COG1146	K00395	T2G899.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Megalodesulfovibrio; s__		Fer4_9;APS-reductase_C	COG1146	aprB
Q59115	Adenylylsulfate reductase (EC 1.8.99.2)	Archaeoglobus fulgidus	Reviewed_Ingroup	aprB	aprB	Q59115		PF13187;PF12139	COG1146	K00395	Q59115	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
Q5VLA7	APS reductase beta subunit (EC 1.8.99.2)	Thiobacillus denitrificans	Reviewed_Ingroup	aprB	aprB	Q5VLA7		PF13187;PF12139	COG1146	K00395	Q5VLA7	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Thiobacillaceae; g__Thiobacillus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
Q0PQX5	APS reductase beta subunit (EC 1.8.99.2)	Candidatus Endoriftia persephone str. Hot96_1+Hot96_2	Reviewed_Ingroup	aprB	aprB	Q0PQX5					Q0PQX5	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Endoriftia; s__				
O33996	Adenylylsulfate reductase beta subunit	Allochromatium vinosum	Reviewed_Ingroup	aprB	aprB	O33996		PF12838;PF12139	COG1146	K00395	O33996	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Fer4_7;APS-reductase_C	COG1146	aprB
alv___Alvin_1120	adenylylsulfate reductase, beta subunit	Allochromatium vinosum DSM 180	Curated_Ingroup	aprB	aprB	alv___Alvin_1120		PF12838;PF12139	COG1146	K00395	alv___Alvin_1120	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Fer4_7;APS-reductase_C	COG1146	aprB
ttp___E6P07_06895	aprB; adenylyl-sulfate reductase subunit beta	Thermochromatium tepidum ATCC 43061	Curated_Ingroup	aprB	aprB	ttp___E6P07_06895		PF13187;PF12139	COG1146	K00395	ttp___E6P07_06895	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thermochromatium; s__		Fer4_9;APS-reductase_C	COG1146	aprB
thip___N838_08145	aprB; adenylyl-sulfate reductase subunit beta	Thiohalocapsa sp. PB-PSB1	Curated_Ingroup	aprB	aprB	thip___N838_08145		PF12838;PF12139	COG1146	K00395	thip___N838_08145	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiohalocapsa; s__		Fer4_7;APS-reductase_C	COG1146	aprB
tmb___Thimo_1220	adenosine phosphosulfate reductase, beta subunit	Thioflavicoccus mobilis 8321	Curated_Ingroup	aprB	aprB	tmb___Thimo_1220		PF13187;PF12139	COG1146	K00395	tmb___Thimo_1220	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thioflavicoccus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
cjap___GWK36_04765	aprB; adenylyl-sulfate reductase subunit beta	Caldichromatium japonicum	Curated_Ingroup	aprB	aprB	cjap___GWK36_04765		PF13187;PF12139	COG1146	K00395	cjap___GWK36_04765	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Caldichromatium; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tbog___LT988_00215	aprB; adenylyl-sulfate reductase subunit beta	Thiocapsa bogorovii	Curated_Ingroup	aprB	aprB	tbog___LT988_00215		PF12838;PF12139	COG1146	K00395	tbog___LT988_00215	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Thiocapsa; s__		Fer4_7;APS-reductase_C	COG1146	aprB
tgr___Tgr7_0351	adenylylsulfate reductase, beta subunit	Thioalkalivibrio sulfidiphilus HL-EbGr7	Curated_Ingroup	aprB	aprB	tgr___Tgr7_0351		PF12838;PF12139	COG1146	K00395	tgr___Tgr7_0351	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Fer4_7;APS-reductase_C	COG1146	aprB
acii___C4901_07625	aprB; adenylyl-sulfate reductase subunit beta	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	aprB	aprB	acii___C4901_07625		PF13187;PF12139	COG1146	K00395	acii___C4901_07625	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tani___J8380_12965	aprB; adenylyl-sulfate reductase subunit beta	Candidatus Thiothrix anitrata	Curated_Ingroup	aprB	aprB	tani___J8380_12965		PF13187;PF12139	COG1146	K00395	tani___J8380_12965	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Thiothrix; s__		Fer4_9;APS-reductase_C	COG1146	aprB
magq___MGMAQ_3495	putative Adenylylsulfate reductase, beta subunit	Magnetospira sp. QH-2	Curated_Ingroup	aprB	aprB	magq___MGMAQ_3495		PF13187;PF12139	COG1146	K00395	magq___MGMAQ_3495	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Magnetospira; s__		Fer4_9;APS-reductase_C	COG1146	aprB
seme___MIZ01_1494	adenylylsulfate reductase subunit beta	Sideroxyarcus emersonii	Curated_Ingroup	aprB	aprB	seme___MIZ01_1494		PF13187;PF12139	COG1146	K00395	seme___MIZ01_1494	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Gallionellaceae; g__Sideroxyarcus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
slim___SCL_0601	adenylylsulfate reductase subunit beta	Sulfuricaulis limicola	Curated_Ingroup	aprB	aprB	slim___SCL_0601		PF13187;PF12139	COG1146	K00395	slim___SCL_0601	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Sulfuricaulis; s__		Fer4_9;APS-reductase_C	COG1146	aprB
sva___SVA_2608	adenylylsulfate reductase subunit beta	Sulfurifustis variabilis	Curated_Ingroup	aprB	aprB	sva___SVA_2608		PF13187;PF12139	COG1146	K00395	sva___SVA_2608	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Sulfurifustis; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tkm___TK90_0064	adenylylsulfate reductase, beta subunit	Thioalkalivibrio sp. K90mix	Curated_Ingroup	aprB	aprB	tkm___TK90_0064		PF13187;PF12139	COG1146	K00395	tkm___TK90_0064	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tni___TVNIR_3612	Adenylylsulfate reductase beta-subunit	Thioalkalivibrio nitratireducens DSM 14787	Curated_Ingroup	aprB	aprB	tni___TVNIR_3612		PF13187;PF12139	COG1146	K00395	tni___TVNIR_3612	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tti___THITH_01410	adenylylsulfate reductase subunit beta	Thioalkalivibrio paradoxus ARh 1	Curated_Ingroup	aprB	aprB	tti___THITH_01410		PF13187;PF12139	COG1146	K00395	tti___THITH_01410	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Fer4_9;APS-reductase_C	COG1146	aprB
thic___TspCOW1_09820	hypothetical protein	Thiohalobacter sp. COW1	Curated_Ingroup	aprB	aprB	thic___TspCOW1_09820		PF00037;PF12139	COG1146	K00395	thic___TspCOW1_09820	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__Thiohalobacter; s__		Fer4;APS-reductase_C	COG1146	aprB
fil___BN1229_v1_3251	Adenylylsulfate reductase, beta subunit	Candidatus Filomicrobium marinum	Curated_Ingroup	aprB	aprB	fil___BN1229_v1_3251		PF13187;PF12139	COG1146	K00395	fil___BN1229_v1_3251	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Filomicrobium; s__		Fer4_9;APS-reductase_C	COG1146	aprB
aphf___CVPH_1380	aprB; adenylylsulfate reductase, subunit B	Abyssogena phaseoliformis symbiont OG214	Curated_Ingroup	aprB	aprB	aphf___CVPH_1380		PF12838;PF12139	COG1146	K00395	aphf___CVPH_1380	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__		Fer4_7;APS-reductase_C	COG1146	aprB
bthg___MS2017_2047	adenylylsulfate reductase subunit beta	Bathymodiolus thermophilus thioautotrophic gill symbiont	Curated_Ingroup	aprB	aprB	bthg___MS2017_2047		PF13187;PF12139	COG1146	K00395	bthg___MS2017_2047	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tho___SP60_04585	adenylylsulfate reductase	Candidatus Thioglobus autotrophicus	Curated_Ingroup	aprB	aprB	tho___SP60_04585		PF13187;PF12139	COG1146	K00395	tho___SP60_04585	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Thioglobus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
apm___HIMB5_00004970	dissimilatory adenylylsulfate reductase beta subunit	alpha proteobacterium HIMB5	Curated_Ingroup	aprB	aprB	apm___HIMB5_00004970		PF13187;PF12139	COG1146	K00395	apm___HIMB5_00004970	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__; s__		Fer4_9;APS-reductase_C	COG1146	aprB
peg___E5R92_01805	aprB; adenylyl-sulfate reductase subunit beta	Candidatus Pelagibacter giovannonii	Curated_Ingroup	aprB	aprB	peg___E5R92_01805		PF13187;PF12139	COG1146	K00395	peg___E5R92_01805	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter; s__		Fer4_9;APS-reductase_C	COG1146	aprB
thin___CRN91_00270	aprB; adenylyl-sulfate reductase subunit beta	Candidatus Thioglobus sp. NP1	Curated_Ingroup	aprB	aprB	thin___CRN91_00270		PF13187;PF12139	COG1146	K00395	thin___CRN91_00270	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Thioglobus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tsn___W908_01275	adenylylsulfate reductase subunit beta	Candidatus Pseudothioglobus singularis PS1	Curated_Ingroup	aprB	aprB	tsn___W908_01275		PF13187;PF12139	COG1146	K00395	tsn___W908_01275	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__Candidatus Pseudothioglobus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
slac___SKTS_27380	adenylyl-sulfate reductase subunit beta	Sulfurimicrobium lacus	Curated_Ingroup	aprB	aprB	slac___SKTS_27380		PF13187;PF12139	COG1146	K00395	slac___SKTS_27380	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Sulfuricellaceae; g__Sulfurimicrobium; s__		Fer4_9;APS-reductase_C	COG1146	aprB
splb___SFPGR_21710	aprB; adenylylsulfate reductase subunit beta	Sulfuriferula plumbiphila	Curated_Ingroup	aprB	aprB	splb___SFPGR_21710		PF13187;PF12139	COG1146	K00395	splb___SFPGR_21710	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Sulfuricellaceae; g__Sulfuriferula; s__		Fer4_9;APS-reductase_C	COG1146	aprB
pyr___P186_1798	adenylylsulfate reductase, beta subunit	Pyrobaculum ferrireducens	Curated_Ingroup	aprB	aprB	pyr___P186_1798		PF12838;PF12139	COG1146	K00395	pyr___P186_1798	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__		Fer4_7;APS-reductase_C	COG1146	aprB
pas___Pars_1234	dissimilatory adenylylsulfate reductase beta subunit	Pyrobaculum arsenaticum DSM 13514	Curated_Ingroup	aprB	aprB	pas___Pars_1234		PF12838;PF12139	COG1146	K00395	pas___Pars_1234	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__		Fer4_7;APS-reductase_C	COG1146	aprB
pcl___Pcal_1429	dissimilatory adenylylsulfate reductase beta subunit	Pyrobaculum calidifontis JCM 11548	Curated_Ingroup	aprB	aprB	pcl___Pcal_1429		PF13187;PF12139	COG1146	K00395	pcl___Pcal_1429	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Pyrobaculum; s__		Fer4_9;APS-reductase_C	COG1146	aprB
ttn___TTX_0439	Adenylylsulfate reductase subunit beta	Thermoproteus tenax Kra 1	Curated_Ingroup	aprB	aprB	ttn___TTX_0439		PF13187;PF12139	COG1146	K00395	ttn___TTX_0439	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Thermoproteus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
tuz___TUZN_0714	adenylylsulfate reductase, beta subunit	Thermoproteus uzoniensis 768-20	Curated_Ingroup	aprB	aprB	tuz___TUZN_0714		PF13187;PF12139	COG1146	K00395	tuz___TUZN_0714	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Thermoproteus; s__		Fer4_9;APS-reductase_C	COG1146	aprB
cma___Cmaq_0272	adenylylsulfate reductase, beta subunit	Caldivirga maquilingensis IC-167	Curated_Ingroup	aprB	aprB	cma___Cmaq_0272		PF12838;PF12139	COG1146	K00395	cma___Cmaq_0272	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Caldivirga; s__		Fer4_7;APS-reductase_C	COG1146	aprB
vdi___Vdis_2090	dissimilatory adenylylsulfate reductase beta subunit	Vulcanisaeta distributa DSM 14429	Curated_Ingroup	aprB	aprB	vdi___Vdis_2090		PF12838;PF12139	COG1146	K00395	vdi___Vdis_2090	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Vulcanisaeta; s__		Fer4_7;APS-reductase_C	COG1146	aprB
