tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q7WTJ6.3	RecName: Full=Phenol 2-monooxygenase, oxygenase component MhpL; AltName: Full=Phenol 2-monooxygenase P1 component; AltName: Full=Phenol hydroxylase P1 protein	Acinetobacter pittii PHEA-2	Reviewed_Ingroup	dsoB	dsoB	Q7WTJ6.3		PF02332		K16243	Q7WTJ6.3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		Phenol_Hydrox		dmpL
P19730.1	RecName: Full=Phenol 2-monooxygenase, oxygenase component DmpL; AltName: Full=Phenol 2-monooxygenase P1 component; AltName: Full=Phenol hydroxylase P1 protein	Pseudomonas sp. CF600	Reviewed_Outgroup			P19730.1		PF02332		K16243	P19730.1	d__Bacteria; p__Proteobacteria; c__; o__; f__; g__; s__		Phenol_Hydrox		dmpL
BAA23331.1	DMS oxygenase component [Acinetobacter sp.]	Acinetobacter sp.	Reviewed_Ingroup	dsoB	dsoB	BAA23331.1		PF02332		K16243	BAA23331.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		Phenol_Hydrox		dmpL
pall___UYA_20200	phenol hydroxylase	Pseudomonas alcaliphila JAB1	Curated_Outgroup			pall___UYA_20200		PF02332		K16243	pall___UYA_20200	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Phenol_Hydrox		dmpL
haes___LO767_17625	aromatic/alkene monooxygenase hydroxylase subunit beta	Halopseudomonas aestusnigri	Curated_Outgroup			haes___LO767_17625		PF02332		K16243	haes___LO767_17625	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Halopseudomonas; s__		Phenol_Hydrox		dmpL
hpeg___EAO82_09380	phenol hydroxylase	Halopseudomonas pelagia	Curated_Outgroup			hpeg___EAO82_09380		PF02332		K16243	hpeg___EAO82_09380	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Halopseudomonas; s__		Phenol_Hydrox		dmpL
mad___HP15_4025	phenol hydroxylase component	Marinobacter adhaerens HP15	Curated_Outgroup			mad___HP15_4025		PF02332		K16243	mad___HP15_4025	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Marinobacteraceae; g__Marinobacter; s__		Phenol_Hydrox		dmpL
marj___MARI_05340	mphL; phenol hydroxylase P1 protein	Marinobacter sp. JH2	Curated_Outgroup			marj___MARI_05340		PF02332		K16243	marj___MARI_05340	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Marinobacteraceae; g__Marinobacter; s__		Phenol_Hydrox		dmpL
avd___AvCA6_08850	dpmL; Phenol hydroxylase subunit P1	Azotobacter vinelandii CA6	Curated_Outgroup			avd___AvCA6_08850		PF02332		K16243	avd___AvCA6_08850	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__		Phenol_Hydrox		dmpL
pcq___PcP3B5_25310	mphL; Phenol hydroxylase P1 protein	Pseudomonas citronellolis	Curated_Outgroup			pcq___PcP3B5_25310		PF02332		K16243	pcq___PcP3B5_25310	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Phenol_Hydrox		dmpL
