tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q9X404.1	RecName: Full=Methanesulfonate monooxygenase hydroxylase subunit alpha; AltName: Full=Methanesulfonic acid monooxygenase hydroxylase large subunit; AltName: Full=Methanesulfonic acid monooxygenase hydroxylase subunit alpha; Short=MSA monooxygenase hydroxylase subunit alpha; Short=MSAMO hydroxylase subunit alpha	Methylosulfonomonas methylovora	Reviewed_Ingroup	msmA	msmA	Q9X404.1		PF00355;PF00848	COG4638	K16968	Q9X404.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__; g__Methylosulfonomonas; s__		Rieske;Ring_hydroxyl_A	COG4638	msmA
Q3C1E3.1	RecName: Full=Terephthalate 1,2-dioxygenase, terminal oxygenase component subunit alpha 1; Short=TPADO terminal oxygenase component; AltName: Full=TER dioxygenase system; Short=TERDOS; AltName: Full=Terephthalate 1,2-dioxygenase large subunit 1	Comamonas sp.	Reviewed_Outgroup	outgroup	outgroup	Q3C1E3.1		PF00355;PF00848	COG4638	K18074;K16319	Q3C1E3.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__		Rieske;Ring_hydroxyl_A	COG4638	tphA2;andAc
P23099.1	RecName: Full=Toluate 1,2-dioxygenase subunit alpha	Pseudomonas putida	Reviewed_Outgroup	outgroup	outgroup	P23099.1		PF00355;PF00848	COG4638	K05549	P23099.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Rieske;Ring_hydroxyl_A	COG4638	benA-xylX
P0A110.1	RecName: Full=Naphthalene 1,2-dioxygenase system, large oxygenase component; AltName: Full=ISP NAP; AltName: Full=Naphthalene 1,2-dioxygenase ISP alpha; AltName: Full=Naphthalene 1,2-dioxygenase subunit alpha; Short=ND subunit alpha; Short=NDO subunit alpha	Pseudomonas putida	Reviewed_Outgroup	outgroup	outgroup	P0A110.1		PF00355;PF00848	COG4638	K14579	P0A110.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Rieske;Ring_hydroxyl_A	COG4638	nahAc
O24676.1	RecName: Full=Chlorobenzene dioxygenase subunit alpha	Cupriavidus sp. PS12	Reviewed_Outgroup	outgroup	outgroup	O24676.1		PF00355;PF00848	COG4638	K08689	O24676.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Rieske;Ring_hydroxyl_A	COG4638	bphAa
Q9RBG5.2	RecName: Full=2-aminobenzenesulfonate 2,3-dioxygenase subunit alpha; AltName: Full=2-aminobenzenesulfonate dioxygenase large subunit; AltName: Full=AbsAa	Alcaligenes sp.	Reviewed_Outgroup			Q9RBG5.2		PF00355;PF00848	COG4638		Q9RBG5.2	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__		Rieske;Ring_hydroxyl_A	COG4638	
Q9LKN0.1	RecName: Full=Choline monooxygenase, chloroplastic; Flags: Precursor	Atriplex hortensis	Reviewed_Outgroup			Q9LKN0.1		PF00355;PF00848	COG4638	K00499	Q9LKN0.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Caryophyllales; f__Chenopodiaceae; g__Atriplex; s__		Rieske;Ring_hydroxyl_A	COG4638	CMO
P0C618.1	RecName: Full=Benzene 1,2-dioxygenase subunit alpha; AltName: Full=Benzene 1,2-dioxygenase P1 subunit; AltName: Full=Toluene 2,3-dioxygenase subunit alpha	Pseudomonas putida	Reviewed_Outgroup	outgroup	outgroup	P0C618.1		PF00355;PF00848	COG4638	K03268;K08689	P0C618.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Rieske;Ring_hydroxyl_A	COG4638	todC1;bphAa
Q07944.1	RecName: Full=Benzene 1,2-dioxygenase subunit alpha	Pseudomonas putida	Reviewed_Outgroup	outgroup	outgroup	Q07944.1		PF00355;PF00848	COG4638	K08689	Q07944.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Rieske;Ring_hydroxyl_A	COG4638	bphAa
Q51601.3	RecName: Full=2-halobenzoate 1,2-dioxygenase large subunit; AltName: Full=2-chlorobenzoate 1,2-dioxygenase	Burkholderia cepacia	Reviewed_Outgroup	outgroup	outgroup	Q51601.3		PF00355;PF00848	COG4638	K05549	Q51601.3	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		Rieske;Ring_hydroxyl_A	COG4638	benA-xylX
