tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
QFG35247.1	sulfite dehydrogenase [Paracoccus pantotrophus]	Paracoccus pantotrophus	Reviewed_Ingroup	soxC	soxC	QFG35247.1		PF00174;PF03404	COG2041	K17225	QFG35247.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Paracoccus; s__		Oxidored_molyb;Mo-co_dimer	COG2041	soxC
P07850.3	RecName: Full=Sulfite oxidase	Gallus gallus	Reviewed_Outgroup	outgroup	outgroup	P07850.3		PF00173;PF00174;PF03404	COG2041	K00387	P07850.3	d__Eukaryota; p__Chordata; c__Aves; o__Galliformes; f__Phasianidae; g__Gallus; s__		Cyt-b5;Oxidored_molyb;Mo-co_dimer	COG2041	SUOX
P08619.3	RecName: Full=Nitrate reductase [NADPH]; Short=NR	Neurospora crassa OR74A	Reviewed_Outgroup	outgroup	outgroup	P08619.3		PF00174;PF03404;PF00173;PF00970;PF00175	COG2041	K10534;K00326	P08619.3	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Neurospora; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG2041	NR;CYB5R
P11035.1	RecName: Full=Nitrate reductase [NADH] 2; Short=NR2	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	P11035.1		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P11035.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
P11832.3	RecName: Full=Nitrate reductase [NADH] 1; Short=NR1	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	P11832.3		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P11832.3	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
P16081.3	RecName: Full=Nitrate reductase [NADH] 1; Short=NR1	Oryza sativa Japonica Group	Reviewed_Outgroup	outgroup	outgroup	P16081.3		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P16081.3	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Oryza; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
P17569.1	RecName: Full=Nitrate reductase [NADH]; Short=NR	Cucurbita maxima	Reviewed_Outgroup	outgroup	outgroup	P17569.1		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P17569.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Cucurbitales; f__Cucurbitaceae; g__Cucurbita; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
P17570.1	RecName: Full=Nitrate reductase [NADH]; Short=NR	Solanum lycopersicum	Reviewed_Outgroup	outgroup	outgroup	P17570.1		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P17570.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Solanales; f__Solanaceae; g__Solanum; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
P22945.1	RecName: Full=Nitrate reductase [NADPH]; Short=NR	Aspergillus nidulans FGSC A4	Reviewed_Outgroup	outgroup	outgroup	P22945.1		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P22945.1	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
P23312.1	RecName: Full=Nitrate reductase [NADH]; Short=NR	Spinacia oleracea	Reviewed_Outgroup	outgroup	outgroup	P23312.1		PF00174;PF03404;PF00173;PF00970;PF00175	COG0543	K10534;K00326	P23312.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Caryophyllales; f__Chenopodiaceae; g__Spinacia; s__		Oxidored_molyb;Mo-co_dimer;Cyt-b5;FAD_binding_6;NAD_binding_1	COG0543	NR;CYB5R
