tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_011792677.1	MULTISPECIES: hydrogenase iron-sulfur subunit [Desulfovibrio]	Desulfovibrio	Reviewed_Ingroup	qmoB	qmoB	WP_011792677.1		PF07992;PF13187;PF02662	COG1148	K16886	WP_011792677.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
O27434.2	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27434.2		PF07992;PF00037;PF07992;PF13237	COG1148	K03388	O27434.2	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Pyr_redox_2;Fer4;Pyr_redox_2;Fer4_10	COG1148	hdrA2
Q8Q0T0.1	RecName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit A	Methanosarcina mazei Go1	Reviewed_Outgroup	outgroup	outgroup	Q8Q0T0.1		PF07992;PF00037;PF13187;PF02662	COG1148	K03388	Q8Q0T0.1	d__Archaea; p__Euryarchaeota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		Pyr_redox_2;Fer4;Fer4_9;FlpD	COG1148	hdrA2
dvl___Dvul_2134	putative adenylylsulfate reductase-associated electron transfer protein QmoB	Desulfovibrio vulgaris DP4	Curated_Ingroup	qmoB	qmoB	dvl___Dvul_2134		PF07992;PF13187;PF02662	COG1148	K16886	dvl___Dvul_2134	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
dvm___DvMF_2895	methyl-viologen-reducing hydrogenase delta subunit	Desulfovibrio vulgaris str. 'Miyazaki F'	Curated_Ingroup	qmoB	qmoB	dvm___DvMF_2895		PF07992;PF13187;PF02662	COG1148	K16886	dvm___DvMF_2895	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
dde___Dde_1112	Quinone-interacting membrane-bound oxidoreductase	Oleidesulfovibrio alaskensis G20	Curated_Ingroup	qmoB	qmoB	dde___Dde_1112		PF07992;PF13187;PF02662	COG1148	K16886	dde___Dde_1112	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Oleidesulfovibrio; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
dfi___AXF13_12600	heterodisulfide reductase subunit A	Desulfovibrio fairfieldensis	Curated_Ingroup	qmoB	qmoB	dfi___AXF13_12600		PF07992;PF13187;PF02662	COG1148	K16886	dfi___AXF13_12600	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
dfl___DFE_2058	quinone-interacting membrane-bound oxidoreductase	Desulfovibrio ferrophilus	Curated_Ingroup	qmoB	qmoB	dfl___DFE_2058		PF07992;PF13187;PF02662	COG1148	K16886	dfl___DFE_2058	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
pbiz___LWC08_14785	FAD-dependent oxidoreductase	Paradesulfovibrio bizertensis	Curated_Ingroup	qmoB	qmoB	pbiz___LWC08_14785		PF12831;PF13187;PF02662	COG1148	K16886	pbiz___LWC08_14785	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Paradesulfovibrio (ex Waite et al. 2020); s__		FAD_oxidored;Fer4_9;FlpD	COG1148	qmoB
daf___Desaf_0336	methyl-viologen-reducing hydrogenase delta subunit	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay	Curated_Ingroup	qmoB	qmoB	daf___Desaf_0336		PF07992;PF13187;PF02662	COG1148	K16886	daf___Desaf_0336	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfocurvibacter; s__		Pyr_redox_2;Fer4_9;FlpD	COG1148	qmoB
