tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0DOV6.1	RecName: Full=6-deoxy-6-sulfogluconolactonase; AltName: Full=6-deoxy-6-sulfogluconolactone lactonase; Short=SGL lactonase	Pseudomonas putida	Reviewed_Ingroup	sgl1	sgl1	P0DOV6.1		PF08450	COG3386		P0DOV6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		SGL	COG3386	
O34940.1	RecName: Full=Putative sugar lactone lactonase YvrE	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O34940.1		PF08450	COG3386	K01053	O34940.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		SGL	COG3386	gnl
Q9I922.1	RecName: Full=Regucalcin; Short=RC; AltName: Full=Gluconolactonase; Short=GNL; AltName: Full=Senescence marker protein 30; Short=SMP-30; Short=xSMP-30	Xenopus laevis	Reviewed_Outgroup	outgroup	outgroup	Q9I922.1		PF08450	COG3386	K01053	Q9I922.1	d__Eukaryota; p__Chordata; c__Amphibia; o__Anura; f__Pipidae; g__Xenopus; s__		SGL	COG3386	gnl
P46218.2	RecName: Full=Uncharacterized protein Saci_1674	Sulfolobus acidocaldarius DSM 639	Reviewed_Outgroup	outgroup	outgroup	P46218.2		PF08450	COG3386	K01053	P46218.2	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Sulfolobales; f__Sulfolobaceae; g__Sulfolobus; s__		SGL	COG3386	gnl
acid___CBP33_03285	gluconolaconase	Acidovorax carolinensis	Curated_Outgroup			acid___CBP33_03285		PF08450	COG3386		acid___CBP33_03285	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		SGL	COG3386	
ack___C380_04085	SMP-30/gluconolaconase/LRE domain-containing protein	Acidovorax sp. KKS102	Curated_Outgroup			ack___C380_04085		PF08450	COG3386	K01053	ack___C380_04085	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		SGL	COG3386	gnl
acra___BSY15_787	SMP-30/Gluconolaconase/LRE-like region family protein	Acidovorax sp. RAC01	Curated_Outgroup			acra___BSY15_787		PF08450	COG3386	K01053	acra___BSY15_787	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		SGL	COG3386	gnl
ajs___Ajs_0165	gluconolactonase	Acidovorax sp. JS42	Curated_Outgroup			ajs___Ajs_0165		PF08450	COG3386		ajs___Ajs_0165	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		SGL	COG3386	
amon___H9L24_14510	SMP-30/gluconolactonase/LRE family protein	Acidovorax monticola	Curated_Outgroup			amon___H9L24_14510		PF08450	COG3386		amon___H9L24_14510	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		SGL	COG3386	
arad___KI609_04175	SMP-30/gluconolactonase/LRE family protein	Acidovorax radicis	Curated_Outgroup			arad___KI609_04175		PF08450	COG3386		arad___KI609_04175	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		SGL	COG3386	
azl___AZL_a00110	SMP-30/gluconolaconase/LRE domain protein	Azospirillum sp. B510	Curated_Ingroup	sgl2	sgl2	azl___AZL_a00110		PF08450	COG3386	K01053	azl___AZL_a00110	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		SGL	COG3386	gnl
azz___DEW08_00955	gluconolactonase	Azospirillum thermophilum	Curated_Ingroup	sgl1	sgl1	azz___DEW08_00955		PF08450	COG3386		azz___DEW08_00955	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		SGL	COG3386	
bage___BADSM9389_10110	SMP-30/gluconolactonase/LRE family protein	Buttiauxella agrestis	Curated_Ingroup	sgl1	sgl1	bage___BADSM9389_10110		PF08450	COG3386		bage___BADSM9389_10110	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Buttiauxella; s__		SGL	COG3386	
bcai___K788_0005170	Gluconolactonase	Paraburkholderia caribensis MBA4	Curated_Ingroup	sgl2	sgl2	bcai___K788_0005170		PF08450	COG3386		bcai___K788_0005170	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__		SGL	COG3386	
bco___Bcell_3463	SMP-30/Gluconolaconase/LRE-like region-containing protein	Evansella cellulosilytica DSM 2522	Curated_Outgroup	outgroup	outgroup	bco___Bcell_3463		PF08450	COG3386	K13874;K14274;K01053	bco___Bcell_3463	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Evansella; s__		SGL	COG3386	araB;xylC;gnl
bif___N288_24790	Senescence marker protein-30	Bacillus infantis NRRL B-14911	Curated_Outgroup	outgroup	outgroup	bif___N288_24790		PF08450	COG3386	K14274;K01053	bif___N288_24790	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		SGL	COG3386	xylC;gnl
boi___BLM15_09325	IclR family transcriptional regulator	Bosea sp. Tri-49	Curated_Outgroup	outgroup	outgroup	boi___BLM15_09325		PF08450	COG3386	K13874	boi___BLM15_09325	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Boseaceae; g__Bosea; s__		SGL	COG3386	araB
boi___BLM15_27960	hypothetical protein	Bosea sp. Tri-49	Curated_Outgroup	outgroup	outgroup	boi___BLM15_27960		PF09339;PF01614;PF08450	COG3386	K13874;K14274;K01053	boi___BLM15_27960	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Boseaceae; g__Bosea; s__		HTH_IclR;IclR;SGL	COG3386	araB;xylC;gnl
bpdz___BBN53_17300	IclR family transcriptional regulator	Bordetella pseudohinzii	Curated_Outgroup	outgroup	outgroup	bpdz___BBN53_17300		PF08450	COG3386	K13874	bpdz___BBN53_17300	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Bordetella; s__		SGL	COG3386	araB
