tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
O87896.1	RecName: Full=Putative sulfurtransferase DsrE; AltName: Full=Intracellular sulfur oxidation protein DsrE	Allochromatium vinosum DSM 180	Reviewed_Ingroup	dsrE	dsrE	O87896.1		PF02635	COG1553	K07235	O87896.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		DrsE	COG1553	tusD
D3RPC1.1	RecName: Full=Sulfur carrier protein DsrE2	Allochromatium vinosum DSM 180	Reviewed_Outgroup	outgroup	outgroup	D3RPC1.1		PF13686	COG2210	K07092	D3RPC1.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		DrsE_2	COG2210	K07092
A8GKK7.1	RecName: Full=Sulfurtransferase TusD; AltName: Full=tRNA 2-thiouridine synthesizing protein D	Serratia proteamaculans 568	Reviewed_Outgroup			A8GKK7.1		PF02635	COG1553	K07235	A8GKK7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__		DrsE	COG1553	tusD
B6I245.1	RecName: Full=Sulfurtransferase TusD; AltName: Full=tRNA 2-thiouridine synthesizing protein D	Escherichia coli SE11	Reviewed_Outgroup			B6I245.1		PF02635	COG1553	K07235	B6I245.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		DrsE	COG1553	tusD
A7FNP4.1	RecName: Full=Sulfurtransferase TusD; AltName: Full=tRNA 2-thiouridine synthesizing protein D	Yersinia pseudotuberculosis IP 31758	Reviewed_Outgroup			A7FNP4.1		PF02635	COG1553	K07235	A7FNP4.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		DrsE	COG1553	tusD
Q9I0N3.1	RecName: Full=Sulfurtransferase TusD homolog	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup			Q9I0N3.1		PF02635	COG1553	K07235	Q9I0N3.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		DrsE	COG1553	tusD
Q6CZW0.1	RecName: Full=Sulfurtransferase TusD; AltName: Full=tRNA 2-thiouridine synthesizing protein D	Pectobacterium atrosepticum SCRI1043	Reviewed_Outgroup			Q6CZW0.1		PF02635	COG1553	K07235	Q6CZW0.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Pectobacteriaceae; g__Pectobacterium; s__		DrsE	COG1553	tusD
B8D857.1	RecName: Full=Sulfurtransferase TusD; AltName: Full=tRNA 2-thiouridine synthesizing protein D	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	Reviewed_Outgroup			B8D857.1		PF02635	COG1553	K07235	B8D857.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Buchnera; s__		DrsE	COG1553	tusD
Q58396.1	RecName: Full=Uncharacterized protein MJ0989	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58396.1		PF02635	COG1553	K07235	Q58396.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		DrsE	COG1553	tusD
P94948.1	RecName: Full=Uncharacterized protein MK0008	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	P94948.1		PF02635	COG1553	K07092;K07235	P94948.1	d__Archaea; p__Euryarchaeota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		DrsE	COG1553	K07092;tusD
aal___EP13_10420	sulfur transfer complex subunit TusD	Alteromonas australica	Curated_Outgroup			aal___EP13_10420		PF02635	COG1553	K07235	aal___EP13_10420	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__		DrsE	COG1553	tusD
aap___NT05HA_2048	sulfur relay protein TusD/DsrE	Aggregatibacter aphrophilus NJ8700	Curated_Outgroup			aap___NT05HA_2048		PF02635	COG1553	K07235	aap___NT05HA_2048	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Aggregatibacter; s__		DrsE	COG1553	tusD
