tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90112.1	aryl-alcohol dehydrogenase [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoB	smoB	AAK90112.1		PF00248	COG4989		AAK90112.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
P42972.1	RecName: Full=Uncharacterized oxidoreductase YcsN	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P42972.1		PF00248	COG4989		P42972.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
P76187.2	RecName: Full=Oxidoreductase YdhF	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P76187.2		PF00248	COG4989		P76187.2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Aldo_ket_red	COG4989	
acai___ISX45_05545	aldo/keto reductase family oxidoreductase	Anoxybacillus caldiproteolyticus	Curated_Outgroup	outgroup	outgroup	acai___ISX45_05545		PF00248	COG4989		acai___ISX45_05545	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		Aldo_ket_red	COG4989	
acit___HPK19_14805	aldo/keto reductase	Arthrobacter citreus	Curated_Outgroup	outgroup	outgroup	acit___HPK19_14805		PF00248	COG4989		acit___HPK19_14805	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__		Aldo_ket_red	COG4989	
aff___H3L97_06005	aldo/keto reductase	Alysiella filiformis	Curated_Outgroup	outgroup	outgroup	aff___H3L97_06005		PF00248	COG4989		aff___H3L97_06005	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Alysiella; s__		Aldo_ket_red	COG4989	
agc___BSY240_3630	aldo/keto reductase family protein	Agrobacterium sp. RAC06	Curated_Ingroup	smoB	smoB	agc___BSY240_3630		PF00248	COG4989		agc___BSY240_3630	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
agr___AGROH133_11080	aryl-alcohol dehydrogenase	Agrobacterium fabacearum	Curated_Ingroup	smoB	smoB	agr___AGROH133_11080		PF00248	COG4989		agr___AGROH133_11080	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
agt___EYD00_21415	aldo/keto reductase family oxidoreductase	Agrobacterium sp. 33MFTa1.1	Curated_Ingroup	smoB	smoB	agt___EYD00_21415		PF00248	COG4989		agt___EYD00_21415	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
ahn___NCTC12129_02353	ydhF; putative aldo/keto reductase	Atlantibacter hermannii	Curated_Outgroup	outgroup	outgroup	ahn___NCTC12129_02353		PF00248	COG4989		ahn___NCTC12129_02353	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Atlantibacter; s__		Aldo_ket_red	COG4989	
aht___ANTHELSMS3_00595	ydhF; oxidoreductase YdhF	Antarctobacter heliothermus	Curated_Ingroup	smoB	smoB	aht___ANTHELSMS3_00595		PF00248	COG4989		aht___ANTHELSMS3_00595	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Antarctobacter; s__		Aldo_ket_red	COG4989	
alf___CFBP5473_16895	oxidoreductase	Agrobacterium larrymoorei	Curated_Ingroup	smoB	smoB	alf___CFBP5473_16895		PF00248	COG4989		alf___CFBP5473_16895	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
alig___NCTC10568_01810	ydhF; oxidoreductase	Actinobacillus lignieresii	Curated_Outgroup	outgroup	outgroup	alig___NCTC10568_01810		PF00248	COG4989		alig___NCTC10568_01810	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__		Aldo_ket_red	COG4989	
