tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ADK55772.1	DMSP lyase [Sulfitobacter sp. EE-36]	Sulfitobacter sp. EE-36	Reviewed_Ingroup	dddL	dddL	ADK55772.1		PF16867	COG1917	K16953	ADK55772.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sulfitobacter; s__		DMSP_lyase	COG1917	dddL
Q3J6L0.1	RecName: Full=Putative dimethylsulfonioproprionate lyase DddL; Short=DMSP lyase; AltName: Full=Dimethylpropiothetin dethiomethylase	Cereibacter sphaeroides 2.4.1	Reviewed_Ingroup	dddL	dddL	Q3J6L0.1		PF16867	COG3806	K16953	Q3J6L0.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		DMSP_lyase	COG3806	dddL
WP_051692700.1	dimethylsulfonioproprionate lyase family protein [Thioclava pacifica]	Thioclava pacifica	Reviewed_Ingroup	dddL	dddL	WP_051692700.1		PF16867		K16953	WP_051692700.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava; s__		DMSP_lyase		dddL
WP_099909581.1	dimethylsulfonioproprionate lyase family protein [Puniceibacterium antarcticum]	Puniceibacterium antarcticum	Reviewed_Ingroup	dddL	dddL	WP_099909581.1		PF16867	COG3806	K16953	WP_099909581.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Puniceibacterium; s__		DMSP_lyase	COG3806	dddL
spot___G6548_06755	dimethlysulfonioproprionate lyase DddL	Sulfitobacter pontiacus	Curated_Ingroup	dddL	dddL	spot___G6548_06755		PF16867	COG1917	K16953	spot___G6548_06755	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sulfitobacter; s__		DMSP_lyase	COG1917	dddL
suam___BOO69_05300	dimethlysulfonioproprionate lyase DddL	Sulfitobacter alexandrii	Curated_Ingroup	dddL	dddL	suam___BOO69_05300		PF16867	COG1917	K16953	suam___BOO69_05300	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sulfitobacter; s__		DMSP_lyase	COG1917	dddL
lvs___LOKVESSMR4R_02112	dddL; putative dimethlysulfonioproprionate lyase DddL	Yoonia vestfoldensis	Curated_Ingroup	dddL	dddL	lvs___LOKVESSMR4R_02112		PF16867	COG1917	K16953	lvs___LOKVESSMR4R_02112	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Yoonia; s__		DMSP_lyase	COG1917	dddL
labp___FJ695_12150	dimethlysulfonioproprionate lyase DddL	Labrenzia sp. PHM005	Curated_Ingroup	dddL	dddL	labp___FJ695_12150		PF16867	COG1917	K16953	labp___FJ695_12150	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Labrenzia; s__		DMSP_lyase	COG1917	dddL
labr___CHH27_12135	dimethlysulfonioproprionate lyase DddL	Labrenzia sp. VG12	Curated_Ingroup	dddL	dddL	labr___CHH27_12135		PF16867	COG3806	K16953	labr___CHH27_12135	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Labrenzia; s__		DMSP_lyase	COG3806	dddL
labt___FIU93_13850	dddL; Dimethlysulfonioproprionate lyase DddL	Labrenzia sp. THAF35	Curated_Ingroup	dddL	dddL	labt___FIU93_13850		PF16867	COG3806	K16953	labt___FIU93_13850	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Labrenzia; s__		DMSP_lyase	COG3806	dddL
tom___BWR18_03135	dimethlysulfonioproprionate lyase DddL	Tateyamaria omphalii	Curated_Ingroup	dddL	dddL	tom___BWR18_03135		PF16867	COG3806	K16953	tom___BWR18_03135	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Tateyamaria; s__		DMSP_lyase	COG3806	dddL
rbg___BG454_06175	dimethlysulfonioproprionate lyase DddL	Rhodobaca barguzinensis	Curated_Ingroup	dddL	dddL	rbg___BG454_06175		PF16867	COG1917	K16953	rbg___BG454_06175	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobaca; s__		DMSP_lyase	COG1917	dddL
poz___I0K15_01360	cupin domain-containing protein	Pontivivens ytuae	Curated_Ingroup	dddL	dddL	poz___I0K15_01360		PF16867	COG4101	K16953	poz___I0K15_01360	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pontivivens; s__		DMSP_lyase	COG4101	dddL
msx___AU14_05790	hypothetical protein	Marinobacter similis	Curated_Ingroup	dddL	dddL	msx___AU14_05790		PF16867	COG1917	K16953	msx___AU14_05790	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Marinobacteraceae; g__Marinobacter; s__		DMSP_lyase	COG1917	dddL
rsh___Rsph17029_0081	conserved hypothetical protein	Cereibacter sphaeroides ATCC 17029	Curated_Ingroup	dddL	dddL	rsh___Rsph17029_0081		PF16867	COG3806	K16953	rsh___Rsph17029_0081	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		DMSP_lyase	COG3806	dddL
