tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_010938150.1	MULTISPECIES: quinone-interacting membrane-bound oxidoreductase complex subunit QmoC [Desulfovibrio]	Desulfovibrio	Reviewed_Ingroup	qmoC	qmoC	WP_010938150.1		PF13534;PF02665	COG1150	K16887	WP_010938150.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__		Fer4_17;Nitrate_red_gam	COG1150	qmoC
O27906.2	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit C; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27906.2		PF13183	COG1150	K03390	O27906.2	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Fer4_8	COG1150	hdrC2
P84621.2	RecName: Full=Heterodisulfide reductase subunit C-like protein	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84621.2		PF13534	COG1150	K03390	P84621.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Fer4_17	COG1150	hdrC2
Q58154.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C 1	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58154.1		PF13534	COG1150	K03390	Q58154.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Fer4_17	COG1150	hdrC2
Q58274.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C 2	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58274.1		PF13183	COG1150	K03390	Q58274.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Fer4_8	COG1150	hdrC2
Q8TXT7.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit C	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	Q8TXT7.1		PF13534	COG1150	K03390	Q8TXT7.1	d__Archaea; p__Euryarchaeota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		Fer4_17	COG1150	hdrC2
dvg___Deval_0780	heterodisulfide reductase, transmembrane subunit, putative	Desulfovibrio vulgaris RCH1	Curated_Ingroup	qmoC	qmoC	dvg___Deval_0780		PF13534;PF02665	COG1150	K16887	dvg___Deval_0780	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_17;Nitrate_red_gam	COG1150	qmoC
dfi___AXF13_12595	heterodisulfide reductase subunit E	Desulfovibrio fairfieldensis	Curated_Ingroup	qmoC	qmoC	dfi___AXF13_12595		PF13534;PF02665	COG1150	K16887	dfi___AXF13_12595	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_17;Nitrate_red_gam	COG1150	qmoC
daf___Desaf_0335	quinone-interacting membrane-bound oxidoreductase complex subunit C	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay	Curated_Ingroup	qmoC	qmoC	daf___Desaf_0335		PF13534;PF02665	COG1150	K16887	daf___Desaf_0335	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfocurvibacter; s__		Fer4_17;Nitrate_red_gam	COG1150	qmoC
drt___Dret_1963	qmoC; quinone-interacting membrane-bound oxidoreductase, subunit C	Desulfohalobium retbaense DSM 5692	Curated_Ingroup	qmoC	qmoC	drt___Dret_1963		PF13534;PF02665	COG1150	K16887	drt___Dret_1963	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfohalobium; s__		Fer4_17;Nitrate_red_gam	COG1150	qmoC
dhy___DESAM_20540	putative Heterodisulfide reductase, transmembrane subunit	Maridesulfovibrio hydrothermalis AM13 = DSM 14728	Curated_Ingroup	qmoC	qmoC	dhy___DESAM_20540		PF13534	COG1150	K16887	dhy___DESAM_20540	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Maridesulfovibrio; s__		Fer4_17	COG1150	qmoC
dcb___C3Y92_17690	heterodisulfide reductase subunit E	Solidesulfovibrio carbinolicus	Curated_Ingroup	qmoC	qmoC	dcb___C3Y92_17690		PF13187;PF02665	COG1150	K16887	dcb___C3Y92_17690	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Solidesulfovibrio; s__		Fer4_9;Nitrate_red_gam	COG1150	qmoC
dsd___GD606_15940	heterodisulfide reductase subunit E	Desulfovibrio sulfodismutans DSM 3696	Curated_Ingroup	qmoC	qmoC	dsd___GD606_15940		PF13183;PF02665	COG1150	K16887	dsd___GD606_15940	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_8;Nitrate_red_gam	COG1150	qmoC
dfl___DFE_2059	qmoC; quinone-interacting membrane-bound oxidoreductase complex subunit C	Desulfovibrio ferrophilus	Curated_Ingroup	qmoC	qmoC	dfl___DFE_2059		PF13187	COG1150	K16887	dfl___DFE_2059	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		Fer4_9	COG1150	qmoC
