tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90111.1	methanesulfonate sulfonatase [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoC	smoC	AAK90111.1		PF00296	COG2141	K04091	AAK90111.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Bac_luciferase	COG2141	ssuD
B7KX11.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Methylorubrum extorquens CM4	Reviewed_Outgroup	outgroup	outgroup	B7KX11.1		PF00296	COG2141	K04091	B7KX11.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylobacteriaceae; g__Methylorubrum; s__		Bac_luciferase	COG2141	ssuD
P80645.3	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase; AltName: Full=Sulfate starvation-induced protein 6; Short=SSI6	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P80645.3		PF00296	COG2141	K04091	P80645.3	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Bac_luciferase	COG2141	ssuD
Q65M61.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Bacillus licheniformis DSM 13 = ATCC 14580	Reviewed_Outgroup	outgroup	outgroup	Q65M61.1		PF00296	COG2141	K04091	Q65M61.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Bac_luciferase	COG2141	ssuD
B2UAU3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Ralstonia pickettii 12J	Reviewed_Outgroup	outgroup	outgroup	B2UAU3.1		PF00296	COG2141	K04091	B2UAU3.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__		Bac_luciferase	COG2141	ssuD
Q9I1C2.1	RecName: Full=Methanesulfonate monooxygenase; AltName: Full=FMNH2-dependent methanesulfonate monooxygenase; AltName: Full=Methanesulfonate sulfonatase	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	outgroup	outgroup	Q9I1C2.1		PF00296	COG2141	K04091	Q9I1C2.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Bac_luciferase	COG2141	ssuD
A4W8V4.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Enterobacter sp. 638	Reviewed_Outgroup	outgroup	outgroup	A4W8V4.1		PF00296	COG2141	K04091	A4W8V4.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__		Bac_luciferase	COG2141	ssuD
B2K4U5.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Yersinia pseudotuberculosis PB1/+	Reviewed_Outgroup	outgroup	outgroup	B2K4U5.1		PF00296	COG2141	K04091	B2K4U5.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Yersinia; s__		Bac_luciferase	COG2141	ssuD
Q0K9I0.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Cupriavidus necator H16	Reviewed_Outgroup	outgroup	outgroup	Q0K9I0.1		PF00296	COG2141	K04091	Q0K9I0.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Bac_luciferase	COG2141	ssuD
A7MEW3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Cronobacter sakazakii ATCC BAA-894	Reviewed_Outgroup	outgroup	outgroup	A7MEW3.1		PF00296	COG2141	K04091	A7MEW3.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Cronobacter; s__		Bac_luciferase	COG2141	ssuD
Q48H03.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Pseudomonas savastanoi pv. phaseolicola 1448A	Reviewed_Outgroup	outgroup	outgroup	Q48H03.1		PF00296	COG2141	K04091	Q48H03.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Bac_luciferase	COG2141	ssuD
C6DGK1.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Pectobacterium carotovorum subsp. carotovorum PC1	Reviewed_Outgroup	outgroup	outgroup	C6DGK1.1		PF00296	COG2141	K04091	C6DGK1.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Pectobacteriaceae; g__Pectobacterium; s__		Bac_luciferase	COG2141	ssuD
A9C3F6.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Delftia acidovorans SPH-1	Reviewed_Outgroup	outgroup	outgroup	A9C3F6.1		PF00296	COG2141	K04091	A9C3F6.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__		Bac_luciferase	COG2141	ssuD
B2JKA8.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Paraburkholderia phymatum STM815	Reviewed_Outgroup	outgroup	outgroup	B2JKA8.1		PF00296	COG2141	K04091	B2JKA8.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__		Bac_luciferase	COG2141	ssuD
Q1IGL6.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Pseudomonas entomophila L48	Reviewed_Outgroup	outgroup	outgroup	Q1IGL6.1		PF00296	COG2141	K04091	Q1IGL6.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Bac_luciferase	COG2141	ssuD
Q98CB9.1	RecName: Full=Alkanesulfonate monooxygenase 1; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase 1	Mesorhizobium japonicum MAFF 303099	Reviewed_Outgroup	outgroup	outgroup	Q98CB9.1		PF00296	COG2141	K04091	Q98CB9.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		Bac_luciferase	COG2141	ssuD
B2VC88.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Erwinia tasmaniensis Et1/99	Reviewed_Outgroup	outgroup	outgroup	B2VC88.1		PF00296	COG2141	K04091	B2VC88.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Erwinia; s__		Bac_luciferase	COG2141	ssuD
A8AID7.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Citrobacter koseri ATCC BAA-895	Reviewed_Outgroup	outgroup	outgroup	A8AID7.1		PF00296	COG2141	K04091	A8AID7.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__		Bac_luciferase	COG2141	ssuD
P40402.2	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P40402.2		PF00296	COG2141	K04091	P40402.2	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Bac_luciferase	COG2141	ssuD
Q8XZQ6.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Ralstonia solanacearum GMI1000	Reviewed_Outgroup	outgroup	outgroup	Q8XZQ6.1		PF00296	COG2141	K04091	Q8XZQ6.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Ralstonia; s__		Bac_luciferase	COG2141	ssuD
B3R2K7.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Cupriavidus taiwanensis LMG 19424	Reviewed_Outgroup	outgroup	outgroup	B3R2K7.1		PF00296	COG2141	K04091	B3R2K7.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Bac_luciferase	COG2141	ssuD
D2TDP0.2	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Erwinia pyrifoliae DSM 12163	Reviewed_Outgroup	outgroup	outgroup	D2TDP0.2		PF00296	COG2141	K04091	D2TDP0.2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Erwiniaceae; g__Erwinia; s__		Bac_luciferase	COG2141	ssuD
Q46ZU3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Cupriavidus pinatubonensis JMP134	Reviewed_Outgroup	outgroup	outgroup	Q46ZU3.1		PF00296	COG2141	K04091	Q46ZU3.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Bac_luciferase	COG2141	ssuD
C1DN48.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Azotobacter vinelandii DJ	Reviewed_Outgroup	outgroup	outgroup	C1DN48.1		PF00296	COG2141	K04091	C1DN48.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__		Bac_luciferase	COG2141	ssuD
A1TRM3.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Acidovorax citrulli AAC00-1	Reviewed_Outgroup	outgroup	outgroup	A1TRM3.1		PF00296	COG2141	K04091	A1TRM3.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		Bac_luciferase	COG2141	ssuD
A9FK50.1	RecName: Full=Alkanesulfonate monooxygenase; AltName: Full=FMNH2-dependent aliphatic sulfonate monooxygenase	Sorangium cellulosum So ce56	Reviewed_Outgroup	outgroup	outgroup	A9FK50.1		PF00296	COG2141	K04091	A9FK50.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__Sorangium; s__		Bac_luciferase	COG2141	ssuD
