tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_013058336.1	MULTISPECIES: MFS transporter [Priestia]	Priestia	Reviewed_Ingroup	sftA	sftA	WP_013058336.1		PF13347	COG2211	K03292	WP_013058336.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		MFS_2	COG2211	TC.GPH
Q9L7R5.1	RecName: Full=Putative 2,3-dihydroxypropane-1-sulfonate exporter	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	yihP/O	yihP/O	Q9L7R5.1		PF13347	COG2211	K03292	Q9L7R5.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		MFS_2	COG2211	TC.GPH
P32137.3	RecName: Full=Putative 2,3-dihydroxypropane-1-sulfonate exporter	Escherichia coli K-12	Reviewed_Outgroup	yihP/O	yihP/O	P32137.3		PF13347	COG2211	K03292	P32137.3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		MFS_2	COG2211	TC.GPH
P32136.4	RecName: Full=Putative sulfoquinovose importer	Escherichia coli K-12	Reviewed_Outgroup	yihP/O	yihP/O	P32136.4		PF13347	COG2211	K03292	P32136.4	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		MFS_2	COG2211	TC.GPH
Q9L7R4.1	RecName: Full=Putative sulfoquinovose importer	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	yihP/O	yihP/O	Q9L7R4.1		PF13347	COG2211	K03292	Q9L7R4.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		MFS_2	COG2211	TC.GPH
O34961.1	RecName: Full=Uncharacterized symporter YjmB	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup			O34961.1		PF13347	COG2211	K03292	O34961.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		MFS_2	COG2211	TC.GPH
P94488.2	RecName: Full=Uncharacterized symporter YnaJ	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P94488.2		PF13347	COG2211	K03292	P94488.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		MFS_2	COG2211	TC.GPH
P0CE45.1	RecName: Full=Glucuronide carrier protein; AltName: Full=Glucuronide permease	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P0CE45.1		PF13347	COG2211	K16139;K03292	P0CE45.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		MFS_2	COG2211	uidB;TC.GPH
P96792.2	RecName: Full=Isoprimeverose transporter; AltName: Full=Isoprimeverose cation symporter	Lactiplantibacillus pentosus	Reviewed_Outgroup	outgroup	outgroup	P96792.2		PF13347	COG2211	K03292	P96792.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactiplantibacillus; s__		MFS_2	COG2211	TC.GPH
O34368.1	RecName: Full=Probable glucitol transport protein GutA	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O34368.1		PF13347	COG2211	K16248;K03292	O34368.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		MFS_2	COG2211	gutA;TC.GPH
acij___JS278_00496	yihP; Putative 2,3-dihydroxypropane-1-sulfonate exporter	Acidipropionibacterium virtanenii	Curated_Ingroup	sftA1	sftA1	acij___JS278_00496		PF13347	COG2211	K03292	acij___JS278_00496	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Acidipropionibacterium; s__		MFS_2	COG2211	TC.GPH
bacl___BS34A_13630	exuM; symporter	Bacillus sp. BS34A	Curated_Outgroup			bacl___BS34A_13630		PF13347	COG2211	K03292	bacl___BS34A_13630	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		MFS_2	COG2211	TC.GPH
bacp___SB24_03610	major facilitator transporter	Bacillus sp. Pc3	Curated_Outgroup			bacp___SB24_03610		PF13347	COG2211	K03292	bacp___SB24_03610	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		MFS_2	COG2211	TC.GPH
bae___BATR1942_03820	YjmB	Bacillus atrophaeus 1942	Curated_Outgroup			bae___BATR1942_03820		PF13347	COG2211	K03292	bae___BATR1942_03820	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		MFS_2	COG2211	TC.GPH
