tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
T2G6Z9.1	RecName: Full=Adenylylsulfate reductase subunit alpha; Short=AdoPSO(4) reductase subunit A; AltName: Full=Adenosine 5'-phosphosulfate reductase subunit alpha; Short=APSR subunit A	Megalodesulfovibrio gigas DSM 1382 = ATCC 19364	Reviewed_Ingroup	aprA	aprA	T2G6Z9.1		PF00890	COG1053	K00394	T2G6Z9.1	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Megalodesulfovibrio; s__		FAD_binding_2	COG1053	aprA
Q72DT2	Adenylyl-sulphate reductase, alpha subunit (EC 1.8.99.2)	Desulfovibrio vulgaris str. Hildenborough	Reviewed_Ingroup	aprA	aprA	Q72DT2		PF00890	COG1053	K00394	Q72DT2	d__Bacteria; p__Pseudomonadota; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__		FAD_binding_2	COG1053	aprA
Q5VLA6	APS reductase alpha subunit (EC 1.8.99.2)	Thiobacillus denitrificans	Reviewed_Ingroup	aprA	aprA	Q5VLA6		PF00890	COG1053	K00394	Q5VLA6	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Nitrosomonadales; f__Thiobacillaceae; g__Thiobacillus; s__		FAD_binding_2	COG1053	aprA
Q59116	Adenylylsulfate reductase (EC 1.8.99.2)	Archaeoglobus fulgidus	Reviewed_Ingroup	aprA	aprA	Q59116		PF00890;PF02910	COG1053	K00394	Q59116	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
O33997	Adenylylsulfate reductase alpha subunit	Allochromatium vinosum	Reviewed_Ingroup	aprA	aprA	O33997		PF00890;PF02910	COG1053	K00394	O33997	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
WP_005966055.1	adenylyl-sulfate reductase subunit alpha [Candidatus Endoriftia persephone]	Candidatus Endoriftia persephone	Reviewed_Ingroup	aprA	aprA	WP_005966055.1		PF00890	COG1053	K00394	WP_005966055.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__; f__; g__Candidatus Endoriftia; s__		FAD_binding_2	COG1053	aprA
G4V4G6.1	RecName: Full=Succinate dehydrogenase flavoprotein subunit	Serratia sp. ATCC 39006	Reviewed_Outgroup	outgroup	outgroup	G4V4G6.1		PF00890;PF02910	COG1053	K00239	G4V4G6.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Yersiniaceae; g__Serratia; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	sdhA
Q1RHB9.1	RecName: Full=Succinate dehydrogenase flavoprotein subunit	Rickettsia bellii RML369-C	Reviewed_Outgroup	outgroup	outgroup	Q1RHB9.1		PF00890;PF02910	COG1053	K00234;K00239	Q1RHB9.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__Rickettsia; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	SDHA;sdhA
Q60356.1	RecName: Full=Uncharacterized FAD-dependent oxidoreductase MJ0033	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q60356.1		PF00890;PF02910	COG1053	K18209	Q60356.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	tfrA
P51054.1	RecName: Full=Succinate dehydrogenase flavoprotein subunit	Coxiella burnetii RSA 493	Reviewed_Outgroup	outgroup	outgroup	P51054.1		PF00890;PF02910	COG1053	K00239	P51054.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__Coxiella; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	sdhA
aacx___DEACI_0465	adenylyl-sulfate reductase	Acididesulfobacillus acetoxydans	Curated_Ingroup	aprA	aprA	aacx___DEACI_0465		PF00890;PF02910	COG1053	K00394	aacx___DEACI_0465	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
aacx___DEACI_4178	Succinate dehydrogenase/fumarate reductase, alpha/adenylylsulphate reductase subunit	Acididesulfobacillus acetoxydans	Curated_Outgroup			aacx___DEACI_4178		PF00890;PF02910	COG1053	K00394	aacx___DEACI_4178	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
aar___Acear_1970	fumarate reductase/succinate dehydrogenase flavoprotein domain protein	Acetohalobium arabaticum DSM 5501	Curated_Outgroup			aar___Acear_1970		PF00890;PF02910	COG1053	K00394	aar___Acear_1970	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Acetohalobium; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
abut___Ami103574_14730	adenylyl-sulfate reductase subunit alpha	Aminipila butyrica	Curated_Outgroup	assimilatory_aprA	assimilatory_aprA	abut___Ami103574_14730		PF00890;PF02910	COG1053	K00394	abut___Ami103574_14730	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriales Family XIII. Incertae Sedis; g__Aminipila; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
aby___ABAYE1930	putative Oxidoreductase; putative Adenylylsulphate OR sulfate reductase, alfa subunit	Acinetobacter baumannii AYE	Curated_Outgroup	outgroup	outgroup	aby___ABAYE1930		PF00890;PF02910	COG1053	K00394	aby___ABAYE1930	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
acel___acsn021_29510	adenylylsulfate reductase subunit alpha	Anaerocolumna cellulosilytica	Curated_Outgroup	assimilatory_aprA	assimilatory_aprA	acel___acsn021_29510		PF00890	COG1053	K00394	acel___acsn021_29510	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		FAD_binding_2	COG1053	aprA
acii___C4901_14680	aprA; adenylyl-sulfate reductase subunit alpha	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	aprA	aprA	acii___C4901_14680		PF00890	COG1053	K00394	acii___C4901_14680	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		FAD_binding_2	COG1053	aprA
adg___Adeg_0924	fumarate reductase/succinate dehydrogenase flavoprotein domain protein	Ammonifex degensii KC4	Curated_Outgroup			adg___Adeg_0924		PF00890	COG1053	K00394	adg___Adeg_0924	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Ammonifex; s__		FAD_binding_2	COG1053	aprA
adg___Adeg_1080	adenylylsulfate reductase, alpha subunit	Ammonifex degensii KC4	Curated_Ingroup	aprA	aprA	adg___Adeg_1080		PF00890	COG1053	K00394	adg___Adeg_1080	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Ammonifex; s__		FAD_binding_2	COG1053	aprA
afg___AFULGI_00019190	adenosine phosphosulfate reductase, alpha subunit	Archaeoglobus fulgidus DSM 8774	Curated_Ingroup	aprA	aprA	afg___AFULGI_00019190		PF00890;PF02910	COG1053	K00394	afg___AFULGI_00019190	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
agra___AGRA3207_006707	fumarate reductase/succinate dehydrogenase flavoprotein subunit	Actinomadura graeca	Curated_Outgroup	outgroup	outgroup	agra___AGRA3207_006707		PF00890;PF02910;PF13646;PF13646;PF13646	COG1053	K00394	agra___AGRA3207_006707	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptosporangiales; f__Thermomonosporaceae; g__Actinomadura; s__		FAD_binding_2;Succ_DH_flav_C;HEAT_2;HEAT_2;HEAT_2	COG1053	aprA
aih___Aiant_75610	fumarate reductase/succinate dehydrogenase flavoprotein-like FrdA	Actinoplanes ianthinogenes	Curated_Outgroup	outgroup	outgroup	aih___Aiant_75610		PF00890;PF02910;PF13646;PF13646	COG1053	K00394	aih___Aiant_75610	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes; s__		FAD_binding_2;Succ_DH_flav_C;HEAT_2;HEAT_2	COG1053	aprA
apm___HIMB5_00004980	dissimilatory adenylylsulfate reductase alpha subunit	alpha proteobacterium HIMB5	Curated_Ingroup	aprA	aprA	apm___HIMB5_00004980		PF00890;PF02910	COG1053	K00394	apm___HIMB5_00004980	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
apo___Arcpr_1261	adenylylsulfate reductase, alpha subunit	Archaeoglobus profundus DSM 5631	Curated_Ingroup	aprA	aprA	apo___Arcpr_1261		PF00890;PF02910	COG1053	K00394	apo___Arcpr_1261	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
aprs___BI364_16810	fumarate reductase/succinate dehydrogenase flavoprotein subunit	Acidihalobacter prosperus	Curated_Outgroup	outgroup	outgroup	aprs___BI364_16810		PF00890;PF02910	COG1053	K00394	aprs___BI364_16810	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Acidihalobacter; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
ast___Asulf_02111	dissimilatory adenylylsulfate reductase alpha subunit precursor	Archaeoglobus sulfaticallidus PM70-1	Curated_Ingroup	aprA	aprA	ast___Asulf_02111		PF00890;PF02910	COG1053	K00394	ast___Asulf_02111	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
atb___J4859_12675	adenylyl-sulfate reductase subunit alpha	Atopobium sp. oral taxon 416	Curated_Outgroup	assimilatory_aprA	assimilatory_aprA	atb___J4859_12675		PF00890	COG1053	K00394	atb___J4859_12675	d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Atopobiaceae; g__Atopobium; s__		FAD_binding_2	COG1053	aprA
ate___Athe_1191	fumarate reductase/succinate dehydrogenase flavoprotein domain protein	Caldicellulosiruptor bescii DSM 6725	Curated_Outgroup	assimilatory_aprA	assimilatory_aprA	ate___Athe_1191		PF00890;PF02910	COG1053	K00394	ate___Athe_1191	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacterales Family III. Incertae Sedis; g__Caldicellulosiruptor; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
aty___A9R16_015415	fumarate reductase/succinate dehydrogenase flavoprotein subunit	Acidiferrobacter thiooxydans	Curated_Outgroup	outgroup	outgroup	aty___A9R16_015415		PF00890;PF02910	COG1053	K00394	aty___A9R16_015415	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
ave___Arcve_0423	adenylylsulfate reductase, alpha subunit	Archaeoglobus veneficus SNP6	Curated_Ingroup	aprA	aprA	ave___Arcve_0423		PF00890;PF02910	COG1053	K00394	ave___Arcve_0423	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
azq___G3580_17820	fumarate reductase/succinate dehydrogenase flavoprotein subunit	Nitrogeniibacter mangrovi	Curated_Outgroup	outgroup	outgroup	azq___G3580_17820		PF00890;PF02910	COG1053	K00394	azq___G3580_17820	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Zoogloeaceae; g__Nitrogeniibacter; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
bgz___XH91_23175	fumarate reductase/succinate dehydrogenase flavoprotein subunit	Bradyrhizobium guangzhouense	Curated_Outgroup	outgroup	outgroup	bgz___XH91_23175		PF00890;PF02910	COG1053	K00394	bgz___XH91_23175	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Bradyrhizobium; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
blab___EYS05_06480	adenylyl-sulfate reductase subunit alpha	Blautia sp. SC05B48	Curated_Outgroup	assimilatory_aprA	assimilatory_aprA	blab___EYS05_06480		PF00890	COG1053	K00394	blab___EYS05_06480	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		FAD_binding_2	COG1053	aprA
bliq___INP51_13755	adenylyl-sulfate reductase subunit alpha	Blautia liquoris	Curated_Outgroup	assimilatory_aprA	assimilatory_aprA	bliq___INP51_13755		PF00890	COG1053	K00394	bliq___INP51_13755	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		FAD_binding_2	COG1053	aprA
bpit___BPIT_07000	adenylylsulfate reductase subunit alpha	Candidatus Brocadia pituitae	Curated_Outgroup			bpit___BPIT_07000		PF00890;PF02910	COG1053	K00394	bpit___BPIT_07000	d__Bacteria; p__Planctomycetes; c__Candidatus Brocadiia; o__Candidatus Brocadiales; f__Candidatus Brocadiaceae; g__Candidatus Brocadia; s__		FAD_binding_2;Succ_DH_flav_C	COG1053	aprA
