tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_143100449.1	class I SAM-dependent methyltransferase [Roseovarius indicus]	Roseovarius indicus	Reviewed_Ingroup	mmtN	mmtN	WP_143100449.1			COG2890		WP_143100449.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__			COG2890	
WP_008888945.1	s-adenosyl-l-methionine--l-methionine S-methyltransferase [Thalassospira profundimaris]	Thalassospira profundimaris	Reviewed_Ingroup	mmtN	mmtN	WP_008888945.1		PF06325	COG2890		WP_008888945.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassospiraceae; g__Thalassospira; s__		PrmA	COG2890	
WP_052321947.1	SAM-dependent methyltransferase [Novosphingobium sp. MBES04]	Novosphingobium sp. MBES04	Reviewed_Ingroup	mmtN	mmtN	WP_052321947.1			COG2890		WP_052321947.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__			COG2890	
WP_017624909.1	hypothetical protein [Nocardiopsis chromatogenes]	Nocardiopsis chromatogenes	Reviewed_Ingroup	mmtN	mmtN	WP_017624909.1			COG2890		WP_017624909.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptosporangiales; f__Nocardiopsaceae; g__Nocardiopsis; s__			COG2890	
EME99407.1	S-adenosyl-L-methionine: L-methionine S-methyltransferase [Streptomyces mobaraensis NBRC 13819 = DSM 40847]	Streptomyces mobaraensis NBRC 13819 = DSM 40847	Reviewed_Ingroup	mmtN	mmtN	EME99407.1			COG2890		EME99407.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__			COG2890	
Q8W519.2	RecName: Full=Methionine S-methyltransferase; AltName: Full=AdoMet:Met S-methyltransferase	Zea mays	Reviewed_Outgroup	outgroup	outgroup	Q8W519.2		PF13847;PF00155	COG2890	K08247	Q8W519.2	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Zea; s__		Methyltransf_31;Aminotran_1_2	COG2890	E2.1.1.12
Q9MBC2.1	RecName: Full=Methionine S-methyltransferase; AltName: Full=AdoMet:Met S-methyltransferase; AltName: Full=Hv-MMT1	Hordeum vulgare	Reviewed_Outgroup	outgroup	outgroup	Q9MBC2.1		PF05175;PF00155	COG2890	K08247	Q9MBC2.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Hordeum; s__		MTS;Aminotran_1_2	COG2890	E2.1.1.12
Q9LTB2.1	RecName: Full=Methionine S-methyltransferase; AltName: Full=AdoMet:Met S-methyltransferase	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	Q9LTB2.1		PF06325;PF00155	COG0436	K08247	Q9LTB2.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		PrmA;Aminotran_1_2	COG0436	E2.1.1.12
Q9SWR3.1	RecName: Full=Methionine S-methyltransferase; AltName: Full=AdoMet:Met S-methyltransferase	Wollastonia biflora	Reviewed_Outgroup	outgroup	outgroup	Q9SWR3.1		PF05175;PF00155	COG2890	K08247	Q9SWR3.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Asterales; f__Asteraceae; g__Wollastonia; s__		MTS;Aminotran_1_2	COG2890	E2.1.1.12
smob___J7W19_30335	class I SAM-dependent methyltransferase	Streptomyces mobaraensis NBRC 13819 = DSM 40847	Curated_Ingroup	mmtN	mmtN	smob___J7W19_30335			COG2890		smob___J7W19_30335	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__			COG2890	
