tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
AAK90109.2	ABC transporter, nucleotide binding/ATPase protein [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Ingroup	smoE	smoE	AAK90109.2		PF00005;PF03459	COG3839	K10112;K07225	AAK90109.2	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		ABC_tran;TOBE	COG3839	msmX;hmuS
Q1GID1.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC	Ruegeria sp. TM1040	Reviewed_Outgroup			Q1GID1.1		PF00005;PF08402	COG3839	K10112;K05816	Q1GID1.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		ABC_tran;TOBE_2	COG3839	msmX;ugpC
Q46ZM0.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC	Cupriavidus pinatubonensis JMP134	Reviewed_Outgroup			Q46ZM0.1		PF00005;PF08402	COG3839	K10112;K05816	Q46ZM0.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		ABC_tran;TOBE_2	COG3839	msmX;ugpC
Q0BIZ6.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC	Burkholderia ambifaria AMMD	Reviewed_Outgroup			Q0BIZ6.1		PF00005;PF08402	COG3839	K05816	Q0BIZ6.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		ABC_tran;TOBE_2	COG3839	ugpC
Q7NRX5.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC	Chromobacterium violaceum ATCC 12472	Reviewed_Outgroup			Q7NRX5.1		PF00005;PF08402	COG3839	K10112;K05816	Q7NRX5.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Chromobacterium; s__		ABC_tran;TOBE_2	COG3839	msmX;ugpC
A3PRY1.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC	Cereibacter sphaeroides ATCC 17029	Reviewed_Outgroup			A3PRY1.1		PF00005;PF08402	COG3839	K10112;K05816;K07225	A3PRY1.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Cereibacter; s__		ABC_tran;TOBE_2	COG3839	msmX;ugpC;hmuS
Q13TV1.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC	Paraburkholderia xenovorans LB400	Reviewed_Outgroup			Q13TV1.1		PF00005;PF08402	COG3839	K05816	Q13TV1.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__		ABC_tran;TOBE_2	COG3839	ugpC
O32151.1	RecName: Full=Uncharacterized ABC transporter ATP-binding protein YurJ	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup			O32151.1		PF00005;PF08402	COG3839	K10112	O32151.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		ABC_tran;TOBE_2	COG3839	msmX
Q2K4V4.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC 2	Rhizobium etli CFN 42	Reviewed_Outgroup			Q2K4V4.1		PF00005	COG3839		Q2K4V4.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Rhizobium; s__		ABC_tran	COG3839	
Q8UII7.1	RecName: Full=sn-glycerol-3-phosphate import ATP-binding protein UgpC 1	Agrobacterium fabrum str. C58	Reviewed_Outgroup			Q8UII7.1		PF00005	COG3839	K10112	Q8UII7.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		ABC_tran	COG3839	msmX
