tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_011046214.1	cupin domain-containing protein [Ruegeria pomeroyi]	Ruegeria pomeroyi	Reviewed_Ingroup	dddW	dddW	WP_011046214.1		PF07883	COG1917		WP_011046214.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		Cupin_2	COG1917	
EAQ44306.1	hypothetical protein MED193_09710 [Roseobacter sp. MED193]	Roseobacter sp. MED193	Reviewed_Ingroup	dddW	dddW	EAQ44306.1		PF07883	COG1917		EAQ44306.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseobacter; s__		Cupin_2	COG1917	
P23157.1	RecName: Full=16.7 kDa protein in whiE locus; AltName: Full=WhiE ORF II	Streptomyces coelicolor A3(2)	Reviewed_Outgroup			P23157.1		PF07883	COG1917	K14673	P23157.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__		Cupin_2	COG1917	whiEII
Q05362.1	RecName: Full=Protein SchB	Streptomyces halstedii	Reviewed_Outgroup			Q05362.1		PF07883	COG0662	K14673	Q05362.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__		Cupin_2	COG0662	whiEII
WP_011281678.1	cupin domain-containing protein [Candidatus Pelagibacter ubique]	Candidatus Pelagibacter ubique	Reviewed_Outgroup	dddK	dddK	WP_011281678.1		PF07883	COG2140		WP_011281678.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter; s__		Cupin_2	COG2140	
KRP06000.1	cupin [Pelagibacteraceae bacterium BACL20 MAG-120920-bin64]	Pelagibacteraceae bacterium BACL20 MAG-120920-bin64	Reviewed_Outgroup	dddK	dddK	KRP06000.1		PF07883	COG0662		KRP06000.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__; s__		Cupin_2	COG0662	
AFS47241.1	cupin domain-containing protein [alpha proteobacterium HIMB5]	alpha proteobacterium HIMB5	Reviewed_Outgroup	dddK	dddK	AFS47241.1		PF07883	COG0662		AFS47241.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__; s__		Cupin_2	COG0662	
WP_006997514.1	cupin domain-containing protein [Candidatus Pelagibacter ubique]	Candidatus Pelagibacter ubique	Reviewed_Outgroup	dddK	dddK	WP_006997514.1		PF07883	COG0662		WP_006997514.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales; f__Pelagibacteraceae; g__Candidatus Pelagibacter; s__		Cupin_2	COG0662	
sil___SPO0453	dddW; DMSP lyase	Ruegeria pomeroyi DSS-3	Curated_Ingroup	dddW	dddW	sil___SPO0453		PF07883	COG1917		sil___SPO0453	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		Cupin_2	COG1917	
fap___GR316_08825	cupin domain-containing protein	Falsirhodobacter sp. PG104	Curated_Outgroup			fap___GR316_08825		PF07883	COG1917		fap___GR316_08825	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Falsirhodobacter; s__		Cupin_2	COG1917	
