tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_012970473.1	DsrJ protein [Allochromatium vinosum]	Allochromatium vinosum	Reviewed_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	WP_012970473.1					WP_012970473.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__				
WP_010938584.1	MULTISPECIES: sulfate reduction electron transfer complex DsrMKJOP subunit DsrJ [Desulfovibrio]	Desulfovibrio	Reviewed_Ingroup	Reductive_dsrJ	Reductive_dsrJ	WP_010938584.1					WP_010938584.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__				
O29747.2	RecName: Full=Hdr-like menaquinol oxidoreductase cytochrome c subunit; Short=Hme subunit E	Archaeoglobus fulgidus DSM 4304	Reviewed_Ingroup	Reductive_dsrJ	Reductive_dsrJ	O29747.2					O29747.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__				
acii___C4901_06810	hypothetical protein	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	acii___C4901_06810					acii___C4901_06810	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__				
aeh___Mlg_1662	hypothetical protein	Alkalilimnicola ehrlichii MLHE-1	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	aeh___Mlg_1662					aeh___Mlg_1662	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Alkalilimnicola; s__				
afu___AF_0503	predicted coding region AF_0503	Archaeoglobus fulgidus DSM 4304	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	afu___AF_0503					afu___AF_0503	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__				
aphf___CVPH_1062	dsrJ; intracellular sulfur oxidation protein DsrJ	Abyssogena phaseoliformis symbiont OG214	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	aphf___CVPH_1062					aphf___CVPH_1062	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__				
apo___Arcpr_1731	cytochrome c family protein	Archaeoglobus profundus DSM 5631	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	apo___Arcpr_1731					apo___Arcpr_1731	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__				
ast___Asulf_02287	putative sulfite reductase-associated electron transfer protein DsrJ	Archaeoglobus sulfaticallidus PM70-1	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	ast___Asulf_02287					ast___Asulf_02287	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__				
atep___Atep_14790	hypothetical protein	Allochromatium tepidum	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	atep___Atep_14790					atep___Atep_14790	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__				
ave___Arcve_1687	hypothetical protein	Archaeoglobus veneficus SNP6	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	ave___Arcve_1687					ave___Arcve_1687	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__				
bbag___E1O_03110	uncharacterized protein	Burkholderiales bacterium GJ-E10	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	bbag___E1O_03110					bbag___E1O_03110	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__				
blag___BLTE_30750	hypothetical protein	Blastochloris tepida	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	blag___BLTE_30750					blag___BLTE_30750	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Blastochloridaceae; g__Blastochloris; s__				
blep___AL038_00650	Hdr-like menaquinol oxidoreductase cytochrome c subunit	Beggiatoa leptomitoformis	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	blep___AL038_00650					blep___AL038_00650	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Beggiatoa; s__				
cbac___JI75_04615	hypothetical protein	Berryella intestinalis	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	cbac___JI75_04615					cbac___JI75_04615	d__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Eggerthellales; f__Eggerthellaceae; g__Berryella; s__				
cch___Cag_1946	putative sulfite reductase-associated electron transfer protein DsrJ	Chlorobium chlorochromatii CaD3	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	cch___Cag_1946			COG5151		cch___Cag_1946	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__			COG5151	
cjap___GWK36_02335	sulfur reduction protein DsrJ	Caldichromatium japonicum	Curated_Ingroup	Oxidative_dsrJ	Oxidative_dsrJ	cjap___GWK36_02335					cjap___GWK36_02335	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Caldichromatium; s__				
cli___Clim_0705	conserved hypothetical protein	Chlorobium limicola DSM 245	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	cli___Clim_0705					cli___Clim_0705	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__				
clz___BIU88_11250	sulfur reduction protein DsrJ	Chlorobaculum limnaeum	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	clz___BIU88_11250					clz___BIU88_11250	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__				
cpb___Cphamn1_1847	cytochrome c family protein	Chlorobium phaeobacteroides BS1	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	cpb___Cphamn1_1847					cpb___Cphamn1_1847	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__				
cpc___Cpar_0035	cytochrome DsrJ	Chlorobaculum parvum NCIB 8327	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	cpc___Cpar_0035					cpc___Cpar_0035	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__				
cph___Cpha266_0138	putative sulfite reductase-associated electron transfer protein DsrJ	Chlorobium phaeobacteroides DSM 266	Curated_Ingroup	Reductive_dsrJ	Reductive_dsrJ	cph___Cpha266_0138					cph___Cpha266_0138	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__				
