tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_013058329.1	MULTISPECIES: AEC family transporter [Priestia]	Priestia	Reviewed_Ingroup	sftE_priestia	sftE_priestia	WP_013058329.1		PF03547;PF03547	COG0679	K24180	WP_013058329.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__		Mem_trans;Mem_trans	COG0679	mleP
aad___TC41_0668	Auxin Efflux Carrier	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	Curated_Outgroup	outgroup	outgroup	aad___TC41_0668		PF03547;PF03547	COG0679	K24180	aad___TC41_0668	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
acae___HYG86_03975	AEC family transporter	Alkalicella caledoniensis	Curated_Outgroup			acae___HYG86_03975		PF03547;PF03547	COG0679	K24180	acae___HYG86_03975	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Proteinivoraceae; g__Alkalicella; s__		Mem_trans;Mem_trans	COG0679	mleP
acre___ACRYA_0597	putative permease	Aliarcobacter cryaerophilus ATCC 43158	Curated_Outgroup			acre___ACRYA_0597		PF03547	COG0679		acre___ACRYA_0597	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Aliarcobacter; s__		Mem_trans	COG0679	
agn___AFK25_08355	transporter	Anoxybacillus gonensis	Curated_Outgroup			agn___AFK25_08355		PF03547;PF03547	COG0679	K24180	agn___AFK25_08355	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
aia___AWH56_012930	AEC family transporter	Anaerobacillus isosaccharinicus	Curated_Outgroup			aia___AWH56_012930		PF03547;PF03547	COG0679	K24180	aia___AWH56_012930	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anaerobacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
amr___AM1_4274	auxin efflux carrier, putative	Acaryochloris marina MBIC11017	Curated_Outgroup	outgroup	outgroup	amr___AM1_4274		PF03547;PF03547	COG0679	K24180	amr___AM1_4274	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Acaryochloridaceae; g__Acaryochloris; s__		Mem_trans;Mem_trans	COG0679	mleP
amt___Amet_2961	Auxin Efflux Carrier	Alkaliphilus metalliredigens QYMF	Curated_Outgroup			amt___Amet_2961		PF03547;PF03547	COG0679	K24180	amt___Amet_2961	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Alkaliphilus; s__		Mem_trans;Mem_trans	COG0679	mleP
amt___Amet_3396	Auxin Efflux Carrier	Alkaliphilus metalliredigens QYMF	Curated_Outgroup			amt___Amet_3396		PF03547;PF03547	COG0679	K24180	amt___Amet_3396	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Alkaliphilus; s__		Mem_trans;Mem_trans	COG0679	mleP
apak___AP3564_07350	hypothetical protein	Aeribacillus pallidus	Curated_Outgroup			apak___AP3564_07350		PF03547;PF03547	COG0679	K24180	apak___AP3564_07350	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Aeribacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
aqt___FN924_17625	AEC family transporter	Radiobacillus deserti	Curated_Outgroup			aqt___FN924_17625		PF03547;PF03547	COG0679	K24180	aqt___FN924_17625	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Radiobacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
arp___NIES39_E02320	auxin efflux carrier family protein	Arthrospira platensis NIES-39	Curated_Outgroup	outgroup	outgroup	arp___NIES39_E02320		PF03547;PF03547	COG0679	K24180	arp___NIES39_E02320	d__Bacteria; p__Cyanobacteria; c__; o__Oscillatoriales; f__Microcoleaceae; g__Arthrospira; s__		Mem_trans;Mem_trans	COG0679	mleP
asha___G8E00_11450	AEC family transporter	Acinetobacter shaoyimingii	Curated_Outgroup			asha___G8E00_11450		PF03547	COG0679	K24180	asha___G8E00_11450	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		Mem_trans	COG0679	mleP
axl___AXY_19780	putative transporter	Amphibacillus xylanus NBRC 15112	Curated_Outgroup			axl___AXY_19780		PF03547;PF03547	COG0679	K24180	axl___AXY_19780	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Amphibacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
baci___B1NLA3E_11700	hypothetical protein	Bacillus sp. 1NLA3E	Curated_Outgroup			baci___B1NLA3E_11700		PF03547	COG0679	K24180	baci___B1NLA3E_11700	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Mem_trans	COG0679	mleP
baco___OXB_0103	permease	Bacillus sp. OxB-1	Curated_Outgroup			baco___OXB_0103		PF03547;PF03547	COG0679	K24180	baco___OXB_0103	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Mem_trans;Mem_trans	COG0679	mleP
baco___OXB_3495	dec family malonate efflux carrier	Bacillus sp. OxB-1	Curated_Outgroup			baco___OXB_3495		PF03547	COG0679	K24180	baco___OXB_3495	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Mem_trans	COG0679	mleP
