tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
E7FHU4.1	RecName: Full=Sulfhydrogenase 1 subunit delta; AltName: Full=Hydrogenase I small subunit; AltName: Full=NADP-reducing hydrogenase subunit HydD; AltName: Full=Sulfhydrogenase I subunit delta	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyD	shyD	E7FHU4.1		PF01058	COG1941	K17994	E7FHU4.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Oxidored_q6	COG1941	hydD
E7FHF8.1	RecName: Full=Sulfhydrogenase 2 subunit delta; AltName: Full=Hydrogen dehydrogenase (NAD(P)(+)); AltName: Full=Hydrogenase-II subunit delta; Short=H-II delta; AltName: Full=NADP-reducing hydrogenase subunit ShyD; AltName: Full=Sulfhydrogenase II subunit delta	Pyrococcus furiosus DSM 3638	Reviewed_Ingroup	shyD	shyD	E7FHF8.1		PF01058	COG1941	K17994	E7FHF8.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Oxidored_q6	COG1941	hydD
P22319.1	RecName: Full=NAD-reducing hydrogenase HoxS subunit delta	Cupriavidus necator H16	Reviewed_Outgroup	outgroup	outgroup	P22319.1		PF01058	COG1941	K18007	P22319.1	d__Bacteria; p__Pseudomonadota; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Oxidored_q6	COG1941	hoxY
P60239.2	RecName: Full=F420-non-reducing hydrogenase subunit G; AltName: Full=Methyl viologen-reducing hydrogenase subunit gamma; Short=MVH subunit G	Methanothermobacter marburgensis str. Marburg	Reviewed_Outgroup	outgroup	outgroup	P60239.2		PF01058	COG1941	K14128	P60239.2	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Oxidored_q6	COG1941	mvhG
P84627.2	RecName: Full=F420-non-reducing hydrogenase iron-sulfur subunit G	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84627.2		PF01058	COG1941	K14128	P84627.2	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Oxidored_q6	COG1941	mvhG
Q00393.1	RecName: Full=Coenzyme F420 hydrogenase subunit gamma; AltName: Full=8-hydroxy-5-deazaflavin-reducing hydrogenase subunit gamma; Short=FRH	Methanococcus voltae	Reviewed_Outgroup	outgroup	outgroup	Q00393.1		PF01058;PF00037	COG1941	K00443	Q00393.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Oxidored_q6;Fer4	COG1941	frhG
Q00406.1	RecName: Full=F420-non-reducing hydrogenase vhc subunit G	Methanococcus voltae	Reviewed_Outgroup	outgroup	outgroup	Q00406.1		PF01058	COG1941	K14128	Q00406.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Oxidored_q6	COG1941	mvhG
Q00409.2	RecName: Full=F420-non-reducing hydrogenase vhu subunit G	Methanococcus voltae	Reviewed_Outgroup	outgroup	outgroup	Q00409.2		PF01058	COG1941	K14128	Q00409.2	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Oxidored_q6	COG1941	mvhG
Q58591.1	RecName: Full=F420-non-reducing hydrogenase vhu subunit G	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58591.1		PF01058	COG1941	K14128	Q58591.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Oxidored_q6	COG1941	mvhG
Q60340.1	RecName: Full=Coenzyme F420 hydrogenase subunit gamma; AltName: Full=8-hydroxy-5-deazaflavin-reducing hydrogenase subunit gamma; Short=FRH	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q60340.1		PF01058;PF00037	COG1941	K00443	Q60340.1	d__Archaea; p__Euryarchaeota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Oxidored_q6;Fer4	COG1941	frhG
