tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q9RYT3	Sulfite oxidase, putative	Deinococcus radiodurans R1	Reviewed_Ingroup	sorT1	sorT1	Q9RYT3		PF00174;PF03404	COG2041		Q9RYT3	d__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
EHK78809.1	sulfite oxidase [Sinorhizobium meliloti CCNWSX0020]	Sinorhizobium meliloti CCNWSX0020	Reviewed_Ingroup	sorT1	sorT1	EHK78809.1		PF00174;PF03404	COG2041		EHK78809.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
AAS81303.1	probable sulfite reductase [Thermus thermophilus HB27]	Thermus thermophilus HB27	Reviewed_Ingroup	sorT2	sorT2	AAS81303.1		PF00174;PF03404	COG2041		AAS81303.1	d__Bacteria; p__Deinococcus-Thermus; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
ABX32702.1	oxidoreductase molybdopterin binding [Delftia acidovorans SPH-1]	Delftia acidovorans SPH-1	Reviewed_Outgroup	sorA3	sorA3	ABX32702.1		PF00174;PF03404	COG2041		ABX32702.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
Q0PCC0	Molydopterin containing oxidoreductase	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Reviewed_Outgroup	sorA2	sorA2	Q0PCC0		PF00174;PF03404	COG2041		Q0PCC0	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	
Q9LA16	Sulfite:cytochrome c oxidoreductase subunit A	Starkeya novella	Reviewed_Outgroup	sorA1	sorA1	Q9LA16		PF00174;PF03404	COG2041	K05301	Q9LA16	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Starkeya; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
Q0K2X2	Sulfite oxidase (EC 1.8.3.1)	Cupriavidus necator H16	Reviewed_Outgroup	sorA1	sorA1	Q0K2X2		PF00174;PF03404	COG2041	K05301	Q0K2X2	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
ZP_00051098.2	COG2041: Sulfite oxidase and related enzymes, partial [Magnetospirillum magnetotacticum MS-1]	Magnetospirillum magnetotacticum MS-1	Reviewed_Outgroup	sorA1	sorA1	ZP_00051098.2		PF00174	COG2041		ZP_00051098.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Magnetospirillum; s__		Oxidored_molyb	COG2041	
ZP_01144296.1	Sulfite oxidase and related enzymes-like [Acidiphilium cryptum JF-5]	Acidiphilium cryptum JF-5	Reviewed_Outgroup	sorA1	sorA1	ZP_01144296.1		PF00174;PF03404	COG2041	K05301	ZP_01144296.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidiphilium; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
NP_773897.1	oxidase [Bradyrhizobium diazoefficiens USDA 110]	Bradyrhizobium diazoefficiens USDA 110	Reviewed_Outgroup	sorA1	sorA1	NP_773897.1		PF00174;PF03404	COG2041	K05301	NP_773897.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Bradyrhizobium; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
YP_578584.1	twin-arginine translocation pathway signal [Nitrobacter hamburgensis X14]	Nitrobacter hamburgensis X14	Reviewed_Outgroup	sorA1	sorA1	YP_578584.1		PF00174;PF03404	COG2041	K05301	YP_578584.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Nitrobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
ZP_01044876.1	Oxidoreductase, molybdopterin binding [Nitrobacter sp. Nb-311A]	Nitrobacter sp. Nb-311A	Reviewed_Outgroup	sorA1	sorA1	ZP_01044876.1		PF00174;PF03404	COG2041	K05301	ZP_01044876.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Nitrobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
YP_319624.1	oxidoreductase, molybdopterin binding [Nitrobacter winogradskyi Nb-255]	Nitrobacter winogradskyi Nb-255	Reviewed_Outgroup	sorA1	sorA1	YP_319624.1		PF00174;PF03404	COG2041	K05301	YP_319624.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Bradyrhizobiaceae; g__Nitrobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
AAF64400.1	sulfite:cytochrome c oxidoreductase subunit A [Starkeya novella DSM 506]	Starkeya novella DSM 506	Reviewed_Outgroup	sorA1	sorA1	AAF64400.1		PF00174;PF03404	COG2041	K05301	AAF64400.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Starkeya; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
ZP_01199037.1	Twin-arginine translocation pathway signal [Xanthobacter autotrophicus Py2]	Xanthobacter autotrophicus Py2	Reviewed_Outgroup	sorA1	sorA1	ZP_01199037.1		PF00174;PF03404	COG2041	K05301	ZP_01199037.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Xanthobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
ZP_01196335.1	putative oxidase [Xanthobacter autotrophicus Py2]	Xanthobacter autotrophicus Py2	Reviewed_Outgroup	sorA1	sorA1	ZP_01196335.1		PF00174;PF03404	COG2041	K05301	ZP_01196335.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Xanthobacter; s__		Oxidored_molyb;Mo-co_dimer	COG2041	sorA
