tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
A3SK19.1	RecName: Full=Dimethylsulfonioproprionate lyase DddP; Short=DMSP lyase	Roseovarius nubinhibens ISM	Reviewed_Ingroup	dddP	dddP	A3SK19.1		PF00557	COG0006		A3SK19.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseovarius; s__		Peptidase_M24	COG0006	
AAV95561.1	DMSP lyase [Ruegeria pomeroyi DSS-3]	Ruegeria pomeroyi DSS-3	Reviewed_Ingroup	dddP	dddP	AAV95561.1		PF00557	COG0006		AAV95561.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		Peptidase_M24	COG0006	
AFO91571.1	protein DddP (metallopeptidase, family M24), DMSP degrading [Phaeobacter inhibens DSM 17395]	Phaeobacter inhibens DSM 17395	Reviewed_Ingroup	dddP	dddP	AFO91571.1		PF01321;PF00557	COG0006		AFO91571.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Phaeobacter; s__		Creatinase_N;Peptidase_M24	COG0006	
SHJ09750.1	dimethylsulfoniopropionate lyase DddP [Ruegeria lacuscaerulensis ITI-1157]	Ruegeria lacuscaerulensis ITI-1157	Reviewed_Ingroup	dddP	dddP	SHJ09750.1		PF00557	COG0006		SHJ09750.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		Peptidase_M24	COG0006	
AEQ39091.1	DMSP lyase [Oceanimonas doudoroffii]	Oceanimonas doudoroffii	Reviewed_Ingroup	dddP	dddP	AEQ39091.1		PF01321;PF00557	COG0006		AEQ39091.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Oceanimonas; s__		Creatinase_N;Peptidase_M24	COG0006	
AEQ39103.1	DMSP lyase [Oceanimonas doudoroffii]	Oceanimonas doudoroffii	Reviewed_Ingroup	dddP	dddP	AEQ39103.1		PF01321;PF00557	COG0006		AEQ39103.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Oceanimonas; s__		Creatinase_N;Peptidase_M24	COG0006	
BAE62778.1	unnamed protein product [Aspergillus oryzae RIB40]	Aspergillus oryzae RIB40	Reviewed_Ingroup	dddP	dddP	BAE62778.1		PF00557	COG0006		BAE62778.1	d__Eukaryota; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Aspergillaceae; g__Aspergillus; s__		Peptidase_M24	COG0006	
Q166H0.1	RecName: Full=Dimethylsulfonioproprionate lyase DddP; Short=DMSP lyase; Short=RdDddP	Roseobacter denitrificans OCh 114	Reviewed_Ingroup	dddP	dddP	Q166H0.1		PF00557	COG0006		Q166H0.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseobacter; s__		Peptidase_M24	COG0006	
O31689.1	RecName: Full=Putative dipeptidase YkvY	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O31689.1		PF01321;PF00557	COG0006	K01271	O31689.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
O84913.1	RecName: Full=Xaa-Pro dipeptidase; Short=X-Pro dipeptidase; AltName: Full=Imidodipeptidase; AltName: Full=Proline dipeptidase; Short=Prolidase	Lactobacillus helveticus	Reviewed_Outgroup	outgroup	outgroup	O84913.1		PF01321;PF00557	COG0006	K01271	O84913.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
P46545.1	RecName: Full=Xaa-Pro dipeptidase; Short=X-Pro dipeptidase; AltName: Full=Imidodipeptidase; AltName: Full=Proline dipeptidase; Short=Prolidase	Lactobacillus delbrueckii subsp. lactis	Reviewed_Outgroup	outgroup	outgroup	P46545.1		PF01321;PF00557	COG0006	K01271	P46545.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
P54518.1	RecName: Full=Uncharacterized peptidase YqhT	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P54518.1		PF01321;PF00557	COG0006	K01271;K01262	P54518.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ;pepP
P65811.1	RecName: Full=Probable dipeptidase PepE	Mycobacterium tuberculosis variant bovis AF2122/97	Reviewed_Outgroup	outgroup	outgroup	P65811.1		PF01321;PF00557	COG0006	K01271	P65811.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
P81535.1	RecName: Full=Xaa-Pro dipeptidase; Short=X-Pro dipeptidase; AltName: Full=Imidodipeptidase; AltName: Full=Proline dipeptidase; Short=Prolidase	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup	outgroup	outgroup	P81535.1		PF01321;PF00557	COG0006	K01271;K01262	P81535.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ;pepP
Q2FG30.1	RecName: Full=Uncharacterized peptidase SAUSA300_1654	Staphylococcus aureus subsp. aureus USA300	Reviewed_Outgroup	outgroup	outgroup	Q2FG30.1		PF01321;PF00557	COG0006	K01271	Q2FG30.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
Q49YD7.1	RecName: Full=Uncharacterized peptidase SSP1059	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292	Reviewed_Outgroup	outgroup	outgroup	Q49YD7.1		PF01321;PF00557	COG0006	K01271	Q49YD7.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
Q4L749.1	RecName: Full=Uncharacterized peptidase SH1217	Staphylococcus haemolyticus JCSC1435	Reviewed_Outgroup	outgroup	outgroup	Q4L749.1		PF01321;PF00557	COG0006	K01271	Q4L749.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
Q5HNJ7.1	RecName: Full=Uncharacterized peptidase SERP1271	Staphylococcus epidermidis RP62A	Reviewed_Outgroup	outgroup	outgroup	Q5HNJ7.1		PF01321;PF00557	COG0006	K01271	Q5HNJ7.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus; s__		Creatinase_N;Peptidase_M24	COG0006	pepQ
pman___OU5_0018	putative proline dipeptidase	Pseudomonas mandelii JR-1	Curated_Ingroup	dddP	dddP	pman___OU5_0018		PF00557	COG0006		pman___OU5_0018	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Peptidase_M24	COG0006	
bceo___I35_7810	Aminopeptidase YpdF (MP-, MA-, MS-, AP-,NP-specific)	Burkholderia cenocepacia H111	Curated_Ingroup	dddP	dddP	bceo___I35_7810		PF01321;PF00557	COG0006		bceo___I35_7810	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		Creatinase_N;Peptidase_M24	COG0006	
byi___BYI23_B014640	peptidase M24	Burkholderia sp. YI23	Curated_Ingroup	dddP	dddP	byi___BYI23_B014640		PF00557	COG0006		byi___BYI23_B014640	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		Peptidase_M24	COG0006	
hadh___FRZ61_51100	peptidase M24	Hypericibacter adhaerens	Curated_Ingroup	dddP	dddP	hadh___FRZ61_51100		PF01321;PF00557	COG0006		hadh___FRZ61_51100	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Hypericibacter; s__		Creatinase_N;Peptidase_M24	COG0006	
hhd___HBHAL_1185	M24 family peptidase	Halobacillus halophilus DSM 2266	Curated_Ingroup	dddP	dddP	hhd___HBHAL_1185		PF01321;PF00557	COG0006		hhd___HBHAL_1185	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Halobacillus; s__		Creatinase_N;Peptidase_M24	COG0006	
malg___MALG_03431	Xaa-Pro aminopeptidase	Marinovum algicola DG 898	Curated_Ingroup	dddP	dddP	malg___MALG_03431		PF01321;PF00557	COG0006		malg___MALG_03431	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Marinovum; s__		Creatinase_N;Peptidase_M24	COG0006	
bue___BRPE67_DCDS03400	peptidase	Burkholderia sp. RPE67	Curated_Ingroup	dddP	dddP	bue___BRPE67_DCDS03400		PF01321;PF00557	COG0006		bue___BRPE67_DCDS03400	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		Creatinase_N;Peptidase_M24	COG0006	
naci___NUH88_20090	Xaa-Pro peptidase family protein	Nisaea acidiphila	Curated_Ingroup	dddP	dddP	naci___NUH88_20090		PF01321;PF00557	COG0006		naci___NUH88_20090	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Thalassobaculaceae; g__Nisaea; s__		Creatinase_N;Peptidase_M24	COG0006	
drt___Dret_0354	peptidase M24	Desulfohalobium retbaense DSM 5692	Curated_Ingroup	dddP	dddP	drt___Dret_0354		PF01321;PF00557	COG0006		drt___Dret_0354	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfohalobiaceae; g__Desulfohalobium; s__		Creatinase_N;Peptidase_M24	COG0006	
csa___Csal_2884	peptidase M24	Chromohalobacter salexigens DSM 3043	Curated_Ingroup	dddP	dddP	csa___Csal_2884		PF01321;PF00557	COG0006		csa___Csal_2884	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Chromohalobacter; s__		Creatinase_N;Peptidase_M24	COG0006	
panr___A7J50_2673	peptidase M24	Pseudomonas antarctica	Curated_Ingroup	dddP	dddP	panr___A7J50_2673		PF01321;PF00557	COG0006		panr___A7J50_2673	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Creatinase_N;Peptidase_M24	COG0006	
boo___E2K80_09290	aminopeptidase P family protein	Boseongicola sp. CCM32	Curated_Ingroup	dddP	dddP	boo___E2K80_09290		PF00557	COG0006		boo___E2K80_09290	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Boseongicola; s__		Peptidase_M24	COG0006	
suli___C1J05_05615	peptidase M24	Sulfitobacter sp. JL08	Curated_Ingroup	dddP	dddP	suli___C1J05_05615		PF00557	COG0006		suli___C1J05_05615	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Sulfitobacter; s__		Peptidase_M24	COG0006	
moh___IHQ72_13460	aminopeptidase P family protein	Mesorhizobium onobrychidis	Curated_Ingroup	dddP	dddP	moh___IHQ72_13460		PF00557	COG0006		moh___IHQ72_13460	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		Peptidase_M24	COG0006	
rad___CO657_27205	aminopeptidase P family protein	Rhizobium acidisoli	Curated_Ingroup	dddP	dddP	rad___CO657_27205		PF00557	COG0006		rad___CO657_27205	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Rhizobium; s__		Peptidase_M24	COG0006	
noh___G5V57_21460	aminopeptidase P family protein	Nordella sp. HKS 07	Curated_Ingroup	dddP	dddP	noh___G5V57_21460		PF00557	COG0006		noh___G5V57_21460	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__; g__Nordella; s__		Peptidase_M24	COG0006	
not___C7W88_16075	peptidase M24	Novosphingobium sp. THN1	Curated_Ingroup	dddP	dddP	not___C7W88_16075		PF00557	COG0006		not___C7W88_16075	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__		Peptidase_M24	COG0006	
pfl___PFL_3552	peptidase, M24 family	Pseudomonas protegens Pf-5	Curated_Ingroup	dddP	dddP	pfl___PFL_3552		PF01321;PF00557	COG0006		pfl___PFL_3552	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Creatinase_N;Peptidase_M24	COG0006	
bpx___BUPH_04509	aminopeptidase	Paraburkholderia phenoliruptrix BR3459a	Curated_Ingroup	dddP	dddP	bpx___BUPH_04509		PF01321;PF00557	COG0006		bpx___BUPH_04509	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__		Creatinase_N;Peptidase_M24	COG0006	
mph___MLP_20320	peptidase M24 family protein	Microlunatus phosphovorus NM-1	Curated_Ingroup	dddP	dddP	mph___MLP_20320		PF01321;PF00557	COG0006		mph___MLP_20320	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Microlunatus; s__		Creatinase_N;Peptidase_M24	COG0006	
ptp___RCA23_c18180	dddP; dimethylpropiothetin dethiomethylase DddP	Planktomarina temperata RCA23	Curated_Ingroup	dddP	dddP	ptp___RCA23_c18180		PF01321;PF00557	COG0006		ptp___RCA23_c18180	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; s__		Creatinase_N;Peptidase_M24	COG0006	
geh___HYN69_11065	peptidase M24	Gemmobacter aquarius	Curated_Ingroup	dddP	dddP	geh___HYN69_11065		PF00557	COG0006		geh___HYN69_11065	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gemmobacter; s__		Peptidase_M24	COG0006	
gce___KYE46_12725	Xaa-Pro peptidase family protein	Gymnodinialimonas ceratoperidinii	Curated_Ingroup	dddP	dddP	gce___KYE46_12725		PF01321;PF00557	COG0006		gce___KYE46_12725	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Gymnodinialimonas; s__		Creatinase_N;Peptidase_M24	COG0006	
red___roselon_02546	metallopeptidase, family M24	Roseibacterium elongatum DSM 19469	Curated_Ingroup	dddP	dddP	red___roselon_02546		PF00557	COG0006		red___roselon_02546	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Roseibacterium; s__		Peptidase_M24	COG0006	
lev___ETW23_15525	aminopeptidase P family protein	Leisingera sp. NJS201	Curated_Ingroup	dddP	dddP	lev___ETW23_15525		PF00557	COG0006		lev___ETW23_15525	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		Peptidase_M24	COG0006	
llp___GH975_07545	M24 family metallopeptidase	Litoricola lipolytica	Curated_Ingroup	dddP	dddP	llp___GH975_07545		PF01321;PF00557	COG0006		llp___GH975_07545	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Litoricolaceae; g__Litoricola; s__		Creatinase_N;Peptidase_M24	COG0006	
hdh___G5B40_05130	aminopeptidase P family protein	Pikeienuella piscinae	Curated_Ingroup	dddP	dddP	hdh___G5B40_05130		PF01321;PF00557	COG0006		hdh___G5B40_05130	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pikeienuella; s__		Creatinase_N;Peptidase_M24	COG0006	
poz___I0K15_15825	aminopeptidase P family protein	Pontivivens ytuae	Curated_Ingroup	dddP	dddP	poz___I0K15_15825		PF00557	COG0006		poz___I0K15_15825	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Pontivivens; s__		Peptidase_M24	COG0006	
snea___NBZ79_04025	Xaa-Pro peptidase family protein	Sneathiella sp. PHK-P5	Curated_Ingroup	dddP	dddP	snea___NBZ79_04025		PF00557	COG0006		snea___NBZ79_04025	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sneathiellales; f__Sneathiellaceae; g__Sneathiella; s__		Peptidase_M24	COG0006	
vgi___MID13_22520	Xaa-Pro peptidase family protein	Vibrio gigantis	Curated_Ingroup	dddP	dddP	vgi___MID13_22520		PF01321;PF00557	COG0006		vgi___MID13_22520	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__		Creatinase_N;Peptidase_M24	COG0006	
pses___PSCI_4181	metallopeptidase-like protein	Pseudomonas sp. StFLB209	Curated_Ingroup	dddP	dddP	pses___PSCI_4181		PF01321;PF00557	COG0006		pses___PSCI_4181	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Creatinase_N;Peptidase_M24	COG0006	
gai___IMCC3135_30545	dddP_2; Dimethlysulfonioproprionate lyase DddP	Granulosicoccus antarcticus IMCC3135	Curated_Ingroup	dddP	dddP	gai___IMCC3135_30545			COG0006		gai___IMCC3135_30545	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Granulosicoccaceae; g__Granulosicoccus; s__			COG0006	
pzh___CX676_04765	peptidase M24	Paracoccus zhejiangensis	Curated_Ingroup	dddP	dddP	pzh___CX676_04765		PF00557	COG0006		pzh___CX676_04765	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		Peptidase_M24	COG0006	
apb___SAR116_1427	peptidase M24	Candidatus Puniceispirillum marinum IMCC1322	Curated_Ingroup	dddP	dddP	apb___SAR116_1427		PF00557	COG0006		apb___SAR116_1427	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__Candidatus Puniceispirillum; s__		Peptidase_M24	COG0006	
moh___IHQ72_28880	aminopeptidase P family protein	Mesorhizobium onobrychidis	Curated_Ingroup	dddP	dddP	moh___IHQ72_28880		PF00557	COG0006		moh___IHQ72_28880	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		Peptidase_M24	COG0006	
rpod___E0E05_13285	aminopeptidase P family protein	Roseitalea porphyridii	Curated_Ingroup	dddP	dddP	rpod___E0E05_13285		PF01321;PF00557	COG0006		rpod___E0E05_13285	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Roseitalea; s__		Creatinase_N;Peptidase_M24	COG0006	
mesp___C1M53_24475	peptidase M24	Mesorhizobium sp. Pch-S	Curated_Ingroup	dddP	dddP	mesp___C1M53_24475		PF01321;PF00557	COG0006		mesp___C1M53_24475	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__		Creatinase_N;Peptidase_M24	COG0006	
niy___FQ775_22515	aminopeptidase P family protein	Nitratireductor sp. SY7	Curated_Ingroup	dddP	dddP	niy___FQ775_22515		PF01321;PF00557	COG0006		niy___FQ775_22515	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Nitratireductor; s__		Creatinase_N;Peptidase_M24	COG0006	
labp___FJ695_07945	aminopeptidase P family protein	Labrenzia sp. PHM005	Curated_Ingroup	dddP	dddP	labp___FJ695_07945		PF01321;PF00557	COG0006		labp___FJ695_07945	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Stappiaceae; g__Labrenzia; s__		Creatinase_N;Peptidase_M24	COG0006	
abn___AB57_2844	peptidase M24	Acinetobacter baumannii AB0057	Curated_Ingroup	dddP	dddP	abn___AB57_2844		PF01321;PF00557	COG0006		abn___AB57_2844	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		Creatinase_N;Peptidase_M24	COG0006	
