tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0DOV7.1	RecName: Full=6-deoxy-6-sulfo-D-gluconate dehydratase; Short=SG dehydratase	Pseudomonas putida	Reviewed_Ingroup	sgdh	sgdh	P0DOV7.1		PF00920	COG0129		P0DOV7.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		ILVD_EDD	COG0129	
Q92RP0.1	RecName: Full=Putative dehydratase IlvD1	Sinorhizobium meliloti 1021	Reviewed_Outgroup	outgroup	outgroup	Q92RP0.1		PF00920	COG0129	K22216	Q92RP0.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		ILVD_EDD	COG0129	ilvD1
Q1JUQ1.1	RecName: Full=L-arabonate dehydratase; AltName: Full=L-arabinonate dehydratase	Azospirillum brasilense	Reviewed_Outgroup	outgroup	outgroup	Q1JUQ1.1		PF00920	COG0129	K13875	Q1JUQ1.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		ILVD_EDD	COG0129	K13875
Q5KYA5.1	RecName: Full=Dihydroxy-acid dehydratase; Short=DAD	Geobacillus kaustophilus HTA426	Reviewed_Outgroup	outgroup	outgroup	Q5KYA5.1		PF00920	COG0129	K01687	Q5KYA5.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		ILVD_EDD	COG0129	ilvD
A4XHR9.1	RecName: Full=Dihydroxy-acid dehydratase; Short=DAD	Caldicellulosiruptor saccharolyticus DSM 8903	Reviewed_Outgroup	outgroup	outgroup	A4XHR9.1		PF00920	COG0129	K01687	A4XHR9.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacterales Family III. Incertae Sedis; g__Caldicellulosiruptor; s__		ILVD_EDD	COG0129	ilvD
aalm___LUX29_15825	dihydroxy-acid dehydratase	Aureimonas altamirensis	Curated_Outgroup			aalm___LUX29_15825		PF00920	COG0129		aalm___LUX29_15825	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Aurantimonadaceae; g__Aureimonas; s__		ILVD_EDD	COG0129	
abac___LuPra_02056	araC_1; L-arabonate dehydratase	Luteitalea pratensis	Curated_Outgroup	outgroup	outgroup	abac___LuPra_02056		PF00920	COG0129	K13875	abac___LuPra_02056	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__		ILVD_EDD	COG0129	K13875
abac___LuPra_06149	araC_2; L-arabonate dehydratase	Luteitalea pratensis	Curated_Outgroup			abac___LuPra_06149		PF00920	COG0129		abac___LuPra_06149	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__		ILVD_EDD	COG0129	
achr___C2U31_24475	dihydroxy-acid dehydratase	Achromobacter sp. AONIH1	Curated_Outgroup			achr___C2U31_24475		PF00920	COG0129		achr___C2U31_24475	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__		ILVD_EDD	COG0129	
acio___EAG14_02365	dihydroxy-acid dehydratase	Acidovorax sp. 1608163	Curated_Outgroup			acio___EAG14_02365		PF00920	COG0129		acio___EAG14_02365	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__		ILVD_EDD	COG0129	
acr___Acry_2210	dihydroxyacid dehydratase	Acidiphilium cryptum JF-5	Curated_Outgroup			acr___Acry_2210		PF00920	COG0129		acr___Acry_2210	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Acidiphilium; s__		ILVD_EDD	COG0129	
ahel___Q31a_19990	araC; L-arabonate dehydratase	Aureliella helgolandensis	Curated_Outgroup			ahel___Q31a_19990		PF00920	COG0129		ahel___Q31a_19990	d__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__Aureliella; s__		ILVD_EDD	COG0129	
