tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ADJ22510.1	protein of unknown function DUF224 cysteine-rich region domain protein [Hyphomicrobium denitrificans ATCC 51888]	Hyphomicrobium denitrificans ATCC 51888	Reviewed_Ingroup	sHdrB1	sHdrB1	ADJ22510.1		PF02754	COG2048	K03389	ADJ22510.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
ANN12589.1	HdrB1 [Aquifex aeolicus]	Aquifex aeolicus	Reviewed_Ingroup	sHdrB1	sHdrB1	ANN12589.1		PF02754	COG2048	K03389	ANN12589.1	d__Bacteria; p__Aquificota; c__Aquificia; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
O27907.1	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit B; AltName: Full=CoB--CoM heterodisulfide reductase subunit B	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27907.1		PF02754;PF02754	COG2048	K03389	O27907.1	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
P84623.2	RecName: Full=Heterodisulfide reductase subunit B-like protein	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84623.2		PF02754;PF02754	COG2048	K03389	P84623.2	d__Archaea; p__Methanobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q50755.1	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit B; AltName: Full=CoB--CoM heterodisulfide reductase subunit B	Methanothermobacter marburgensis str. Marburg	Reviewed_Outgroup	outgroup	outgroup	Q50755.1		PF02754;PF02754	COG2048	K03389	Q50755.1	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q58153.1	RecName: Full=CoB--CoM heterodisulfide reductase subunit B 1	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58153.1		PF02754;PF02754	COG2048	K03389	Q58153.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q58273.1	RecName: Full=CoB--CoM heterodisulfide reductase subunit B 2	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	Q58273.1		PF02754;PF02754	COG2048	K03389	Q58273.1	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8TXT8.1	RecName: Full=CoB--CoM heterodisulfide reductase subunit B	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	Q8TXT8.1		PF02754;PF02754	COG2048	K03389	Q8TXT8.1	d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		Cysteine-rich domain||Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
ADC71148.1	protein of unknown function DUF224 cysteine-rich region domain protein [Thioalkalivibrio sp. K90mix]	Thioalkalivibrio sp. K90mix	Reviewed_Ingroup	sHdrB1	sHdrB1	ADC71148.1		PF02754	COG2048	K03389	ADC71148.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
AEW04882.1	protein of unknown function DUF224 cysteine-rich region domain protein [Sulfobacillus acidophilus DSM 10332]	Sulfobacillus acidophilus DSM 10332	Reviewed_Ingroup	sHdrB1	sHdrB1	AEW04882.1		PF02754	COG2048	K03389	AEW04882.1	d__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Clostridiales Family XVII. Incertae Sedis; g__Sulfobacillus; s__		Cysteine-rich domain	Heterodisulfide reductase, subunit B	hdrB2; heterodisulfide reductase subunit B2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
ADG07157.1	protein of unknown function DUF224 cysteine-rich region domain protein [Kyrpidia tusciae DSM 2912]	Kyrpidia tusciae DSM 2912	Reviewed_Ingroup	sHdrB1	sHdrB1	ADG07157.1		PF02754	COG2048		ADG07157.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Kyrpidia; s__		Cysteine-rich domain	Heterodisulfide reductase, subunit B	
WP_006787552.1	heterodisulfide reductase-related iron-sulfur binding cluster [Thiorhodospira sibirica]	Thiorhodospira sibirica	Reviewed_Ingroup	sHdrB1	sHdrB1	WP_006787552.1		PF02754	COG2048		WP_006787552.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thiorhodospira; s__		Cysteine-rich domain	Heterodisulfide reductase, subunit B	
