tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_013214728.1	FAD-dependent oxidoreductase [Hyphomicrobium denitrificans]	Hyphomicrobium denitrificans	Reviewed_Ingroup	sHdrA	sHdrA	WP_013214728.1		PF07992	COG1148		WP_013214728.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
O66715	Heterodisulfide reductase subunit A	Aquifex aeolicus VF5	Reviewed_Ingroup	sHdrA	sHdrA	O66715		PF07992	COG1148		O66715	d__Bacteria; p__Aquificota; c__Aquificia; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
O27434.2	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanothermobacter thermautotrophicus str. Delta H	Reviewed_Outgroup	outgroup	outgroup	O27434.2		PF07992;PF00037;PF07992;PF13237	COG1148	K03388	O27434.2	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S binding domain||Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
P60200.2	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanocaldococcus jannaschii DSM 2661	Reviewed_Outgroup	outgroup	outgroup	P60200.2		PF07992;PF13187;PF12838	COG1148	K03388	P60200.2	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanocaldococcaceae; g__Methanocaldococcus; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S dicluster domain||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
P84626.2	RecName: Full=Heterodisulfide reductase subunit A-like protein	Archaeoglobus profundus DSM 5631	Reviewed_Outgroup	outgroup	outgroup	P84626.2		PF07992;PF12838;PF12838	COG1148	K03388	P84626.2	d__Archaea; p__Methanobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S dicluster domain||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
P96801.1	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A 2	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	P96801.1		PF12831;PF13187;PF07992;PF12838	COG1148	K03388	P96801.1	d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		FAD dependent oxidoreductase||4Fe-4S dicluster domain||Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q50756.3	RecName: Full=H(2):CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanothermobacter marburgensis str. Marburg	Reviewed_Outgroup	outgroup	outgroup	Q50756.3		PF07992;PF00037;PF13237	COG1148	K03388	Q50756.3	d__Archaea; p__Methanobacteriota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanothermobacter; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S binding domain||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q6LWL2.2	RecName: Full=H(2)/formate:CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A	Methanococcus maripaludis S2	Reviewed_Outgroup	outgroup	outgroup	Q6LWL2.2		PF07992;PF00037;PF12838	COG1148	K03388	Q6LWL2.2	d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales; f__Methanococcaceae; g__Methanococcus; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S binding domain||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8Q0T0.1	RecName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit A	Methanosarcina mazei Go1	Reviewed_Outgroup	outgroup	outgroup	Q8Q0T0.1		PF07992;PF00037;PF13187;PF02662	COG1148	K03388	Q8Q0T0.1	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S binding domain||4Fe-4S dicluster domain||Methyl-viologen-reducing hydrogenase, delta subunit	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8TM02.1	RecName: Full=Ferredoxin/F(420)H(2)-dependent CoB-CoM heterodisulfide reductase subunit A; AltName: Full=Coenzyme F420:CoB-CoM heterodisulfide,ferredoxin reductase subunit A; AltName: Full=Ferredoxin:CoB-CoM heterodisulfide reductase subunit A	Methanosarcina acetivorans C2A	Reviewed_Outgroup	outgroup	outgroup	Q8TM02.1		PF07992;PF00037;PF13187;PF02662	COG1148	K03388	Q8TM02.1	d__Archaea; p__Methanobacteriota; c__Methanomicrobia; o__Methanosarcinales; f__Methanosarcinaceae; g__Methanosarcina; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S binding domain||4Fe-4S dicluster domain||Methyl-viologen-reducing hydrogenase, delta subunit	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
Q8TYP4.3	RecName: Full=CoB--CoM heterodisulfide reductase iron-sulfur subunit A 1	Methanopyrus kandleri AV19	Reviewed_Outgroup	outgroup	outgroup	Q8TYP4.3		PF07992;PF13187;PF12838	COG1148	K03388	Q8TYP4.3	d__Archaea; p__Methanobacteriota; c__Methanopyri; o__Methanopyrales; f__Methanopyraceae; g__Methanopyrus; s__		Pyridine nucleotide-disulphide oxidoreductase||4Fe-4S dicluster domain||4Fe-4S dicluster domain	Heterodisulfide reductase, subunit A (polyferredoxin)	hdrA2; heterodisulfide reductase subunit A2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
ADC71149.1	FAD-dependent pyridine nucleotide-disulphide oxidoreductase [Thioalkalivibrio sp. K90mix]	Thioalkalivibrio sp. K90mix	Reviewed_Ingroup	sHdrA	sHdrA	ADC71149.1		PF07992	COG1148		ADC71149.1	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
AEW04883.1	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Sulfobacillus acidophilus DSM 10332]	Sulfobacillus acidophilus DSM 10332	Reviewed_Ingroup	sHdrA	sHdrA	AEW04883.1		PF07992	COG1148		AEW04883.1	d__Bacteria; p__Bacillota; c__Clostridia; o__Eubacteriales; f__Clostridiales Family XVII. Incertae Sedis; g__Sulfobacillus; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
ADG07156.1	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Kyrpidia tusciae DSM 2912]	Kyrpidia tusciae DSM 2912	Reviewed_Ingroup	sHdrA	sHdrA	ADG07156.1		PF07992	COG1148		ADG07156.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Kyrpidia; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
hdn___Hden_0691	fumarate reductase/succinate dehydrogenase flavoprotein domain protein	Hyphomicrobium denitrificans ATCC 51888	Curated_Ingroup	sHdrA	sHdrA	hdn___Hden_0691		PF07992	COG1148		hdn___Hden_0691	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
qso___IRL76_11085	CoB--CoM heterodisulfide reductase iron-sulfur subunit A family protein	Qipengyuania soli	Curated_Ingroup	sHdrA	sHdrA	qso___IRL76_11085		PF12831;PF07992	COG1148		qso___IRL76_11085	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Qipengyuania; s__		FAD dependent oxidoreductase||Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
rhc___RGUI_1281	CoB--CoM heterodisulfide reductase subunit A	Rhodovulum sp. P5	Curated_Ingroup	sHdrA	sHdrA	rhc___RGUI_1281		PF07992	COG1148		rhc___RGUI_1281	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Paracoccaceae; g__Rhodovulum; s__		Pyridine nucleotide-disulphide oxidoreductase	Heterodisulfide reductase, subunit A (polyferredoxin)	
