tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_123051132.1	dimethylsulfonioproprionate lyase family protein [Alcaligenes faecalis]	Alcaligenes faecalis	Reviewed_Ingroup	dddY	dddY	WP_123051132.1		PF16867			WP_123051132.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__		DMSP_lyase		
PYE57415.1	dimethylsulfoniopropionate lyase DddY [Shewanella chilikensis]	Shewanella chilikensis	Reviewed_Ingroup	dddY	dddY	PYE57415.1					PYE57415.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
ENV21217.1	hypothetical protein F963_02809 [Acinetobacter bereziniae NIPH 3]	Acinetobacter bereziniae NIPH 3	Reviewed_Ingroup	dddY	dddY	ENV21217.1		PF16867			ENV21217.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		DMSP_lyase		
MBO64598.1	hypothetical protein	Euryarchaeota archaeon	Reviewed_Outgroup	outgroup	outgroup	MBO64598.1					MBO64598.1	d__Archaea; p__Euryarchaeota; c__; o__; f__; g__; s__				
RPF82304.1	MAG: hypothetical protein CBB80_007565 [Synechococcus sp. TMED20]	Synechococcus sp. TMED20	Reviewed_Outgroup	outgroup	outgroup	RPF82304.1					RPF82304.1	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__				
salg___BS332_08740	hypothetical protein	Shewanella algae	Curated_Ingroup	dddY	dddY	salg___BS332_08740					salg___BS332_08740	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
scaa___TUM17387_36480	hypothetical protein	Shewanella carassii	Curated_Ingroup	dddY	dddY	scaa___TUM17387_36480					scaa___TUM17387_36480	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
sbl___Sbal_0256	conserved hypothetical protein	Shewanella baltica OS155	Curated_Ingroup	dddY	dddY	sbl___Sbal_0256					sbl___Sbal_0256	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
spc___Sputcn32_3534	conserved hypothetical protein	Shewanella putrefaciens CN-32	Curated_Ingroup	dddY	dddY	spc___Sputcn32_3534					spc___Sputcn32_3534	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
smav___CFF01_17675	hypothetical protein	Shewanella marisflavi	Curated_Ingroup	dddY	dddY	smav___CFF01_17675					smav___CFF01_17675	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
she___Shewmr4_2151	hypothetical protein	Shewanella sp. MR-4	Curated_Ingroup	dddY	dddY	she___Shewmr4_2151					she___Shewmr4_2151	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
shm___Shewmr7_2228	hypothetical protein	Shewanella sp. MR-7	Curated_Ingroup	dddY	dddY	shm___Shewmr7_2228					shm___Shewmr7_2228	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
seur___FM038_001460	hypothetical protein	Shewanella eurypsychrophilus	Curated_Ingroup	dddY	dddY	seur___FM038_001460					seur___FM038_001460	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
sfr___Sfri_3895	hypothetical protein	Shewanella frigidimarina NCIMB 400	Curated_Ingroup	dddY	dddY	sfr___Sfri_3895					sfr___Sfri_3895	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
slj___EGC82_00205	hypothetical protein	Shewanella livingstonensis	Curated_Ingroup	dddY	dddY	slj___EGC82_00205					slj___EGC82_00205	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
svm___KDH10_003219	hypothetical protein	Shewanella vesiculosa	Curated_Ingroup	dddY	dddY	svm___KDH10_003219					svm___KDH10_003219	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
sinv___K8B83_01155	hypothetical protein	Shewanella inventionis	Curated_Ingroup	dddY	dddY	sinv___K8B83_01155					sinv___K8B83_01155	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
shl___Shal_0333	conserved hypothetical protein	Shewanella halifaxensis HAW-EB4	Curated_Ingroup	dddY	dddY	shl___Shal_0333					shl___Shal_0333	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
spl___Spea_3937	conserved hypothetical protein	Shewanella pealeana ATCC 700345	Curated_Ingroup	dddY	dddY	spl___Spea_3937					spl___Spea_3937	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
swp___swp_0222	Conserved hypothetical protein	Shewanella piezotolerans WP3	Curated_Ingroup	dddY	dddY	swp___swp_0222					swp___swp_0222	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
swd___Swoo_0277	conserved hypothetical protein	Shewanella woodyi ATCC 51908	Curated_Ingroup	dddY	dddY	swd___Swoo_0277					swd___Swoo_0277	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__				
ant___Arnit_0113	conserved hypothetical protein	Arcobacter nitrofigilis DSM 7299	Curated_Ingroup	dddY	dddY	ant___Arnit_0113					ant___Arnit_0113	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Arcobacter; s__				
ant___Arnit_2767	conserved hypothetical protein	Arcobacter nitrofigilis DSM 7299	Curated_Ingroup	dddY	dddY	ant___Arnit_2767					ant___Arnit_2767	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae; g__Arcobacter; s__				
fbl___Fbal_0538	conserved hypothetical protein	Ferrimonas balearica DSM 9799	Curated_Ingroup	dddY	dddY	fbl___Fbal_0538					fbl___Fbal_0538	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Ferrimonadaceae; g__Ferrimonas; s__				
synk___KR100_12780	hypothetical protein	Synechococcus sp. KORDI-100	Curated_Outgroup	outgroup	outgroup	synk___KR100_12780					synk___KR100_12780	d__Bacteria; p__Cyanobacteria; c__; o__Synechococcales; f__Synechococcaceae; g__Synechococcus; s__				
asei___I8T81_15365	hypothetical protein	Acinetobacter seifertii	Curated_Ingroup	dddY	dddY	asei___I8T81_15365		PF16867			asei___I8T81_15365	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		DMSP_lyase		
vam___C4F17_26125	hypothetical protein	Variovorax sp. PMC12	Curated_Ingroup	dddY	dddY	vam___C4F17_26125		PF16867			vam___C4F17_26125	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Variovorax; s__		DMSP_lyase		
salm___D0Y50_18940	hypothetical protein	Salinimonas sediminis	Curated_Ingroup	dddY	dddY	salm___D0Y50_18940		PF16867			salm___D0Y50_18940	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Salinimonas; s__		DMSP_lyase		
