tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
EJF39089.1	sugar-phosphate isomerase, RpiB/LacA/LacB family [Clostridium sp. MSTE9]	Clostridium sp. MSTE9	Reviewed_Ingroup	sqwI	sqwI	EJF39089.1		PF02502	COG0698		EJF39089.1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae; g__Clostridium; s__		LacAB_rpiB	COG0698	
Q92EU5.1	RecName: Full=Ribose-5-P isomerase B; AltName: Full=RpiB-type ribose-5-P isomerase	Listeria innocua Clip11262	Reviewed_Outgroup	outgroup	outgroup	Q92EU5.1		PF02502	COG0698	K01808	Q92EU5.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Listeriaceae; g__Listeria; s__		LacAB_rpiB	COG0698	rpiB
P39156.1	RecName: Full=Putative sugar phosphate isomerase YwlF	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P39156.1		PF02502	COG0698	K01808	P39156.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		LacAB_rpiB	COG0698	rpiB
P37351.2	RecName: Full=Ribose-5-phosphate isomerase B; AltName: Full=Phosphoriboisomerase B	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P37351.2		PF02502	COG0698	K01808	P37351.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		LacAB_rpiB	COG0698	rpiB
aaco___K1I37_00495	rpiB; ribose 5-phosphate isomerase B	Alicyclobacillus acidoterrestris	Curated_Outgroup	outgroup	outgroup	aaco___K1I37_00495		PF02502	COG0698	K01808	aaco___K1I37_00495	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__		LacAB_rpiB	COG0698	rpiB
aae___aq_1138	rpiB; ribose 5-phosphate isomerase B	Aquifex aeolicus VF5	Curated_Outgroup	outgroup	outgroup	aae___aq_1138		PF02502	COG0698	K01808	aae___aq_1138	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		LacAB_rpiB	COG0698	rpiB
aala___IGS74_12820	rpiB; ribose 5-phosphate isomerase B	Aureimonas sp. OT7	Curated_Outgroup	outgroup	outgroup	aala___IGS74_12820		PF02502	COG0698	K01808	aala___IGS74_12820	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Aurantimonadaceae; g__Aureimonas; s__		LacAB_rpiB	COG0698	rpiB
aar___Acear_2231	ribose-5-phosphate isomerase	Acetohalobium arabaticum DSM 5501	Curated_Outgroup	outgroup	outgroup	aar___Acear_2231		PF02502	COG0698	K01808	aar___Acear_2231	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__Halobacteroidaceae; g__Acetohalobium; s__		LacAB_rpiB	COG0698	rpiB
abac___LuPra_05863	ywlF; Putative sugar phosphate isomerase YwlF	Luteitalea pratensis	Curated_Outgroup	outgroup	outgroup	abac___LuPra_05863		PF02502	COG0698	K01808	abac___LuPra_05863	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__		LacAB_rpiB	COG0698	rpiB
abas___ACPOL_5343	Ribose 5-phosphate isomerase B	Acidisarcina polymorpha	Curated_Outgroup	outgroup	outgroup	abas___ACPOL_5343		PF02502	COG0698	K01808	abas___ACPOL_5343	d__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Acidisarcina; s__		LacAB_rpiB	COG0698	rpiB
abaw___D5400_18420	rpiB; ribose 5-phosphate isomerase B	Georhizobium profundi	Curated_Outgroup	outgroup	outgroup	abaw___D5400_18420		PF02502	COG0698	K01808	abaw___D5400_18420	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Georhizobium; s__		LacAB_rpiB	COG0698	rpiB
aco___Amico_0882	uracil phosphoribosyltransferase	Aminobacterium colombiense DSM 12261	Curated_Outgroup	outgroup	outgroup	aco___Amico_0882		PF02502;PF14681	COG0035	K01808;K00761	aco___Amico_0882	d__Bacteria; p__Synergistetes; c__Synergistia; o__Synergistales; f__Synergistaceae; g__Aminobacterium; s__		LacAB_rpiB;UPRTase	COG0035	rpiB;upp
