tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_012970472.1	NAD(P)-binding protein [Allochromatium vinosum]	Allochromatium vinosum	Reviewed_Ingroup	dsrL	dsrL	WP_012970472.1		PF14691;PF07992;PF13187	COG0493		WP_012970472.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Fer4_20;Pyr_redox_2;Fer4_9	COG0493	
Q8KAB6	Iron-sulfur cluster-binding protein, gltD family	Chlorobaculum tepidum TLS	Reviewed_Ingroup	dsrL	dsrL	Q8KAB6		PF14691;PF07992;PF13187	COG0493		Q8KAB6	d__Bacteria; p__Chlorobiota; c__Chlorobiia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__		Fer4_20;Pyr_redox_2;Fer4_9	COG0493	
OSS41879.1	Pyridine nucleotide-disulfide oxidoreductase family protein [Desulfurella amilsii]	Desulfurella amilsii	Reviewed_Ingroup	dsrL	dsrL	OSS41879.1		PF14691;PF07992	COG0493		OSS41879.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfurellales; f__Desulfurellaceae; g__Desulfurella; s__		Fer4_20;Pyr_redox_2	COG0493	
P9WN18.1	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain	Mycobacterium tuberculosis CDC1551	Reviewed_Outgroup	outgroup	outgroup	P9WN18.1		PF14691;PF07992	COG0493	K00266	P9WN18.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycobacterium; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q74FU5.1	RecName: Full=NADPH-Fe(3+) oxidoreductase subunit beta; AltName: Full=Soluble Fe(3+) reductase beta subunit	Geobacter sulfurreducens PCA	Reviewed_Outgroup			Q74FU5.1		PF10589;PF14691;PF07992	COG0493	K15022	Q74FU5.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__Geobacter; s__		NADH_4Fe-4S;Fer4_20;Pyr_redox_2	COG0493	fdhB
Q8U195.1	RecName: Full=Sulfide dehydrogenase subunit alpha; Short=SuDH; AltName: Full=Ferredoxin:NADP oxidoreductase; Short=FNOR; Flags: Precursor	Pyrococcus furiosus DSM 3638	Reviewed_Outgroup			Q8U195.1		PF14691;PF07992	COG0493	K20202;K00266	Q8U195.1	d__Archaea; p__Euryarchaeota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Pyrococcus; s__		Fer4_20;Pyr_redox_2	COG0493	sudA;gltD
Q0DG35.2	RecName: Full=Glutamate synthase 2 [NADH], chloroplastic; AltName: Full=NADH-dependent glutamate synthase 2; Short=NADH-GOGAT 2; Flags: Precursor	Oryza sativa Japonica Group	Reviewed_Outgroup	outgroup	outgroup	Q0DG35.2		PF00310;PF04898;PF01645;PF01493;PF14691;PF07992	COG0069	K00265;K00264;K00266	Q0DG35.2	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Poales; f__Poaceae; g__Oryza; s__		GATase_2;Glu_syn_central;Glu_synthase;GXGXG;Fer4_20;Pyr_redox_2	COG0069	gltB;GLT1;gltD
P09832.3	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P09832.3		PF14691;PF07992	COG0493	K00266	P09832.3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q9C102.1	RecName: Full=Glutamate synthase [NADH]; AltName: Full=Glutamine-oxoglutarate aminotransferase; Short=GOGAT	Schizosaccharomyces pombe 972h-	Reviewed_Outgroup	outgroup	outgroup	Q9C102.1		PF00310;PF04898;PF01645;PF01493;PF14691;PF07992	COG0069	K00264;K00265;K00266	Q9C102.1	d__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__		GATase_2;Glu_syn_central;Glu_synthase;GXGXG;Fer4_20;Pyr_redox_2	COG0069	GLT1;gltB;gltD
Q9LV03.2	RecName: Full=Glutamate synthase 1 [NADH], chloroplastic; AltName: Full=NADH-dependent glutamate synthase 1; Short=NADH-GOGAT 1; Flags: Precursor	Arabidopsis thaliana	Reviewed_Outgroup	outgroup	outgroup	Q9LV03.2		PF00310;PF04898;PF01645;PF01493;PF14691;PF07992	COG0069	K00265;K00264;K00266	Q9LV03.2	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		GATase_2;Glu_syn_central;Glu_synthase;GXGXG;Fer4_20;Pyr_redox_2	COG0069	gltB;GLT1;gltD
Q8ZNL8.1	RecName: Full=NAD-dependent dihydropyrimidine dehydrogenase subunit PreT; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Reviewed_Outgroup	outgroup	outgroup	Q8ZNL8.1		PF14691;PF07992	COG0493	K17722	Q8ZNL8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Fer4_20;Pyr_redox_2	COG0493	preT
P37127.2	RecName: Full=Putative oxidoreductase AegA; AltName: Full=Anaerobically expressed gene A	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P37127.2		PF13247;PF14691;PF07992	COG0493	K00266	P37127.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_11;Fer4_20;Pyr_redox_2	COG0493	gltD
Q05756.3	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT	Azospirillum brasilense	Reviewed_Outgroup	outgroup	outgroup	Q05756.3		PF14691;PF07992	COG0493	K00266	Q05756.3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Azospirillaceae; g__Azospirillum; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
O34399.2	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=NADPH-GOGAT	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O34399.2		PF14691;PF07992	COG0493	K00266	O34399.2	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q12680.2	RecName: Full=Glutamate synthase [NADH]; AltName: Full=NADH-GOGAT; Flags: Precursor	Saccharomyces cerevisiae S288C	Reviewed_Outgroup	outgroup	outgroup	Q12680.2		PF00310;PF04898;PF01645;PF01493;PF14691;PF07992	COG0069	K00265;K00264;K00266	Q12680.2	d__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Saccharomyces; s__		GATase_2;Glu_syn_central;Glu_synthase;GXGXG;Fer4_20;Pyr_redox_2	COG0069	gltB;GLT1;gltD
E1V8I0.1	RecName: Full=Glutamate synthase [NADPH] small chain; AltName: Full=GOGAT; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain	Halomonas elongata DSM 2581	Reviewed_Outgroup	outgroup	outgroup	E1V8I0.1		PF14691;PF07992	COG0493	K00266	E1V8I0.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q46820.2	RecName: Full=Putative oxidoreductase UacF; AltName: Full=Uric acid degradation formate-related element	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	Q46820.2		PF13247;PF14691;PF07992	COG0493	K00266	Q46820.2	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_11;Fer4_20;Pyr_redox_2	COG0493	gltD
O08340.1	RecName: Full=Putative glutamate synthase [NADPH] small chain; AltName: Full=Glutamate synthase subunit beta; Short=GLTS beta chain; AltName: Full=NADPH-GOGAT	Cereibacter sphaeroides	Reviewed_Outgroup	outgroup	outgroup	O08340.1		PF14691;PF07992	COG0493	K00266	O08340.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
Q8XD75.1	RecName: Full=Putative oxidoreductase YgfK	Escherichia coli O157:H7	Reviewed_Outgroup			Q8XD75.1		PF14691;PF07992	COG0493	K12527	Q8XD75.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Fer4_20;Pyr_redox_2	COG0493	ygfK
O89000.1	RecName: Full=Dihydropyrimidine dehydrogenase [NADP(+)]; Short=DHPDHase; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Rattus norvegicus	Reviewed_Outgroup	outgroup	outgroup	O89000.1		PF14691;PF07992;PF01180;PF14697	COG0493	K00207	O89000.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Rodentia; f__Muridae; g__Rattus; s__		Fer4_20;Pyr_redox_2;DHO_dh;Fer4_21	COG0493	DPYD
Q55FT1.1	RecName: Full=Dihydropyrimidine dehydrogenase [NADP(+)]; Short=DHPDHase; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Dictyostelium discoideum	Reviewed_Outgroup	outgroup	outgroup	Q55FT1.1		PF14691;PF07992;PF01180;PF14697	COG0493	K00207	Q55FT1.1	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Dictyosteliales; f__Dictyosteliaceae; g__Dictyostelium; s__		Fer4_20;Pyr_redox_2;DHO_dh;Fer4_21	COG0493	DPYD
Q18164.2	RecName: Full=Dihydropyrimidine dehydrogenase [NADP(+)]; Short=DHPDHase; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Caenorhabditis elegans	Reviewed_Outgroup	outgroup	outgroup	Q18164.2		PF14691;PF07992;PF01180;PF14697	COG0493	K00207	Q18164.2	d__Eukaryota; p__Nematoda; c__Chromadorea; o__Rhabditida; f__Rhabditidae; g__Caenorhabditis; s__		Fer4_20;Pyr_redox_2;DHO_dh;Fer4_21	COG0493	DPYD
Q6NYG8.1	RecName: Full=Dihydropyrimidine dehydrogenase [NADP(+)]; Short=DHPDHase; Short=DPD; AltName: Full=Dihydrothymine dehydrogenase; AltName: Full=Dihydrouracil dehydrogenase	Danio rerio	Reviewed_Outgroup	outgroup	outgroup	Q6NYG8.1		PF14691;PF07992;PF01180;PF14697	COG0167	K00207	Q6NYG8.1	d__Eukaryota; p__Chordata; c__Actinopteri; o__Cypriniformes; f__Danionidae; g__Danio; s__		Fer4_20;Pyr_redox_2;DHO_dh;Fer4_21	COG0167	DPYD
aaci___ASQ49_02230	glutamate synthase	Acidipropionibacterium acidipropionici	Curated_Outgroup			aaci___ASQ49_02230		PF14691;PF07992;PF00037	COG0493		aaci___ASQ49_02230	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae; g__Acidipropionibacterium; s__		Fer4_20;Pyr_redox_2;Fer4	COG0493	
aacx___DEACI_0908	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	Acididesulfobacillus acetoxydans	Curated_Outgroup			aacx___DEACI_0908		PF07992;PF00037;PF14691;PF07992;PF12838	COG1148		aacx___DEACI_0908	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		Pyr_redox_2;Fer4;Fer4_20;Pyr_redox_2;Fer4_7	COG1148	
aacx___DEACI_1758	Adrenodoxin reductase family signature	Acididesulfobacillus acetoxydans	Curated_Outgroup			aacx___DEACI_1758		PF13510;PF12838;PF14691;PF07992	COG0493		aacx___DEACI_1758	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		Fer2_4;Fer4_7;Fer4_20;Pyr_redox_2	COG0493	
aacx___DEACI_4127	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	Acididesulfobacillus acetoxydans	Curated_Outgroup			aacx___DEACI_4127		PF07992;PF00037;PF14691;PF07992;PF07992;PF07992;PF13187	COG1148		aacx___DEACI_4127	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptococcaceae; g__Acididesulfobacillus; s__		Pyr_redox_2;Fer4;Fer4_20;Pyr_redox_2;Pyr_redox_2;Pyr_redox_2;Fer4_9	COG1148	
abac___LuPra_04110	gltD; Glutamate synthase [NADPH] small chain	Luteitalea pratensis	Curated_Outgroup			abac___LuPra_04110		PF14691;PF07992	COG0493		abac___LuPra_04110	d__Bacteria; p__Acidobacteria; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea; s__		Fer4_20;Pyr_redox_2	COG0493	
abg___Asbog_02374	oxidoreductase/glutamate synthase	Asaia bogorensis NBRC 16594	Curated_Outgroup			abg___Asbog_02374		PF14691;PF07992	COG0493		abg___Asbog_02374	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Asaia; s__		Fer4_20;Pyr_redox_2	COG0493	
abi___Aboo_0977	FAD-dependent pyridine nucleotide-disulfide oxidoreductase	Aciduliprofundum boonei T469	Curated_Outgroup			abi___Aboo_0977		PF07992;PF00037;PF14691;PF07992;PF12838	COG1148		abi___Aboo_0977	d__Archaea; p__Candidatus Thermoplasmatota; c__; o__; f__; g__Aciduliprofundum; s__		Pyr_redox_2;Fer4;Fer4_20;Pyr_redox_2;Fer4_7	COG1148	
abut___Ami103574_11145	FAD-dependent oxidoreductase	Aminipila butyrica	Curated_Outgroup			abut___Ami103574_11145		PF13510;PF14691;PF07992;PF00037;PF04879;PF00384	COG0493		abut___Ami103574_11145	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Eubacteriales Family XIII. Incertae Sedis; g__Aminipila; s__		Fer2_4;Fer4_20;Pyr_redox_2;Fer4;Molybdop_Fe4S4;Molybdopterin	COG0493	
acae___HYG86_05580	FAD-dependent oxidoreductase	Alkalicella caledoniensis	Curated_Outgroup			acae___HYG86_05580		PF00037;PF14691;PF07992;PF00037	COG0493		acae___HYG86_05580	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Proteinivoraceae; g__Alkalicella; s__		Fer4;Fer4_20;Pyr_redox_2;Fer4	COG0493	
ace___Acel_0703	4Fe-4S ferredoxin, iron-sulfur binding domain protein	Acidothermus cellulolyticus 11B	Curated_Outgroup			ace___Acel_0703		PF14691;PF07992;PF00037	COG0493		ace___Acel_0703	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Acidothermales; f__Acidothermaceae; g__Acidothermus; s__		Fer4_20;Pyr_redox_2;Fer4	COG0493	
acel___acsn021_18830	aspB_1; oxidoreductase	Anaerocolumna cellulosilytica	Curated_Outgroup			acel___acsn021_18830		PF14691;PF07992	COG0493	K00266	acel___acsn021_18830	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
acii___C4901_06805	glutamate synthase	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	dsrL	dsrL	acii___C4901_06805		PF14691;PF07992;PF00037	COG0493		acii___C4901_06805	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		Fer4_20;Pyr_redox_2;Fer4	COG0493	
actr___Asp14428_08440	glutamate synthase	Actinoplanes sp. NBRC 14428	Curated_Outgroup			actr___Asp14428_08440		PF14691;PF07992;PF00037	COG0493		actr___Asp14428_08440	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micromonosporales; f__Micromonosporaceae; g__Actinoplanes; s__		Fer4_20;Pyr_redox_2;Fer4	COG0493	
actw___F7P10_37330	glutamate synthase subunit beta	Actinomadura sp. WMMB 499	Curated_Outgroup	outgroup	outgroup	actw___F7P10_37330		PF14691;PF07992	COG0493	K00266	actw___F7P10_37330	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptosporangiales; f__Thermomonosporaceae; g__Actinomadura; s__		Fer4_20;Pyr_redox_2	COG0493	gltD
actz___CWT12_04940	glutamate synthase	Actinomyces sp. 432	Curated_Outgroup			actz___CWT12_04940		PF14691;PF07992;PF00037	COG0493		actz___CWT12_04940	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__		Fer4_20;Pyr_redox_2;Fer4	COG0493	
aeh___Mlg_1661	4Fe-4S ferredoxin, iron-sulfur binding domain protein	Alkalilimnicola ehrlichii MLHE-1	Curated_Ingroup	dsrL	dsrL	aeh___Mlg_1661		PF14691;PF07992;PF13187	COG0493		aeh___Mlg_1661	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Alkalilimnicola; s__		Fer4_20;Pyr_redox_2;Fer4_9	COG0493	
aes___C2U30_06545	glutamate synthase	Aeromonas sp. ASNIH5	Curated_Outgroup			aes___C2U30_06545		PF14691;PF07992;PF00037	COG0493		aes___C2U30_06545	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Aeromonadales; f__Aeromonadaceae; g__Aeromonas; s__		Fer4_20;Pyr_redox_2;Fer4	COG0493	
afn___Acfer_1954	FAD-dependent pyridine nucleotide-disulphide oxidoreductase	Acidaminococcus fermentans DSM 20731	Curated_Outgroup			afn___Acfer_1954		PF10589;PF14691;PF07992	COG0493		afn___Acfer_1954	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Acidaminococcales; f__Acidaminococcaceae; g__Acidaminococcus; s__		NADH_4Fe-4S;Fer4_20;Pyr_redox_2	COG0493	
aft___BBF96_01315	pyridine nucleotide-disulfide oxidoreductase	Anoxybacter fermentans	Curated_Outgroup			aft___BBF96_01315		PF14691;PF07992;PF14691;PF02754;PF02754	COG0493		aft___BBF96_01315	d__Bacteria; p__Firmicutes; c__Clostridia; o__Halanaerobiales; f__; g__Anoxybacter; s__		Fer4_20;Pyr_redox_2;Fer4_20;CCG;CCG	COG0493	
