tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0DOV8.1	RecName: Full=2-dehydro-3,6-dideoxy-6-sulfogluconate aldolase; AltName: Full=2-keto-3,6-dideoxy-6-sulfogluconate aldolase; Short=KDSG aldolase	Pseudomonas putida	Reviewed_Ingroup	sgald	sgald	P0DOV8.1		PF03328	COG3836	K02510	P0DOV8.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		HpcH_HpaI	COG3836	hpaI
A9MPQ4.1	RecName: Full=5-keto-4-deoxy-D-glucarate aldolase; Short=KDGluc aldolase; Short=KDGlucA; AltName: Full=2-dehydro-3-deoxy-D-glucarate aldolase; AltName: Full=2-keto-3-deoxy-D-glucarate aldolase; AltName: Full=5-dehydro-4-deoxy-D-glucarate aldolase; AltName: Full=Alpha-keto-beta-deoxy-D-glucarate aldolase	Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	Reviewed_Outgroup	outgroup	outgroup	A9MPQ4.1		PF03328	COG3836	K01630;K02510	A9MPQ4.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		HpcH_HpaI	COG3836	garL;hpaI
A8AQ14.1	RecName: Full=5-keto-4-deoxy-D-glucarate aldolase; Short=KDGluc aldolase; Short=KDGlucA; AltName: Full=2-dehydro-3-deoxy-D-glucarate aldolase; AltName: Full=2-keto-3-deoxy-D-glucarate aldolase; AltName: Full=5-dehydro-4-deoxy-D-glucarate aldolase; AltName: Full=Alpha-keto-beta-deoxy-D-glucarate aldolase	Citrobacter koseri ATCC BAA-895	Reviewed_Outgroup	outgroup	outgroup	A8AQ14.1		PF03328	COG3836	K02510;K01630	A8AQ14.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Citrobacter; s__		HpcH_HpaI	COG3836	hpaI;garL
A4WEU6.1	RecName: Full=5-keto-4-deoxy-D-glucarate aldolase; Short=KDGluc aldolase; Short=KDGlucA; AltName: Full=2-dehydro-3-deoxy-D-glucarate aldolase; AltName: Full=2-keto-3-deoxy-D-glucarate aldolase; AltName: Full=5-dehydro-4-deoxy-D-glucarate aldolase; AltName: Full=Alpha-keto-beta-deoxy-D-glucarate aldolase	Enterobacter sp. 638	Reviewed_Outgroup	outgroup	outgroup	A4WEU6.1		PF03328	COG3836	K01630;K02510	A4WEU6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__		HpcH_HpaI	COG3836	garL;hpaI
A6TEE9.1	RecName: Full=5-keto-4-deoxy-D-glucarate aldolase; Short=KDGluc aldolase; Short=KDGlucA; AltName: Full=2-dehydro-3-deoxy-D-glucarate aldolase; AltName: Full=2-keto-3-deoxy-D-glucarate aldolase; AltName: Full=5-dehydro-4-deoxy-D-glucarate aldolase; AltName: Full=Alpha-keto-beta-deoxy-D-glucarate aldolase	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Reviewed_Outgroup	outgroup	outgroup	A6TEE9.1		PF03328	COG3836	K01630;K02510	A6TEE9.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__		HpcH_HpaI	COG3836	garL;hpaI
B5FR34.1	RecName: Full=4-hydroxy-2-oxo-heptane-1,7-dioate aldolase; AltName: Full=2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase; Short=HHED aldolase; AltName: Full=4-hydroxy-2-ketoheptane-1,7-dioate aldolase; Short=HKHD aldolase	Salmonella enterica subsp. enterica serovar Dublin str. CT_02021853	Reviewed_Outgroup	outgroup	outgroup	B5FR34.1		PF03328	COG3836	K02510	B5FR34.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		HpcH_HpaI	COG3836	hpaI
B2U092.1	RecName: Full=5-keto-4-deoxy-D-glucarate aldolase; Short=KDGluc aldolase; Short=KDGlucA; AltName: Full=2-dehydro-3-deoxy-D-glucarate aldolase; AltName: Full=2-keto-3-deoxy-D-glucarate aldolase; AltName: Full=5-dehydro-4-deoxy-D-glucarate aldolase; AltName: Full=Alpha-keto-beta-deoxy-D-glucarate aldolase	Shigella boydii CDC 3083-94	Reviewed_Outgroup	outgroup	outgroup	B2U092.1		PF03328	COG3836	K01630;K02510	B2U092.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__		HpcH_HpaI	COG3836	garL;hpaI
B7LMV6.1	RecName: Full=5-keto-4-deoxy-D-glucarate aldolase; Short=KDGluc aldolase; Short=KDGlucA; AltName: Full=2-dehydro-3-deoxy-D-glucarate aldolase; AltName: Full=2-keto-3-deoxy-D-glucarate aldolase; AltName: Full=5-dehydro-4-deoxy-D-glucarate aldolase; AltName: Full=Alpha-keto-beta-deoxy-D-glucarate aldolase	Escherichia fergusonii ATCC 35469	Reviewed_Outgroup	outgroup	outgroup	B7LMV6.1		PF03328	COG3836	K01630;K02510	B7LMV6.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		HpcH_HpaI	COG3836	garL;hpaI
Q3YU43.1	RecName: Full=4-hydroxy-2-oxo-heptane-1,7-dioate aldolase; AltName: Full=2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase; Short=HHED aldolase; AltName: Full=4-hydroxy-2-ketoheptane-1,7-dioate aldolase; Short=HKHD aldolase	Shigella sonnei Ss046	Reviewed_Outgroup	outgroup	outgroup	Q3YU43.1		PF03328	COG3836	K02510	Q3YU43.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Shigella; s__		HpcH_HpaI	COG3836	hpaI
abou___ACBO_11700	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	Acinetobacter bouvetii	Curated_Outgroup	outgroup	outgroup	abou___ACBO_11700		PF03328	COG3836	K02510	abou___ACBO_11700	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Moraxellales; f__Moraxellaceae; g__Acinetobacter; s__		HpcH_HpaI	COG3836	hpaI
aka___TKWG_00830	2-dehydro-3-deoxyglucarate aldolase	Advenella kashmirensis WT001	Curated_Ingroup	sgald	sgald	aka___TKWG_00830		PF03328	COG3836	K02510	aka___TKWG_00830	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Advenella; s__		HpcH_HpaI	COG3836	hpaI
