tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
E9JFX9.1	RecName: Full=Dimethyl-sulfide monooxygenase; AltName: Full=Dimethylsulfide monooxygenase large subunit	Hyphomicrobium sulfonivorans	Reviewed_Ingroup	dmoA	dmoA	E9JFX9.1		PF00296	COG2141	K20938	E9JFX9.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium; s__		Bac_luciferase	COG2141	ladA
WP_003800031.1	LLM class flavin-dependent oxidoreductase [Arthrobacter globiformis]	Arthrobacter globiformis	Reviewed_Ingroup	dmoA	dmoA	WP_003800031.1		PF00296	COG2141	K20938	WP_003800031.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__		Bac_luciferase	COG2141	ladA
O34974.1	RecName: Full=Putative monooxygenase MoxC	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	O34974.1		PF00296	COG2141	K24116	O34974.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Bac_luciferase	COG2141	scmK
P54950.1	RecName: Full=N-acetyl-S-(2-succino)cysteine monooxygenase; AltName: Full=S-(2-succino)cysteine metabolism operon protein K	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P54950.1		PF00296	COG2141	K24116	P54950.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Bac_luciferase	COG2141	scmK
P54989.2	RecName: Full=Nitrilotriacetate monooxygenase component A; Short=NTA monooxygenase component A; Short=NTA-MO A	Aminobacter aminovorans	Reviewed_Outgroup	outgroup	outgroup	P54989.2		PF00296	COG2141	K24116	P54989.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Aminobacter; s__		Bac_luciferase	COG2141	scmK
P54991.3	RecName: Full=Pristinamycin IIA synthase subunit A; Short=PIIA synthase subunit A	Streptomyces pristinaespiralis	Reviewed_Outgroup	outgroup	outgroup	P54991.3		PF00296	COG2141	K24116	P54991.3	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae; g__Streptomyces; s__		Bac_luciferase	COG2141	scmK
P54995.1	RecName: Full=Dibenzothiophene-sulfone monooxygenase; Short=DBTO2 monooxygenase; Short=DBTO2-MO; AltName: Full=Dibenzothiophene desulfurization enzyme A	Rhodococcus sp. IGTS8	Reviewed_Outgroup	outgroup	outgroup	P54995.1		PF00296	COG2141	K22220;K20938	P54995.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Nocardiaceae; g__Rhodococcus; s__		Bac_luciferase	COG2141	dszA;ladA
ABO68832.1	Alkane monoxygenase (plasmid) [Geobacillus thermodenitrificans NG80-2]	Geobacillus thermodenitrificans NG80-2	Reviewed_Outgroup			ABO68832.1		PF00296	COG2141	K20938	ABO68832.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		Bac_luciferase	COG2141	ladA
BAM76372.1	FMN-dependent alkane monooxygenase LadA beta [Geobacillus thermoleovorans]	Geobacillus thermoleovorans	Reviewed_Outgroup	outgroup	outgroup	BAM76372.1		PF00296	COG2141	K24116	BAM76372.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		Bac_luciferase	COG2141	scmK
WP_005631271.1	LLM class flavin-dependent oxidoreductase [Mycolicibacterium hassiacum]	Mycolicibacterium hassiacum	Reviewed_Outgroup	outgroup	outgroup	WP_005631271.1		PF00296	COG2141	K20938	WP_005631271.1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae; g__Mycolicibacterium; s__		Bac_luciferase	COG2141	ladA
BAM76377.1	FMN-dependent alkane monooxygenase LadA alpha [Geobacillus thermoleovorans]	Geobacillus thermoleovorans	Reviewed_Outgroup			BAM76377.1		PF00296	COG2141	K20938	BAM76377.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		Bac_luciferase	COG2141	ladA
WP_034204026.1	MULTISPECIES: NtaA/DmoA family FMN-dependent monooxygenase [Burkholderia cepacia complex]	Burkholderia cepacia complex	Reviewed_Outgroup			WP_034204026.1		PF00296	COG2141	K20938	WP_034204026.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__		Bac_luciferase	COG2141	ladA
WP_057399508.1	LLM class flavin-dependent oxidoreductase [Pseudomonas fluorescens]	Pseudomonas fluorescens	Reviewed_Outgroup			WP_057399508.1		PF00296	COG2141	K20938	WP_057399508.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Bac_luciferase	COG2141	ladA
WP_011888513.1	LLM class flavin-dependent oxidoreductase [Geobacillus thermodenitrificans]	Geobacillus thermodenitrificans	Reviewed_Outgroup			WP_011888513.1		PF00296	COG2141	K20938	WP_011888513.1	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Geobacillus; s__		Bac_luciferase	COG2141	ladA
