tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
OAN04050.1	hypothetical protein A5904_0421 [Acidithiobacillus caldus]	Acidithiobacillus caldus	Reviewed_Ingroup	sdoS2	sdoS2	OAN04050.1		PF00753	COG0491	K01069	OAN04050.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		Lactamase_B	COG0491	gloB
ACK80268.1	metallo-beta-lactamase family protein [Acidithiobacillus ferrooxidans ATCC 23270]	Acidithiobacillus ferrooxidans ATCC 23270	Reviewed_Ingroup	ETHE1	ETHE1	ACK80268.1		PF00753	COG0491	K17725;K01069	ACK80268.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		Lactamase_B	COG0491	ETHE1;gloB
NP_055112.2	persulfide dioxygenase ETHE1, mitochondrial isoform 1 [Homo sapiens]	Homo sapiens	Reviewed_Ingroup	ETHE1	ETHE1	NP_055112.2		PF00753	COG0491	K17725;K01069	NP_055112.2	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		Lactamase_B	COG0491	ETHE1;gloB
NP_974018.3	glyoxalase II 3 [Arabidopsis thaliana]	Arabidopsis thaliana	Reviewed_Ingroup	ETHE1	ETHE1	NP_974018.3		PF00753	COG0491	K17725;K01069	NP_974018.3	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Lactamase_B	COG0491	ETHE1;gloB
AEV92813.1	ETHE1 [Urechis unicinctus]	Urechis unicinctus	Reviewed_Ingroup	ETHE1	ETHE1	AEV92813.1		PF00753	COG0491	K17725;K01069	AEV92813.1	d__Eukaryota; p__Annelida; c__Polychaeta; o__Xenopneusta; f__Urechidae; g__Urechis; s__		Lactamase_B	COG0491	ETHE1;gloB
YP_297536.1	Beta-lactamase-like [Ralstonia eutropha JMP134]	Cupriavidus pinatubonensis JMP134	Reviewed_Ingroup	ETHE1	ETHE1	YP_297536.1		PF00753	COG0491	K17725;K01069	YP_297536.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Lactamase_B	COG0491	ETHE1;gloB
ACK79351.1	metallo-beta-lactamase family protein [Acidithiobacillus ferrooxidans ATCC 23270]	Acidithiobacillus ferrooxidans ATCC 23270	Reviewed_Ingroup	ETHE1	ETHE1	ACK79351.1		PF00753	COG0491	K17725;K01069	ACK79351.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		Lactamase_B	COG0491	ETHE1;gloB
OAN03714.1	Metallo-beta-lactamase family protein [Acidithiobacillus caldus]	Acidithiobacillus caldus	Reviewed_Ingroup	ETHE1	ETHE1	OAN03714.1		PF00753	COG0491	K17725;K01069	OAN03714.1	d__Bacteria; p__Proteobacteria; c__Acidithiobacillia; o__Acidithiobacillales; f__Acidithiobacillaceae; g__Acidithiobacillus; s__		Lactamase_B	COG0491	ETHE1;gloB
Q8UAA9.1	RecName: Full=Beta-lactamase hydrolase-like protein; Short=BLH	Agrobacterium fabrum str. C58	Reviewed_Ingroup	sdoA	sdoA	Q8UAA9.1		PF04273;PF00753	COG3453	K01069	Q8UAA9.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		DUF442;Lactamase_B	COG3453	gloB
NP_435818.1	hypothetical protein SMa1057 (plasmid) [Sinorhizobium meliloti 1021]	Sinorhizobium meliloti 1021	Reviewed_Ingroup	sdoA	sdoA	NP_435818.1		PF04273;PF00753	COG3453	K01069	NP_435818.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Sinorhizobium; s__		DUF442;Lactamase_B	COG3453	gloB
NP_251605.1	hypothetical protein PA2915 [Pseudomonas aeruginosa PAO1]	Pseudomonas aeruginosa PAO1	Reviewed_Ingroup	sdoA	sdoA	NP_251605.1		PF00753	COG0491	K01069	NP_251605.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Lactamase_B	COG0491	gloB
ABQ76243.1	beta-lactamase domain protein [Pseudomonas putida F1]	Pseudomonas putida F1	Reviewed_Ingroup	sdoA	sdoA	ABQ76243.1		PF00753	COG0491	K01069	ABQ76243.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Lactamase_B	COG0491	gloB
YP_554628.1	putative metallo-beta-lactamase family protein [Burkholderia xenovorans LB400]	Paraburkholderia xenovorans LB400	Reviewed_Ingroup	sdoA	sdoA	YP_554628.1		PF00753	COG0491	K01069	YP_554628.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Paraburkholderia; s__		Lactamase_B	COG0491	gloB
YP_297791.1	beta-lactamase-like protein [Ralstonia eutropha JMP134]	Cupriavidus pinatubonensis JMP134	Reviewed_Ingroup	sdoA	sdoA	YP_297791.1		PF00753	COG0491	K01069	YP_297791.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus; s__		Lactamase_B	COG0491	gloB
QFI62071.1	MBL fold metallo-hydrolase [Qipengyuania flava]	Qipengyuania flava	Reviewed_Ingroup	sdoS1	sdoS1	QFI62071.1		PF00753;PF00581	COG0491	K01069	QFI62071.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Qipengyuania; s__		Lactamase_B;Rhodanese	COG0491	gloB
ASP30563.1	MBL fold metallo-hydrolase [Qipengyuania flava]	Qipengyuania flava	Reviewed_Ingroup	sdoS1	sdoS1	ASP30563.1		PF00753;PF00581;PF00581	COG0491	K01069	ASP30563.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Qipengyuania; s__		Lactamase_B;Rhodanese;Rhodanese	COG0491	gloB
YP_633997.1	metallo-beta-lactamase [Myxococcus xanthus DK 1622]	Myxococcus xanthus DK 1622	Reviewed_Ingroup	ETHE1	ETHE1	YP_633997.1		PF00753;PF00753	COG0491	K17725;K01069	YP_633997.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Myxococcaceae; g__Myxococcus; s__		Lactamase_B;Lactamase_B	COG0491	ETHE1;gloB
NP_850166.1	glyoxalase 2-5 [Arabidopsis thaliana]	Arabidopsis thaliana	Reviewed_Outgroup	GlyoxalaseII	GlyoxalaseII	NP_850166.1		PF00753;PF16123	COG0491	K01069	NP_850166.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Brassicales; f__Brassicaceae; g__Arabidopsis; s__		Lactamase_B;HAGH_C	COG0491	gloB
NP_356997.2	glyoxalase II [Agrobacterium fabrum str. C58]	Agrobacterium fabrum str. C58	Reviewed_Outgroup	GlyoxalaseII	GlyoxalaseII	NP_356997.2		PF00753;PF16123	COG0491	K01069	NP_356997.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Lactamase_B;HAGH_C	COG0491	gloB
NP_414748.1	hydroxyacylglutathione hydrolase GloB [Escherichia coli str. K-12 substr. MG1655]	Escherichia coli str. K-12 substr. MG1655	Reviewed_Outgroup	GlyoxalaseII	GlyoxalaseII	NP_414748.1		PF00753;PF16123	COG0491	K01069	NP_414748.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Lactamase_B;HAGH_C	COG0491	gloB
NP_415447.1	hydroxyacylglutathione hydrolase GloC [Escherichia coli str. K-12 substr. MG1655]	Escherichia coli str. K-12 substr. MG1655	Reviewed_Outgroup	Blh_like	Blh_like	NP_415447.1		PF00753	COG0491	K01069	NP_415447.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Lactamase_B	COG0491	gloB
CAA62483.1	glyoxalase II [Homo sapiens]	Homo sapiens	Reviewed_Outgroup	GlyoxalaseII	GlyoxalaseII	CAA62483.1		PF00753;PF16123	COG0491	K01069	CAA62483.1	d__Eukaryota; p__Chordata; c__Mammalia; o__Primates; f__Hominidae; g__Homo; s__		Lactamase_B;HAGH_C	COG0491	gloB
ADO96205.1	Glyoxalase II [Haemophilus influenzae R2846]	Haemophilus influenzae R2846	Reviewed_Outgroup	GlyoxalaseII	GlyoxalaseII	ADO96205.1		PF12706;PF16123	COG0491	K01069	ADO96205.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__		Lactamase_B_2;HAGH_C	COG0491	gloB
NP_249523.1	hypothetical protein PA0832 [Pseudomonas aeruginosa PAO1]	Pseudomonas aeruginosa PAO1	Reviewed_Outgroup	Blh_like	Blh_like	NP_249523.1		PF00753	COG0491	K01069	NP_249523.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Lactamase_B	COG0491	gloB
ABQ76961.1	beta-lactamase domain protein [Pseudomonas putida F1]	Pseudomonas putida F1	Reviewed_Outgroup	Blh_like	Blh_like	ABQ76961.1		PF00753	COG0491	K01069	ABQ76961.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__		Lactamase_B	COG0491	gloB
CAD05397.1	conserved hypothetical protein [Salmonella enterica subsp. enterica serovar Typhi str. CT18]	Salmonella enterica subsp. enterica serovar Typhi str. CT18	Reviewed_Outgroup	Blh_like	Blh_like	CAD05397.1		PF00753	COG0491	K01069	CAD05397.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__		Lactamase_B	COG0491	gloB
