tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
P0DN21.1	RecName: Full=Dimethylsulfonioproprionate lyase 1; Short=DMSP lyase 1; AltName: Full=Dimethylpropiothetin dethiomethylase 1	Emiliania huxleyi	Reviewed_Ingroup	alma1	alma1	P0DN21.1					P0DN21.1	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
P0DN22.1	RecName: Full=Dimethylsulfonioproprionate lyase; Short=DMSP lyase; AltName: Full=Symbiodinium-A1	Symbiodinium sp. clade D	Reviewed_Ingroup	alma1	alma1	P0DN22.1			COG3473		P0DN22.1	d__Eukaryota; p__; c__Dinophyceae; o__Suessiales; f__Symbiodiniaceae; g__Symbiodinium; s__			COG3473	
P0DN23.1	RecName: Full=Dimethylsulfonioproprionate lyase 2; Short=DMSP lyase 2; AltName: Full=Dimethylpropiothetin dethiomethylase 2	Emiliania huxleyi	Reviewed_Ingroup	alma1	alma1	P0DN23.1					P0DN23.1	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
R1CW23.1	RecName: Full=Dimethylsulfonioproprionate lyase 7; Short=DMSP lyase 7; AltName: Full=Dimethylpropiothetin dethiomethylase 7	Emiliania huxleyi	Reviewed_Ingroup	alma1	alma1	R1CW23.1					R1CW23.1	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
R1G6M4.1	RecName: Full=Dimethylsulfonioproprionate lyase 3; Short=DMSP lyase 3; AltName: Full=Dimethylpropiothetin dethiomethylase 3	Emiliania huxleyi	Reviewed_Ingroup	alma1	alma1	R1G6M4.1					R1G6M4.1	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
R1ERP2.1	RecName: Full=Dimethylsulfonioproprionate lyase 4; Short=DMSP lyase 4; AltName: Full=Dimethylpropiothetin dethiomethylase 4	Emiliania huxleyi	Reviewed_Ingroup	alma1	alma1	R1ERP2.1					R1ERP2.1	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
ehx___EMIHUDRAFT_99026	hypothetical protein	Emiliania huxleyi CCMP1516	Curated_Ingroup	alma1	alma1	ehx___EMIHUDRAFT_99026					ehx___EMIHUDRAFT_99026	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
ehx___EMIHUDRAFT_437551	hypothetical protein	Emiliania huxleyi CCMP1516	Curated_Ingroup	alma1	alma1	ehx___EMIHUDRAFT_437551					ehx___EMIHUDRAFT_437551	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
ehx___EMIHUDRAFT_115376	hypothetical protein	Emiliania huxleyi CCMP1516	Curated_Ingroup	alma1	alma1	ehx___EMIHUDRAFT_115376					ehx___EMIHUDRAFT_115376	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
ehx___EMIHUDRAFT_229007	hypothetical protein	Emiliania huxleyi CCMP1516	Curated_Ingroup	alma1	alma1	ehx___EMIHUDRAFT_229007					ehx___EMIHUDRAFT_229007	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
ehx___EMIHUDRAFT_457996	hypothetical protein	Emiliania huxleyi CCMP1516	Curated_Ingroup	alma1	alma1	ehx___EMIHUDRAFT_457996					ehx___EMIHUDRAFT_457996	d__Eukaryota; p__Haptophyta; c__; o__Isochrysidales; f__Noelaerhabdaceae; g__Emiliania; s__				
