tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
Q06530.3	RecName: Full=Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain; AltName: Full=FCSD; AltName: Full=Flavocytochrome c flavoprotein subunit; Short=FC; Flags: Precursor	Allochromatium vinosum DSM 180	Reviewed_Ingroup	fccB	fccB	Q06530.3		PF10518;PF07992;PF09242	COG0446	K17229	Q06530.3	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		TAT_signal;Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
WP_013958325.1	MULTISPECIES: NAD(P)/FAD-dependent oxidoreductase [Cupriavidus]	Cupriavidus	Reviewed_Ingroup	fccB	fccB	WP_013958325.1		PF07992;PF09242	COG0446	K17229	WP_013958325.1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__; s__		Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
WP_010880096.1	FAD-dependent oxidoreductase [Aquifex aeolicus]	Aquifex aeolicus	Reviewed_Ingroup	fccB	fccB	WP_010880096.1		PF07992;PF09242	COG0446	K17229	WP_010880096.1	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Aquifex; s__		Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
WP_012495035.1	NAD(P)/FAD-dependent oxidoreductase [Rhodopseudomonas palustris]	Rhodopseudomonas palustris	Reviewed_Ingroup	fccB	fccB	WP_012495035.1		PF07992;PF09242	COG0446	K17229	WP_012495035.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae; g__Rhodopseudomonas; s__		Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
AAL68892.1	flavoprotein subunit of flavocytochrome c sulfide dehydrogenase [Chlorobium limicola]	Chlorobium limicola	Reviewed_Ingroup	fccB	fccB	AAL68892.1		PF07992;PF09242	COG0446	K17229	AAL68892.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobium; s__		Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
CAA55826.2	flavoprotein [Paracoccus denitrificans]	Paracoccus denitrificans	Reviewed_Ingroup	fccB	fccB	CAA55826.2		PF07992;PF09242	COG0446	K17229	CAA55826.2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
WP_077277233.1	NAD(P)/FAD-dependent oxidoreductase [Thioalkalivibrio denitrificans]	Thioalkalivibrio denitrificans	Reviewed_Ingroup	fccB	fccB	WP_077277233.1		PF10518;PF07992;PF09242	COG0446	K17229	WP_077277233.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Thioalkalivibrio; s__		TAT_signal;Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
EDN68628.1	flavoprotein subunit of flavocytochrome c sulfide dehydrogenase [Beggiatoa sp. PS]	Beggiatoa sp. PS	Reviewed_Ingroup	fccB	fccB	EDN68628.1		PF10518;PF07992;PF09242	COG0446	K17229	EDN68628.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales; f__Thiotrichaceae; g__Beggiatoa; s__		TAT_signal;Pyr_redox_2;FCSD-flav_bind	COG0446	fccB
O94284.1	RecName: Full=Sulfide:quinone oxidoreductase, mitochondrial; AltName: Full=Cadmium resistance protein 1; AltName: Full=Heavy metal tolerance protein 2; Flags: Precursor	Schizosaccharomyces pombe 972h-	Reviewed_Outgroup	outgroup	outgroup	O94284.1			COG0446	K17218	O94284.1	d__Eukaryota; p__Ascomycota; c__Schizosaccharomycetes; o__Schizosaccharomycetales; f__Schizosaccharomycetaceae; g__Schizosaccharomyces; s__			COG0446	sqr
Q54DK1.1	RecName: Full=Sulfide:quinone oxidoreductase, mitochondrial; Flags: Precursor	Dictyostelium discoideum	Reviewed_Outgroup	outgroup	outgroup	Q54DK1.1		PF07992	COG0446	K17218	Q54DK1.1	d__Eukaryota; p__Evosea; c__Eumycetozoa; o__Dictyosteliales; f__Dictyosteliaceae; g__Dictyostelium; s__		Pyr_redox_2	COG0446	sqr
