tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
QFG35251.1	thiosulfate oxidation carrier protein SoxY [Paracoccus pantotrophus]	Paracoccus pantotrophus	Reviewed_Ingroup	soxY	soxY	QFG35251.1		PF13501	COG5501	K17226	QFG35251.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		SoxY	COG5501	soxY
Q1W3D6	SoxY	Allochromatium vinosum	Reviewed_Ingroup	soxY	soxY	Q1W3D6		PF13501	COG5501	K17226	Q1W3D6	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		SoxY	COG5501	soxY
ppan___ESD82_03405	soxY; thiosulfate oxidation carrier protein SoxY	Paracoccus pantotrophus	Curated_Ingroup	soxY	soxY	ppan___ESD82_03405		PF13501	COG5501	K17226	ppan___ESD82_03405	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		SoxY	COG5501	soxY
agc___BSY240_3514	soxY; thiosulfate oxidation carrier protein SoxY	Agrobacterium sp. RAC06	Curated_Ingroup	soxY	soxY	agc___BSY240_3514		PF13501	COG5501	K17226	agc___BSY240_3514	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		SoxY	COG5501	soxY
cazt___LV780_16085	soxY; thiosulfate oxidation carrier protein SoxY	Cereibacter azotoformans	Curated_Ingroup	soxY	soxY	cazt___LV780_16085		PF13501	COG5501	K17226	cazt___LV780_16085	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Cereibacter; s__		SoxY	COG5501	soxY
daa___AKL17_3174	sulfur oxidation protein SoxY	Frigidibacter mobilis	Curated_Ingroup	soxY	soxY	daa___AKL17_3174		PF13501	COG5501	K17226	daa___AKL17_3174	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Frigidibacter; s__		SoxY	COG5501	soxY
tec___AKL02_013825	soxY; thiosulfate oxidation carrier protein SoxY	Thioclava electrotropha	Curated_Ingroup	soxY	soxY	tec___AKL02_013825		PF13501	COG5501	K17226	tec___AKL02_013825	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Thioclava; s__		SoxY	COG5501	soxY
ceh___CEW89_07125	soxY; thiosulfate oxidation carrier protein SoxY	Celeribacter ethanolicus	Curated_Ingroup	soxY	soxY	ceh___CEW89_07125		PF13501	COG5501	K17226	ceh___CEW89_07125	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Celeribacter; s__		SoxY	COG5501	soxY
laqu___R2C4_10325	soxY; thiosulfate oxidation carrier protein SoxY	Leisingera aquaemixtae	Curated_Ingroup	soxY	soxY	laqu___R2C4_10325		PF13501	COG5501	K17226	laqu___R2C4_10325	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Leisingera; s__		SoxY	COG5501	soxY
sil___SPO0994	soxY; sulfur oxidation Y protein	Ruegeria pomeroyi DSS-3	Curated_Ingroup	soxY	soxY	sil___SPO0994		PF13501	COG5501	K17226	sil___SPO0994	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Ruegeria; s__		SoxY	COG5501	soxY
