tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
WP_012970470.1	respiratory nitrate reductase subunit gamma [Allochromatium vinosum]	Allochromatium vinosum	Reviewed_Ingroup	Oxidative_dsrM	Oxidative_dsrM	WP_012970470.1		PF02665	COG2181	K00374	WP_012970470.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Nitrate_red_gam	COG2181	narI
WP_010938586.1	MULTISPECIES: sulfate reduction electron transfer complex DsrMKJOP subunit DsrM [Desulfovibrio]	Desulfovibrio	Reviewed_Ingroup	Reductive_dsrM	Reductive_dsrM	WP_010938586.1		PF02665	COG2181	K00374	WP_010938586.1	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__		Nitrate_red_gam	COG2181	narI
O29749.1	RecName: Full=Hdr-like menaquinol oxidoreductase cytochrome b-like subunit; Short=Hme subunit C	Archaeoglobus fulgidus DSM 4304	Reviewed_Ingroup	Reductive_dsrM	Reductive_dsrM	O29749.1		PF02665	COG2181	K18500;K00374	O29749.1	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Nitrate_red_gam	COG2181	hmeC;narI
KUO93850.1	hypothetical protein AT713_02910 [Caldivirga sp. JCHS_4]	Caldivirga sp. JCHS_4	Reviewed_Ingroup	caldivirga_dsrM	caldivirga_dsrM	KUO93850.1		PF02665	COG2181		KUO93850.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Caldivirga; s__		Nitrate_red_gam	COG2181	
WP_188596318.1	respiratory nitrate reductase subunit gamma [Thermocladium modestius]	Thermocladium modestius	Reviewed_Ingroup	caldivirga_dsrM	caldivirga_dsrM	WP_188596318.1		PF02665	COG2181		WP_188596318.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Thermocladium; s__		Nitrate_red_gam	COG2181	
KUO93287.1	hypothetical protein AT710_00150 [Thermocladium sp. ECH_B]	Thermocladium sp. ECH_B	Reviewed_Ingroup	caldivirga_dsrM	caldivirga_dsrM	KUO93287.1		PF02665	COG2181		KUO93287.1	d__Archaea; p__Crenarchaeota; c__Thermoprotei; o__Thermoproteales; f__Thermoproteaceae; g__Thermocladium; s__		Nitrate_red_gam	COG2181	
acii___C4901_06795	nitrate reductase	Acidiferrobacter sp. SPIII_3	Curated_Ingroup	Oxidative_dsrM	Oxidative_dsrM	acii___C4901_06795		PF02665	COG2181	K00374	acii___C4901_06795	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Acidiferrobacterales; f__Acidiferrobacteraceae; g__Acidiferrobacter; s__		Nitrate_red_gam	COG2181	narI
adg___Adeg_0033	Nitrate reductase gamma subunit	Ammonifex degensii KC4	Curated_Ingroup	Firmicutes_dsrM	Firmicutes_dsrM	adg___Adeg_0033		PF02665	COG2181	K00374	adg___Adeg_0033	d__Bacteria; p__Firmicutes; c__Clostridia; o__Thermoanaerobacterales; f__Thermoanaerobacteraceae; g__Ammonifex; s__		Nitrate_red_gam	COG2181	narI
aeh___Mlg_1000	respiratory nitrate reductase gamma subunit	Alkalilimnicola ehrlichii MLHE-1	Curated_Outgroup	NarI	NarI	aeh___Mlg_1000		PF02665	COG2181	K00374	aeh___Mlg_1000	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Alkalilimnicola; s__		Nitrate_red_gam	COG2181	narI
aeh___Mlg_1659	Nitrate reductase, gamma subunit	Alkalilimnicola ehrlichii MLHE-1	Curated_Ingroup	Oxidative_dsrM	Oxidative_dsrM	aeh___Mlg_1659		PF02665	COG2181	K00374	aeh___Mlg_1659	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Ectothiorhodospiraceae; g__Alkalilimnicola; s__		Nitrate_red_gam	COG2181	narI
afg___AFULGI_00005110	Nitrate reductase gamma subunit	Archaeoglobus fulgidus DSM 8774	Curated_Ingroup	Reductive_dsrM	Reductive_dsrM	afg___AFULGI_00005110		PF02665	COG2181	K18500;K00374	afg___AFULGI_00005110	d__Archaea; p__Euryarchaeota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus; s__		Nitrate_red_gam	COG2181	hmeC;narI
