tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ABE01360.1	SoxX precursor [Allochromatium vinosum]	Allochromatium vinosum	Reviewed_Ingroup	soxX	soxX	ABE01360.1		PF00034	COG2010	K17223	ABE01360.1	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__Chromatiaceae; g__Allochromatium; s__		Cytochrom_C	COG2010	soxX
BAI69968.1	sulfur oxidation protein [Hydrogenobacter thermophilus TK-6]	Hydrogenobacter thermophilus TK-6	Reviewed_Ingroup	soxX	soxX	BAI69968.1		PF00034	COG3474	K17223	BAI69968.1	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobacter; s__		Cytochrom_C	COG3474	soxX
ADH88296.1	conserved hypothetical protein [Starkeya novella DSM 506]	Starkeya novella DSM 506	Reviewed_Ingroup	soxX	soxX	ADH88296.1		PF00034	COG2010	K17223	ADH88296.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Xanthobacteraceae; g__Starkeya; s__		Cytochrom_C	COG2010	soxX
BBD77082.1	cytochrome c [Hydrogenophilus thermoluteolus]	Hydrogenophilus thermoluteolus	Reviewed_Ingroup	soxX	soxX	BBD77082.1		PF00034		K17223	BBD77082.1	d__Bacteria; p__Proteobacteria; c__Hydrogenophilalia; o__Hydrogenophilales; f__Hydrogenophilaceae; g__Hydrogenophilus; s__		Cytochrom_C		soxX
AAM72250.1	sulfur oxidation protein SoxX [Chlorobaculum tepidum TLS]	Chlorobaculum tepidum TLS	Reviewed_Ingroup	soxX	soxX	AAM72250.1		PF00034	COG2010	K17223	AAM72250.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__		Cytochrom_C	COG2010	soxX
CAH59732.1	soxX [Pseudaminobacter salicylatoxidans KCT001]	Pseudaminobacter salicylatoxidans KCT001	Reviewed_Ingroup	soxX	soxX	CAH59732.1		PF00034		K17223	CAH59732.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae; g__Pseudaminobacter; s__		Cytochrom_C		soxX
TNJ36577.1	sulfur oxidation c-type cytochrome SoxX [Chlorobaculum thiosulfatiphilum]	Chlorobaculum thiosulfatiphilum	Reviewed_Ingroup	soxX	soxX	TNJ36577.1		PF00034	COG2010	K17223	TNJ36577.1	d__Bacteria; p__Chlorobi; c__Chlorobia; o__Chlorobiales; f__Chlorobiaceae; g__Chlorobaculum; s__		Cytochrom_C	COG2010	soxX
WP_143540204.1	sulfur oxidation c-type cytochrome SoxX [Rhodovulum sulfidophilum]	Rhodovulum sulfidophilum	Reviewed_Ingroup	soxX	soxX	WP_143540204.1		PF00034	COG2993	K17223	WP_143540204.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodovulum; s__		Cytochrom_C	COG2993	soxX
QFG36009.1	sulfur oxidation c-type cytochrome SoxX [Paracoccus pantotrophus]	Paracoccus pantotrophus	Reviewed_Ingroup	soxX	soxX	QFG36009.1		PF00034		K17223	QFG36009.1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus; s__		Cytochrom_C		soxX
hte___Hydth_1507	monoheme cytochrome SoxX (sulfur oxidation)	Hydrogenobacter thermophilus TK-6	Curated_Ingroup	soxX	soxX	hte___Hydth_1507		PF00034	COG3474	K17223	hte___Hydth_1507	d__Bacteria; p__Aquificae; c__Aquificae; o__Aquificales; f__Aquificaceae; g__Hydrogenobacter; s__		Cytochrom_C	COG3474	soxX
