tree_id	description	scientific_name	reference	gene_name	clade_name	label	substrate	PFAM	COG	Ko	ncbi_id	ncbi_lineage	Literatures	PFAM_desc	COG_desc	Ko_desc
ABD26880.1	aldo/keto reductase [Novosphingobium aromaticivorans DSM 12444]	Novosphingobium aromaticivorans DSM 12444	Reviewed_Ingroup	squF	squF	ABD26880.1		PF00248	COG4989		ABD26880.1	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__		Aldo_ket_red	COG4989	
P42972.1	RecName: Full=Uncharacterized oxidoreductase YcsN	Bacillus subtilis subsp. subtilis str. 168	Reviewed_Outgroup	outgroup	outgroup	P42972.1		PF00248	COG4989		P42972.1	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
P76187.2	RecName: Full=Oxidoreductase YdhF	Escherichia coli K-12	Reviewed_Outgroup	outgroup	outgroup	P76187.2		PF00248	COG4989		P76187.2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Aldo_ket_red	COG4989	
Q3L181.1	RecName: Full=Perakine reductase	Rauvolfia serpentina	Reviewed_Outgroup			Q3L181.1		PF00248	COG0667	K05275	Q3L181.1	d__Eukaryota; p__Streptophyta; c__Magnoliopsida; o__Gentianales; f__Apocynaceae; g__Rauvolfia; s__		Aldo_ket_red	COG0667	E1.1.1.65
P77735.2	RecName: Full=1-deoxyxylulose-5-phosphate synthase YajO	Escherichia coli K-12	Reviewed_Outgroup			P77735.2		PF00248	COG0667	K23107	P77735.2	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia; s__		Aldo_ket_red	COG0667	yajO
acai___ISX45_05545	aldo/keto reductase family oxidoreductase	Anoxybacillus caldiproteolyticus	Curated_Outgroup	outgroup	outgroup	acai___ISX45_05545		PF00248	COG4989		acai___ISX45_05545	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Anoxybacillus; s__		Aldo_ket_red	COG4989	
acit___HPK19_14805	aldo/keto reductase	Arthrobacter citreus	Curated_Outgroup	outgroup	outgroup	acit___HPK19_14805		PF00248	COG4989		acit___HPK19_14805	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae; g__Arthrobacter; s__		Aldo_ket_red	COG4989	
acrs___LVJ80_13900	aldo/keto reductase	Alysiella crassa	Curated_Outgroup	outgroup	outgroup	acrs___LVJ80_13900		PF00248	COG4989		acrs___LVJ80_13900	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Alysiella; s__		Aldo_ket_red	COG4989	
ado___A6F68_00071	ydhF; Oxidoreductase YdhF	Tsuneonella dongtanensis	Curated_Ingroup	squF	squF	ado___A6F68_00071		PF00248	COG4989		ado___A6F68_00071	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Tsuneonella; s__		Aldo_ket_red	COG4989	
aeu___ACEE_09825	oxidoreductase	Actinobacillus equuli subsp. equuli	Curated_Outgroup	outgroup	outgroup	aeu___ACEE_09825		PF00248	COG4989		aeu___ACEE_09825	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__		Aldo_ket_red	COG4989	
agc___BSY240_3630	aldo/keto reductase family protein	Agrobacterium sp. RAC06	Curated_Outgroup	smoB	smoB	agc___BSY240_3630		PF00248	COG4989		agc___BSY240_3630	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
agr___AGROH133_11080	aryl-alcohol dehydrogenase	Agrobacterium fabacearum	Curated_Outgroup	smoB	smoB	agr___AGROH133_11080		PF00248	COG4989		agr___AGROH133_11080	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
agt___EYD00_21415	aldo/keto reductase family oxidoreductase	Agrobacterium sp. 33MFTa1.1	Curated_Outgroup	smoB	smoB	agt___EYD00_21415		PF00248	COG4989		agt___EYD00_21415	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
aht___ANTHELSMS3_00595	ydhF; oxidoreductase YdhF	Antarctobacter heliothermus	Curated_Outgroup	smoB	smoB	aht___ANTHELSMS3_00595		PF00248	COG4989		aht___ANTHELSMS3_00595	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Roseobacteraceae; g__Antarctobacter; s__		Aldo_ket_red	COG4989	
alf___CFBP5473_16895	oxidoreductase	Agrobacterium larrymoorei	Curated_Outgroup	smoB	smoB	alf___CFBP5473_16895		PF00248	COG4989		alf___CFBP5473_16895	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
alh___G6N82_04560	aldo/keto reductase	Altererythrobacter sp. BO-6	Curated_Ingroup	squF	squF	alh___G6N82_04560		PF00248	COG4989		alh___G6N82_04560	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Altererythrobacter; s__		Aldo_ket_red	COG4989	
alig___NCTC10568_01810	ydhF; oxidoreductase	Actinobacillus lignieresii	Curated_Outgroup	outgroup	outgroup	alig___NCTC10568_01810		PF00248	COG4989		alig___NCTC10568_01810	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__		Aldo_ket_red	COG4989	
anh___A6F65_00927	ydhF; Oxidoreductase YdhF	Paraurantiacibacter namhicola	Curated_Ingroup	squF	squF	anh___A6F65_00927		PF00248	COG4989		anh___A6F65_00927	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__Paraurantiacibacter; s__		Aldo_ket_red	COG4989	
anr___Ana3638_13595	aldo/keto reductase family oxidoreductase	Anaerocolumna sedimenticola	Curated_Outgroup	outgroup	outgroup	anr___Ana3638_13595		PF00248	COG4989		anr___Ana3638_13595	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Anaerocolumna; s__		Aldo_ket_red	COG4989	
aqa___D1815_07245	aldo/keto reductase	Aquimarina sp. AD1	Curated_Outgroup	outgroup	outgroup	aqa___D1815_07245		PF00248	COG4989		aqa___D1815_07245	d__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquimarina; s__		Aldo_ket_red	COG4989	
aqs___DKK66_06760	oxidoreductase	Aquitalea sp. USM4	Curated_Outgroup	outgroup	outgroup	aqs___DKK66_06760		PF00248	COG4989		aqs___DKK66_06760	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Chromobacteriaceae; g__Aquitalea; s__		Aldo_ket_red	COG4989	
aqt___FN924_04925	aldo/keto reductase family oxidoreductase	Radiobacillus deserti	Curated_Outgroup	outgroup	outgroup	aqt___FN924_04925		PF00248	COG4989		aqt___FN924_04925	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Radiobacillus; s__		Aldo_ket_red	COG4989	
aqz___KSP35_23395	aldo/keto reductase	Aquihabitans sp. G128	Curated_Ingroup	squF	squF	aqz___KSP35_23395		PF00248	COG4989		aqz___KSP35_23395	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Iamiaceae; g__Aquihabitans; s__		Aldo_ket_red	COG4989	
arui___G6M88_16045	oxidoreductase	Agrobacterium rubi	Curated_Outgroup	smoB	smoB	arui___G6M88_16045		PF00248	COG4989		arui___G6M88_16045	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae; g__Agrobacterium; s__		Aldo_ket_red	COG4989	
asu___Asuc_0311	aldo/keto reductase	Actinobacillus succinogenes 130Z	Curated_Outgroup	outgroup	outgroup	asu___Asuc_0311		PF00248	COG4989		asu___Asuc_0311	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Actinobacillus; s__		Aldo_ket_red	COG4989	
ater___MW290_30025	aldo/keto reductase	Aquincola tertiaricarbonis	Curated_Outgroup	outgroup	outgroup	ater___MW290_30025		PF00248	COG4989		ater___MW290_30025	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__Aquincola; s__		Aldo_ket_red	COG4989	
aun___AWM73_07945	oxidoreductase	Aerococcus urinae	Curated_Outgroup	outgroup	outgroup	aun___AWM73_07945		PF00248	COG4989		aun___AWM73_07945	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__		Aldo_ket_red	COG4989	
avm___JQX13_46590	aldo/keto reductase	Archangium violaceum	Curated_Outgroup	outgroup	outgroup	avm___JQX13_46590		PF00248	COG4989		avm___JQX13_46590	d__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Archangiaceae; g__Archangium; s__		Aldo_ket_red	COG4989	
axl___AXY_00130	putative oxidoreductase	Amphibacillus xylanus NBRC 15112	Curated_Outgroup	outgroup	outgroup	axl___AXY_00130		PF00248	COG4989		axl___AXY_00130	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Amphibacillus; s__		Aldo_ket_red	COG4989	
aym___YM304_10230	putative oxidoreductase	Ilumatobacter coccineus YM16-304	Curated_Ingroup	squF	squF	aym___YM304_10230		PF00248	COG4989		aym___YM304_10230	d__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__Ilumatobacteraceae; g__Ilumatobacter; s__		Aldo_ket_red	COG4989	
bacl___BS34A_04760	ycsN; oxidoreductase	Bacillus sp. BS34A	Curated_Outgroup	outgroup	outgroup	bacl___BS34A_04760		PF00248	COG4989		bacl___BS34A_04760	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
bae___BATR1942_20795	putative oxidoreductase	Bacillus atrophaeus 1942	Curated_Outgroup	outgroup	outgroup	bae___BATR1942_20795		PF00248	COG4989		bae___BATR1942_20795	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
bah___BAMEG_2566	oxidoreductase, aldo/keto reductase family	Bacillus anthracis str. CDC 684	Curated_Outgroup	outgroup	outgroup	bah___BAMEG_2566		PF00248	COG4989		bah___BAMEG_2566	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
bcab___EFK13_02530	aldo/keto reductase family oxidoreductase	Bacillus cabrialesii	Curated_Outgroup	outgroup	outgroup	bcab___EFK13_02530		PF00248	COG4989		bcab___EFK13_02530	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
beo___BEH_03295	oxidoreductase	Priestia filamentosa	Curated_Outgroup	outgroup	outgroup	beo___BEH_03295		PF00248	COG4989		beo___BEH_03295	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Priestia; s__		Aldo_ket_red	COG4989	
bfx___BC359_14585	oxidoreductase	Priestia flexa	Curated_Outgroup	outgroup	outgroup	bfx___BC359_14585		PF00248	COG4989		bfx___BC359_14585	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Priestia; s__		Aldo_ket_red	COG4989	
bhan___CGC63_11995	aldo/keto reductase	Blautia hansenii DSM 20583	Curated_Outgroup	outgroup	outgroup	bhan___CGC63_11995		PF00248	COG4989		bhan___CGC63_11995	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		Aldo_ket_red	COG4989	
bhk___B4U37_06050	oxidoreductase	Sutcliffiella horikoshii	Curated_Outgroup	outgroup	outgroup	bhk___B4U37_06050		PF00248	COG4989		bhk___B4U37_06050	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Sutcliffiella; s__		Aldo_ket_red	COG4989	
bht___DIC78_07880	aldo/keto reductase family oxidoreductase	Bacillus halotolerans	Curated_Outgroup	outgroup	outgroup	bht___DIC78_07880		PF00248	COG4989		bht___DIC78_07880	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
bif___N288_12160	oxidoreductase	Bacillus infantis NRRL B-14911	Curated_Outgroup	outgroup	outgroup	bif___N288_12160		PF00248	COG4989		bif___N288_12160	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
bit___BIS30_12665	oxidoreductase	Bacillus intestinalis	Curated_Outgroup	outgroup	outgroup	bit___BIS30_12665		PF00248	COG4989		bit___BIS30_12665	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__		Aldo_ket_red	COG4989	
bkw___BkAM31D_03525	ydhF; Oxidoreductase YdhF	Alkalihalobacillus krulwichiae	Curated_Outgroup	outgroup	outgroup	bkw___BkAM31D_03525		PF00248	COG4989		bkw___BkAM31D_03525	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Alkalihalobacillus; s__		Aldo_ket_red	COG4989	
blas___BSY18_3694	aldo/keto reductase family protein	Blastomonas sp. RAC04	Curated_Ingroup	squF	squF	blas___BSY18_3694		PF00248	COG4989		blas___BSY18_3694	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Blastomonas; s__		Aldo_ket_red	COG4989	
blau___DQQ01_14855	aldo/keto reductase family oxidoreductase	Blautia argi	Curated_Outgroup	outgroup	outgroup	blau___DQQ01_14855		PF00248	COG4989		blau___DQQ01_14855	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae; g__Blautia; s__		Aldo_ket_red	COG4989	
